id,cost_bps,net_sharpe_full
d40_baseline,0,0.5724318927666748
d40_baseline,5,0.539978795053973
d40_baseline,10,0.5074860594159263
d40_baseline,15,0.4749635737113562
d40_vol_scaled,0,0.5389785984864531
d40_vol_scaled,5,0.504844842533551
d40_vol_scaled,10,0.4706534559760077
d40_vol_scaled,15,0.43641599691033023
d40_resid_250d,0,0.5555557029247564
d40_resid_250d,5,0.5268931526176674
d40_resid_250d,10,0.49818532399426696
d40_resid_250d,15,0.46943975349113143
d40_deep_only,0,0.584660244980846
d40_deep_only,5,0.5556556128117209
d40_deep_only,10,0.5266271966267793
d40_deep_only,15,0.4975822878777411
d40_bounce_conf,0,0.6040538514500259
d40_bounce_conf,5,0.5806114004548952
d40_bounce_conf,10,0.557127313018679
d40_bounce_conf,15,0.5336065462677777
d40_low_vol_surrender,0,0.4773195357497332
d40_low_vol_surrender,5,0.4429555057635545
d40_low_vol_surrender,10,0.4085654370225529
d40_low_vol_surrender,15,0.37416087007109633
p_top1_conviction,0,0.768621600633686
p_top1_conviction,5,0.7340806182941506
p_top1_conviction,10,0.699478207018397
p_top1_conviction,15,0.6648256705249024
p_top3_diversified,0,0.8015215741107173
p_top3_diversified,5,0.7663039202508033
p_top3_diversified,10,0.7310118750052459
p_top3_diversified,15,0.6956580396008472
