id,split,sharpe_net_5bps,ret_ann,maxdd,n_days,worst_year,worst_year_sharpe
d40_baseline,train,0.6535352108778502,0.1511165273950592,-0.28872537280662414,970,2022,-0.34574378109107984
d40_baseline,val,-0.7986578366536772,-0.17201603876980512,-0.28861508628853516,242,2023,-0.7986578366536772
d40_baseline,oos,0.84978672617769,0.22099807365550664,-0.1909770317058953,556,2026,0.645560323861896
d40_vol_scaled,train,0.6921132281034307,0.15385536916659337,-0.34229040710445235,970,2022,-0.8593733699713233
d40_vol_scaled,val,-0.6695843083174975,-0.1303506624719567,-0.24540086245171888,242,2023,-0.6695843083174975
d40_vol_scaled,oos,0.6170995895365878,0.15326532977674182,-0.15736033253449555,556,2025,0.24020991491636298
d40_resid_250d,train,0.39197501634059473,0.0835069107919481,-0.34581975385703656,970,2022,-0.6774491098237466
d40_resid_250d,val,-1.4678571380645473,-0.29020885741581454,-0.33664334970067566,242,2023,-1.4678571380645473
d40_resid_250d,oos,1.3353950761122364,0.37337231553883987,-0.24022693358903346,556,2026,0.8745207399504846
d40_deep_only,train,0.4369752661065561,0.11037035474156062,-0.43507946634443206,970,2022,-0.9925180062185776
d40_deep_only,val,-0.8858079618891839,-0.20470757432001974,-0.34335649577369043,242,2023,-0.8858079618891839
d40_deep_only,oos,1.2089706786173768,0.37013495241875416,-0.19576235222477367,556,2026,0.2876312957009805
d40_bounce_conf,train,0.5791191742822478,0.13255031424382707,-0.34349233391403133,970,2022,-0.9373215295414288
d40_bounce_conf,val,-1.4513218637115624,-0.3045067327499961,-0.3818137146658829,242,2023,-1.4513218637115624
d40_bounce_conf,oos,1.2344050382685288,0.3590468951919676,-0.20554041010741708,556,2024,0.7612292800639885
d40_low_vol_surrender,train,0.37920569314651326,0.09060109484317536,-0.39550477067600964,970,2022,-1.293513708090778
d40_low_vol_surrender,val,-0.6376684256427545,-0.14406226489724308,-0.29396348210350154,242,2023,-0.6376684256427545
d40_low_vol_surrender,oos,0.9294743949032364,0.25557749872199464,-0.2267048341320056,556,2026,-0.23956736505650852
p_top1_conviction,train,1.233318143567015,0.37600289442874,-0.29622050629743113,970,2022,0.007583381812108692
p_top1_conviction,val,0.18015452713137567,0.05232749115108623,-0.22516888485923636,242,2023,0.18015452713137567
p_top1_conviction,oos,0.10451326200261855,0.03242533363541885,-0.2749029760832984,556,2025,0.02536293437682804
p_top3_diversified,train,0.8858813048360302,0.19974734000249897,-0.26087715859300986,970,2022,0.11159562961926581
p_top3_diversified,val,-0.24433235304748424,-0.04787388932435374,-0.2012929065039919,242,2023,-0.24433235304748424
p_top3_diversified,oos,0.9288987013569534,0.23168344835662455,-0.18156803893990503,556,2026,0.791172666944476
