year,n_days,sharpe_raw_LS,sharpe_voltarget_LS_gross,sharpe_voltarget_LS_net5bps,avg_exposure,ann_ret_voltarget_net5bps
2019,103,1.8277564801323052,2.305899238174029,2.268776133494655,0.9702284784225785,0.3281287750375411
2020,243,0.9304320832878333,0.9954898355843186,0.960775030643631,0.6490403645412091,0.11430010719068837
2021,243,0.7577798514502857,0.4967218245935834,0.47103301768130246,0.6590264044567904,0.070167995847669
2022,242,0.18085815558606022,0.15740239033741682,0.10837102658505504,0.7845906994127827,0.012785442964979419
2023,242,0.18627421568342817,0.4056050111833266,0.3807846394206616,0.568853117416696,0.053555713168842244
2024,242,0.03575581741742652,0.42080706849853805,0.368437108889941,0.7211389238935885,0.04460421582684254
2025,194,1.5616215607528456,2.309727259290292,2.274402458461888,0.6974457385598574,0.3079565232103972
2026,0,0.7061353669450549,,,,
