round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,method,k,dp_pool,dp_dxy,dp_rmb,selective
58,M10 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M10,0.14343441160239845,0.15555378434254225,0.9220888595454808,1.1373719745133195,-0.20632212302489472,0.6951964699640655,0.96589659573331,0.34805389221556887,22.934730538922153,2672,,,,,,
58,M10 top-2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M10,0.14391499184825562,0.16127553488464416,0.8923547638592174,1.1178816168879173,-0.2115993860437113,0.6801295341118158,0.9295403424163353,0.34842814371257486,24.820958083832334,2672,topk,2.0,,,,
59,M11 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M11,0.11121885661983733,0.14055722738152987,0.7912709911240907,1.1840844817537206,-0.2792305674646496,0.3983047330014024,0.8895851225135003,0.3312125748502994,38.482634730538926,2672,,,,,,
59,M11 top-2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M11,0.11960841522332077,0.14337764912419254,0.834219391613242,1.2298016895616066,-0.25782357519183285,0.4639157421284167,0.9395390811076136,0.33083832335329344,39.1562874251497,2672,topk,2.0,,,,
60,M12 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M12,0.1202372236444138,0.1344490914598327,0.8942955459117792,1.3394778232284914,-0.2516349026851529,0.47782411088995613,1.0583675354987336,0.44872754491017963,46.53952095808383,2672,,,,,,
60,M12 top-2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M12,0.12254874790850234,0.1350447371569686,0.9074677805922817,1.3516016547511174,-0.22621363398626437,0.541739000205193,1.0757998058413936,0.44648203592814373,46.53952095808383,2672,topk,2.0,,,,
61,M13 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M13,0.07905983218528001,0.14357319275830202,0.550658731385692,1.007013446506687,-0.505142881675416,0.1565098411820848,0.627681170694596,0.44236526946107785,53.091916167664664,2672,,,,,,
61,M13 top-2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M13,0.07905983218528001,0.14357319275830202,0.550658731385692,1.007013446506687,-0.505142881675416,0.1565098411820848,0.627681170694596,0.44236526946107785,53.091916167664664,2672,topk,2.0,,,,
62,M14 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M14,0.14198679848654994,0.13739489498504284,1.0334212090049415,1.2878601454621825,-0.19740500429738972,0.7192664592871592,1.1012447461167565,0.4569610778443114,25.87634730538922,2672,,,,,,
62,M14 top-2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M14,0.14198679848654994,0.13739489498504284,1.0334212090049415,1.2878601454621825,-0.19740500429738972,0.7192664592871592,1.1012447461167565,0.4569610778443114,25.87634730538922,2672,topk,2.0,,,,
