date,r30_pnl,r37_pnl
2016-02-19,0.014584154513204606,0.014584154513204606
2016-02-22,-0.007381507381507224,-0.007381507381507224
2016-02-23,0.0007827788649705791,0.0007827788649705791
2016-02-24,0.007821666014861117,0.007821666014861117
2016-02-25,0.014357780364765205,0.014357780364765205
2016-02-26,-0.0007651109410863333,-0.0007651109410863333
2016-02-29,-0.009571209800918856,-0.009571209800918856
2016-03-01,0.015075376884422065,0.015075376884422065
2016-03-02,-0.01180502665651173,-0.01180502665651173
2016-03-03,0.008477842003853375,0.008477842003853375
2016-03-04,0.012991975544516476,0.012991975544516476
2016-03-07,-0.0007544322897019562,-0.0007544322897019562
2016-03-08,0.004907512268780723,0.004907512268780723
2016-03-09,-0.010518407212622094,-0.010518407212622094
2016-03-10,-0.0060744115413818855,-0.0060744115413818855
2016-03-11,0.012605042016806678,0.012605042016806678
2016-03-14,-0.010184835910976853,-0.010184835910976853
2016-03-15,-0.01981707317073167,-0.01981707317073167
2016-03-16,0.0073872472783826915,0.0073872472783826915
2016-03-17,0.010034735623311475,0.010034735623311475
2016-03-18,0.0,0.0
2016-03-21,-0.015666794038975862,-0.015666794038975862
2016-03-22,0.008152173913043459,0.008152173913043459
2016-03-23,-0.010396611474778661,-0.010396611474778661
2016-03-24,-0.014007782101167376,-0.014007782101167376
2016-03-25,0.005919494869771169,0.005919494869771169
2016-03-28,-0.003138485680659109,-0.003138485680659109
2016-03-29,0.0023612750885479983,0.0023612750885479983
2016-03-30,0.00903023164507255,0.00903023164507255
2016-03-31,-0.008560311284046662,-0.008560311284046662
2016-04-01,0.006279434850863463,0.006279434850863463
2016-04-05,-0.004680187207488307,-0.004680187207488307
2016-04-06,0.0007836990595611049,0.0007836990595611049
2016-04-07,-0.0003915426781518905,-0.0003915426781518905
2016-04-08,0.006658832745789267,0.006658832745789267
2016-04-11,0.00894941634241242,0.00894941634241242
2016-04-12,0.005399151561897408,0.005399151561897408
2016-04-13,-0.008822401227464582,-0.008822401227464582
2016-04-14,-0.008126934984520107,-0.008126934984520107
2016-04-15,-0.00039016777214218035,-0.00039016777214218035
2016-04-18,0.0007806401249024209,0.0007806401249024209
