date,equity
2013-01-04,1.0
2013-01-07,1.0
2013-01-08,1.0
2013-01-09,1.0
2013-01-10,1.0
2013-01-11,1.0
2013-01-14,1.0
2013-01-15,1.0
2013-01-16,1.0
2013-01-17,1.0
2013-01-18,1.0
2013-01-21,1.0
2013-01-22,1.0
2013-01-23,1.0
2013-01-24,1.0
2013-01-25,1.0
2013-01-28,1.0
2013-01-29,1.0
2013-01-30,1.0
2013-01-31,1.0
2013-02-01,1.0
2013-02-04,1.0
2013-02-05,1.0
2013-02-06,1.0
2013-02-07,1.0
2013-02-08,1.0
2013-02-18,1.0
2013-02-19,1.0
2013-02-20,1.0
2013-02-21,1.0
2013-02-22,1.0
2013-02-25,1.0
2013-02-26,1.0
2013-02-27,1.0
2013-02-28,1.0
2013-03-01,1.0
2013-03-04,1.0
2013-03-05,1.0
2013-03-06,1.0
2013-03-07,1.0
2013-03-08,1.0
2013-03-11,1.0
2013-03-12,1.0
2013-03-13,1.0
2013-03-14,1.0
2013-03-15,1.0
2013-03-18,1.0
2013-03-19,1.0
2013-03-20,1.0
2013-03-21,1.0
2013-03-22,1.0
2013-03-25,1.0
2013-03-26,1.0
2013-03-27,1.0
2013-03-28,1.0
2013-03-29,1.0
2013-04-01,1.0
2013-04-02,1.0
2013-04-03,1.0
2013-04-08,1.0
2013-04-09,1.0
2013-04-10,1.0
2013-04-11,1.0
2013-04-12,1.0
2013-04-15,1.0
2013-04-16,1.0
2013-04-17,1.0
2013-04-18,1.0
2013-04-19,1.0
2013-04-22,1.0
2013-04-23,1.0
2013-04-24,1.0
2013-04-25,1.0007565343337403
2013-04-26,1.0016996495461952
2013-05-02,1.0031222313640906
2013-05-03,1.0032689642311607
2013-05-06,1.0032375841402768
2013-05-07,1.0037356116108769
2013-05-08,1.0038032547628701
2013-05-09,1.0037721053080204
2013-05-10,1.004128563578073
2013-05-13,1.0037084829175629
2013-05-14,1.0029138674363713
2013-05-15,1.0029028552615824
2013-05-16,1.002891470306865
2013-05-17,1.002887254859409
2013-05-20,1.002887254859409
2013-05-21,1.002887254859409
2013-05-22,1.002887254859409
2013-05-23,1.002887254859409
2013-05-24,1.002887254859409
2013-05-27,1.002887254859409
2013-05-28,1.002887254859409
2013-05-29,1.002887254859409
2013-05-30,1.002887254859409
2013-05-31,1.002887254859409
2013-06-03,1.002887254859409
2013-06-04,1.002887254859409
2013-06-05,1.002887254859409
2013-06-06,1.001956003410712
2013-06-07,1.0019435542271642
2013-06-13,1.0009712684944476
2013-06-14,1.0008573557707099
2013-06-17,1.0006093810940764
2013-06-18,1.0001502814463303
2013-06-19,0.9966829727751862
2013-06-20,0.9864548504381795
2013-06-21,0.9880774106011576
2013-06-24,0.9870974954088023
2013-06-25,0.9927103911937687
2013-06-26,0.996808969192929
2013-06-27,0.9983275804457667
2013-06-28,0.9996558431850561
2013-07-01,0.9996540757739997
2013-07-02,0.9996031114774205
2013-07-03,0.99847270743201
2013-07-04,0.9987449976153214
2013-07-05,0.9996356003686903
2013-07-08,0.9994789934891842
2013-07-09,0.9983695257097275
2013-07-10,1.0032211494022976
2013-07-11,1.0189246356708002
2013-07-12,1.0250224365019804
2013-07-15,1.0263448123618208
2013-07-16,1.02457960464738
2013-07-17,1.025064172317864
2013-07-18,1.0258959767363844
2013-07-19,1.024965195161913
2013-07-22,1.0237739223409044
2013-07-23,1.0343557019077623
2013-07-24,1.0274205122552678
2013-07-25,1.0269644282476598
2013-07-26,1.0310772085188835
2013-07-29,1.031339436565462
2013-07-30,1.030550582280838
2013-07-31,1.034063160898412
2013-08-01,1.034034798629546
2013-08-02,1.031437933036038
2013-08-05,1.031425094138384
2013-08-06,1.031492949264124
2013-08-07,1.0283077165135797
2013-08-08,1.026857295788385
2013-08-09,1.0265721910154058
2013-08-12,1.0255193424723186
2013-08-13,1.0239529309643598
2013-08-14,1.0214654128480398
2013-08-15,1.0217139585065809
2013-08-16,1.023550458010924
2013-08-19,1.0195899782143214
2013-08-20,1.0199463801356767
2013-08-21,1.0202348226672993
2013-08-22,1.0194882359165667
2013-08-23,1.021788459028828
2013-08-26,1.0222053591541906
2013-08-27,1.022225788865566
2013-08-28,1.019088818668762
2013-08-29,1.0195291244017715
2013-08-30,1.020635063919089
2013-09-02,1.0204774635382259
2013-09-03,1.020012646931599
2013-09-04,1.0194513051570833
2013-09-05,1.018879152166096
2013-09-06,1.0183987852343896
2013-09-09,1.0177080932532445
2013-09-10,1.0168814175168517
2013-09-11,1.0137900852098636
2013-09-12,1.0132909200694495
2013-09-13,1.013808351428415
2013-09-16,1.0164965424788324
2013-09-17,1.0169309567512839
2013-09-18,1.0162254319491182
2013-09-23,1.0161847514776305
2013-09-24,1.016175283562867
2013-09-25,1.0161394812769358
2013-09-26,1.016126048442402
2013-09-27,1.0160945730438604
2013-09-30,1.0156017667398507
2013-10-08,1.016130714694038
2013-10-09,1.0167271030164502
2013-10-10,1.0162489591220827
2013-10-11,1.0159003799485102
2013-10-14,1.0158892771905281
2013-10-15,1.0158783294800502
2013-10-16,1.0158666138088661
2013-10-17,1.0158565876711627
2013-10-18,1.0152021014494947
2013-10-21,1.0148618268625915
2013-10-22,1.0143470995271482
2013-10-23,1.0135124363896986
2013-10-24,1.0134722963477296
2013-10-25,1.0116355829829804
2013-10-28,1.0114529440968265
2013-10-29,1.0104773644707925
2013-10-30,1.009942413263141
2013-10-31,1.0131177043776567
2013-11-01,1.0139784529600415
2013-11-04,1.0127233059719707
2013-11-05,1.0113410540962837
2013-11-06,1.0083559791366088
2013-11-07,1.003187193940835
2013-11-08,0.9990289446477381
2013-11-11,0.9943581611448105
2013-11-12,0.9966348972925612
2013-11-13,0.9920470746709299
2013-11-14,0.9959809550967511
2013-11-15,0.9919920900740968
2013-11-18,0.9901909259545197
2013-11-19,0.9932073123398864
2013-11-20,0.9922926932707969
2013-11-21,0.9909119965644089
2013-11-22,0.9900587674327492
2013-11-25,0.9874226689983828
2013-11-26,0.9883652488863898
2013-11-27,0.9896717976154337
2013-11-28,0.9889767330199222
2013-11-29,0.9891487284663995
2013-12-02,0.9883866590101207
2013-12-03,0.988302617545631
2013-12-04,0.9881940981009055
2013-12-05,0.9881781207929043
2013-12-06,0.9881738981333807
2013-12-09,0.9881669120611247
2013-12-10,0.988160613957571
2013-12-11,0.9881529148711465
2013-12-12,0.9881391728054388
2013-12-13,0.9881320427113487
2013-12-16,0.9881257100379064
2013-12-17,0.9881215277706414
2013-12-18,0.9852991895120272
2013-12-19,0.9825229573053246
2013-12-20,0.9782837446227409
2013-12-23,0.9810927605785982
2013-12-24,0.9808325307593393
2013-12-25,0.9824306287761255
2013-12-26,0.9829246042621416
2013-12-27,0.9839011431568888
2013-12-30,0.9821690561513665
2013-12-31,0.9834105861985414
2014-01-02,0.9883224596417711
2014-01-03,0.9842869088695769
2014-01-06,0.9832192014417575
2014-01-07,0.9850794999198799
2014-01-08,0.9851871961597353
2014-01-09,0.9843169069042732
2014-01-10,0.9857387984416799
2014-01-13,0.9879062743767082
2014-01-14,0.9875173778729746
2014-01-15,0.9866620581179782
2014-01-16,0.986806050498806
2014-01-17,0.9853505904580951
2014-01-20,0.9864933566764706
2014-01-21,0.9890131426390723
2014-01-22,0.9903048100585459
2014-01-23,0.9905020187479593
2014-01-24,0.9921926654057921
2014-01-27,0.9969288383706184
2014-01-28,0.9955922964580571
2014-01-29,0.9947257637986633
2014-01-30,0.995420585512441
2014-02-07,0.9972374593234427
2014-02-10,0.9987452964720471
2014-02-11,1.00014563652357
2014-02-12,1.0005468539107092
2014-02-13,1.0006788204758292
2014-02-14,1.0042383780083743
2014-02-17,1.006830500059269
2014-02-18,1.0055106917014132
2014-02-19,1.008026332640407
2014-02-20,1.0068217864501356
2014-02-21,1.0066186805016761
2014-02-24,1.009171195780287
2014-02-25,1.0118417290751527
2014-02-26,1.0143645246169029
2014-02-27,1.0132998859382576
2014-02-28,1.014200438763597
2014-03-03,1.0154895521811056
2014-03-04,1.01170140939469
2014-03-05,1.0099760091876377
2014-03-06,1.0105491483505833
2014-03-07,1.0117438092588507
2014-03-10,1.009137407017367
2014-03-11,1.0117660822877743
2014-03-12,1.0135632051800583
2014-03-13,1.017646357107788
2014-03-14,1.017860178832398
2014-03-17,1.0206717003947003
2014-03-18,1.0166796946062682
2014-03-19,1.0155914405841402
2014-03-20,1.0130088313600722
2014-03-21,1.0149227121099809
2014-03-24,1.0145453148676582
2014-03-25,1.0119973893959615
2014-03-26,1.0123395087888498
2014-03-27,1.0098859944586749
2014-03-28,1.0089615343756964
2014-03-31,1.0074920481811478
2014-04-01,1.0058536055924763
2014-04-02,1.0054893846330373
2014-04-03,1.006244827014854
2014-04-04,1.0047877486631904
2014-04-08,1.0082521848128148
2014-04-09,1.0093287718584367
2014-04-10,1.0108219502353546
2014-04-11,1.0132411273289685
2014-04-14,1.0159963659926687
2014-04-15,1.0163682778911673
2014-04-16,1.0122821317745183
2014-04-17,1.0170352152398836
2014-04-18,1.016774853991855
2014-04-21,1.0169870149869684
2014-04-22,1.0142683766544704
2014-04-23,1.01471086460903
2014-04-24,1.011619181583988
2014-04-25,1.015322138070586
2014-04-28,1.0167592814830744
2014-04-29,1.0159866161668447
2014-04-30,1.0195909202171818
2014-05-05,1.0215733591892788
2014-05-06,1.0224831389249256
2014-05-07,1.0211306345818651
2014-05-08,1.0200231672431184
2014-05-09,1.023254112705084
2014-05-12,1.0227869726042214
2014-05-13,1.0226225326039702
2014-05-14,1.021686691407974
2014-05-15,1.0232276978497483
2014-05-16,1.0222275677479606
2014-05-19,1.0217810264295502
2014-05-20,1.0217073546591742
2014-05-21,1.021307033574194
2014-05-22,1.0225895736241661
2014-05-23,1.0232189137684595
2014-05-26,1.0241258507973965
2014-05-27,1.0262706950548415
2014-05-28,1.0238844240018703
2014-05-29,1.0235441662198594
2014-05-30,1.0251094773025344
2014-06-03,1.025318721186949
2014-06-04,1.0287365482057027
2014-06-05,1.023075065372645
2014-06-06,1.0250701720882271
2014-06-09,1.0248312177381256
2014-06-10,1.024600630319117
2014-06-11,1.0259460627834982
2014-06-12,1.0243343758186563
2014-06-13,1.024919496596802
2014-06-16,1.0292111445482726
2014-06-17,1.0260264735921845
2014-06-18,1.0259950245723644
2014-06-19,1.027161648387933
2014-06-20,1.0327708645747629
2014-06-23,1.0335169257646282
2014-06-24,1.035699032400204
2014-06-25,1.0348942221111364
2014-06-26,1.033299959660593
2014-06-27,1.0327947648395621
2014-06-30,1.0319794017457582
2014-07-01,1.0316844110423247
2014-07-02,1.0313800987183042
2014-07-03,1.0311255312546865
2014-07-04,1.0309049077169654
2014-07-07,1.0293338857685508
2014-07-08,1.0270742490049138
2014-07-09,1.0247199586593096
2014-07-10,1.0222728449824792
2014-07-11,1.03036076391976
2014-07-14,1.0287791706161045
2014-07-15,1.0267603979851547
2014-07-16,1.0233864322228365
2014-07-17,1.0214978837857
2014-07-18,1.022272729769932
2014-07-21,1.0227354140688036
2014-07-22,1.0227522103405184
2014-07-23,1.022629916335548
2014-07-24,1.0212826881930346
2014-07-25,1.022005957809167
2014-07-28,1.0273218019164363
2014-07-29,1.0335395385657622
2014-07-30,1.031473508029616
2014-07-31,1.0483618004086674
2014-08-01,1.0348497420505711
2014-08-04,1.06043630392029
2014-08-05,1.0567099144346677
2014-08-06,1.0519794599594041
2014-08-07,1.034089555124638
2014-08-08,1.0360643363546296
2014-08-11,1.056780569874421
2014-08-12,1.0571471228411808
2014-08-13,1.0550880752133374
2014-08-14,1.0516870614301754
2014-08-15,1.064272912744002
2014-08-18,1.07319422841686
2014-08-19,1.0763797453795474
2014-08-20,1.0744350515374148
2014-08-21,1.0694428095668338
2014-08-22,1.0775442192253493
2014-08-25,1.0672418121313612
2014-08-26,1.0610520807658668
2014-08-27,1.0611816055159584
2014-08-28,1.0531211272756424
2014-08-29,1.0572629091641688
2014-09-01,1.0675568614901332
2014-09-02,1.0759377745240601
2014-09-03,1.0834283222500307
2014-09-04,1.0845080497731343
2014-09-05,1.090206974772018
2014-09-09,1.0891510868039802
2014-09-10,1.082561939098723
2014-09-11,1.0805923042410246
2014-09-12,1.0873475356222027
2014-09-15,1.0869493753741584
2014-09-16,1.060572772909773
2014-09-17,1.065143642203637
