,sharpe,ret,vol,dd,calmar
R30,0.7751394121767221,0.1303122100687668,0.16811454561809488,-0.24919499792736377,0.5229326878653907
R41 override→511260,0.8474284734198134,0.133666690805204,0.1577321213503596,-0.24919499792736477,0.5363939562067979
"R42 pool {国开,货币,油气}",0.918722828881331,0.14968009606809107,0.1629219296208703,-0.24919499792736366,0.6006544967315933
