param,pct,value,sharpe,ann_ret,max_dd,calmar
rsrs_N,-30,21.0,1.168886098542318,0.14175037729444329,-0.13154324240415505,1.0775952812454457
rsrs_N,-20,24.0,1.2331787734708821,0.14948308453752612,-0.1258606158677762,1.1876875343957214
rsrs_N,-10,27.0,1.2791124349700929,0.1559771839749522,-0.12264229869186216,1.2718057769517488
rsrs_N,0,30.0,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
rsrs_N,10,33.0,1.1597886727915474,0.14175587767802433,-0.13654699656927483,1.038147167199733
rsrs_N,20,36.0,1.159606676407464,0.14089917899889026,-0.1374890130502444,1.0248031888002544
rsrs_N,30,39.0,1.2367941158275215,0.14990388467074744,-0.1349854832703954,1.11051856124757
mom_L,-30,126.0,1.2741476898527362,0.15781238965673117,-0.11484307791458592,1.3741567408538413
mom_L,-20,144.0,1.2679836118378416,0.15653568422084385,-0.1440406731546534,1.0867464084451675
mom_L,-10,162.0,1.2299327738217138,0.15153174281781445,-0.11624480082196231,1.3035571633857135
mom_L,0,180.0,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
mom_L,10,198.0,1.163693174547459,0.1397043166817249,-0.14390826802079237,0.970787284171469
mom_L,20,216.0,1.1376874240463792,0.13886621851198755,-0.13535657790720823,1.0259288514754363
mom_L,30,234.0,1.1230290360678836,0.1353228971413749,-0.14484667914656435,0.9342492208913349
w_rsrs,-30,0.13999999999999999,1.1988973594888928,0.14398159249447406,-0.13501682921308833,1.0663973767835804
w_rsrs,-20,0.16000000000000003,1.256768517611796,0.15166065103871973,-0.12670887598676095,1.1969220771445075
w_rsrs,-10,0.18000000000000002,1.2454570363917632,0.1507827135866442,-0.13324729574353922,1.1316005532814366
w_rsrs,0,0.2,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
w_rsrs,10,0.22000000000000003,1.2480883914042862,0.15294319686039093,-0.14774854037129226,1.0351587668889621
w_rsrs,20,0.24,1.1621483282627691,0.14182215245760355,-0.14660933685842403,0.9673473429223453
w_rsrs,30,0.26,1.2158687761223281,0.14703595268919734,-0.143626110391338,1.023741103122326
top_k,-30,5.0,1.223534956704645,0.15377466587432242,-0.14340703232213503,1.072295154458664
top_k,-20,6.0,1.204051690083342,0.14754740729288285,-0.14625459376185124,1.008839472988703
top_k,-10,6.0,1.204051690083342,0.14754740729288285,-0.14625459376185124,1.008839472988703
top_k,0,7.0,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
top_k,10,8.0,1.2542884855222953,0.14823818674515588,-0.13475459225060327,1.100060371000026
top_k,20,8.0,1.2542884855222953,0.14823818674515588,-0.13475459225060327,1.100060371000026
top_k,30,9.0,1.2094497503101236,0.14060700428523698,-0.15118488367997718,0.9300334852449199
rebal_threshold,-30,0.27999999999999997,1.1135246479131533,0.137002200710016,-0.1482220179485575,0.9243039772779542
rebal_threshold,-20,0.32000000000000006,1.3412861237892955,0.1654218177894049,-0.1478394737252432,1.1189286164318886
rebal_threshold,-10,0.36000000000000004,1.3301787716116942,0.16388336476193843,-0.1478394737252431,1.108522376550884
rebal_threshold,0,0.4,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
rebal_threshold,10,0.44000000000000006,1.317170430703134,0.16155580539091718,-0.1478394737252433,1.0927785477048262
rebal_threshold,20,0.48,1.3140381745555787,0.1611718947622196,-0.14783947372524298,1.0901817403770977
rebal_threshold,30,0.52,1.3092143565301881,0.16091372588570496,-0.14783947372524342,1.0884354619981924
mvo_shrink,-30,0.21,1.3213787501874679,0.16207553171485323,-0.14883902121279202,1.0889317223010841
mvo_shrink,-20,0.24,1.3198250168348926,0.16188241628950428,-0.14851926137553362,1.0899759047426292
mvo_shrink,-10,0.27,1.3182094130550566,0.1616833652048042,-0.1481864125133988,1.0910809058838982
mvo_shrink,0,0.3,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
mvo_shrink,10,0.33,1.31475146538956,0.16126224717763216,-0.14747735712171295,1.0934712306007934
mvo_shrink,20,0.36,1.3131606567092713,0.16107114696683156,-0.1470988775536376,1.0949855610427697
mvo_shrink,30,0.39,1.311644722661068,0.16089126205603632,-0.14670274090538427,1.0967161285677882
top_n_cats,-30,2.0,1.323821753705117,0.16222013364885712,-0.13744691843710022,1.1802384185360537
top_n_cats,-20,2.0,1.323821753705117,0.16222013364885712,-0.13744691843710022,1.1802384185360537
top_n_cats,-10,3.0,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
top_n_cats,0,3.0,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
top_n_cats,10,3.0,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
top_n_cats,20,4.0,1.2800134083718149,0.15575036935132847,-0.13367307280223162,1.1651588916621978
top_n_cats,30,4.0,1.2800134083718149,0.15575036935132847,-0.13367307280223162,1.1651588916621978
intra_vol_lb,-30,42.0,1.3096591300912255,0.16063336837718167,-0.14782311515036428,1.0866593375047395
intra_vol_lb,-20,48.0,1.3143303179179646,0.16121649584762165,-0.14786383146246496,1.0903037900011827
intra_vol_lb,-10,54.0,1.3149104817992991,0.161286017903834,-0.14780050934736388,1.091241286082284
intra_vol_lb,0,60.0,1.3165187994926897,0.16147667749055405,-0.14783947372524353,1.0922433192007635
intra_vol_lb,10,66.0,1.317350519671414,0.16158869984074364,-0.14776088176421365,1.0935824009130877
intra_vol_lb,20,72.0,1.3191576661603266,0.16180921406980087,-0.14779592050076307,1.0948151581015082
intra_vol_lb,30,78.0,1.3190236436003369,0.16178850327324534,-0.14778170187826056,1.094780349779185
