window,test_start,test_end,R30_train_sh,R30_test_sh,R30_test_ret,R30_test_dd,R42_train_sh,R42_test_sh,R42_test_ret,R42_test_dd,M3_train_sh,M3_test_sh,M3_test_ret,M3_test_dd,M5_train_sh,M5_test_sh,M5_test_ret,M5_test_dd,M1_train_sh,M1_test_sh,M1_test_ret,M1_test_dd,M3+DP_train_sh,M3+DP_test_sh,M3+DP_test_ret,M3+DP_test_dd,M5+DP_train_sh,M5+DP_test_sh,M5+DP_test_ret,M5+DP_test_dd
0,2016-02-19,2017-03-01,1.848276193116438,1.544656749307749,0.20554968134451657,-0.06333946248531674,1.6789531056970768,1.572787909260389,0.20901996429150338,-0.06333946248531652,1.6277991764769137,0.9406600309549098,0.06921665282096501,-0.06333946248531674,1.3774758796053355,0.8371209720408874,0.10141197194540474,-0.09494396554254281,1.6428151522010053,0.9972306175901217,0.07323748542442399,-0.06333946248531663,1.4767062801017645,0.9750414505653239,0.07210862014895558,-0.06333946248531686,1.2474705781656967,0.8676774525705555,0.10527884006934296,-0.09494396554254281
1,2016-05-20,2017-06-05,2.013588563488655,1.404947589596952,0.1670569823442729,-0.06333946248531719,1.8377880129430861,1.435508189456677,0.17041646060275117,-0.06333946248531663,1.6361882471209896,0.8868339186477968,0.07317185352492483,-0.06333946248531641,1.6626686570958196,1.4605534866819148,0.1349666848626836,-0.06435725936110537,1.6671885190196072,0.9013376745063018,0.074411699692424,-0.06333946248531641,1.4849588767224975,0.9183324056706831,0.07607451869528403,-0.06333946248531652,1.5181465084359245,1.499221477477092,0.1389484981556115,-0.06435725936110526
2,2016-08-19,2017-08-31,2.1571696629488626,1.7170909705249782,0.1651586344856848,-0.06333946248531686,1.9942779103054653,1.712471342526548,0.1646757550736795,-0.06333946248531686,1.6885184743790058,1.7021119098186026,0.16330951571082908,-0.06333946248531686,1.9136685478619482,1.5406758699739695,0.14801661491438534,-0.06435725936110537,1.7069305473615646,1.7170488637713315,0.16481710606735445,-0.06333946248531686,1.544136038550723,1.7021119098186026,0.16330951571082908,-0.06333946248531686,1.7757060164817449,1.5406758699739695,0.14801661491438534,-0.06435725936110537
3,2016-11-25,2017-12-05,2.431559701206874,1.2109363695287705,0.11273386646192685,-0.06333946248531697,2.2637906519282023,1.1985056876619733,0.11155030823262013,-0.06333946248531697,1.8968781574173406,1.169840218864651,0.10858240580749778,-0.06333946248531697,1.8066812151866911,1.1722072767549605,0.10892224289696517,-0.06333946248531697,1.9144332159601885,1.1847118358998516,0.11001907259465882,-0.06333946248531697,1.7519319930540107,1.169840218864651,0.10858240580749778,-0.06333946248531697,1.6644163480379224,1.1722072767549605,0.10892224289696517,-0.06333946248531697
4,2017-03-02,2018-03-12,2.330772050086638,1.5814597935516137,0.162988789738872,-0.06591120304341458,2.1659701777208142,1.5697308131149865,0.1617517779122577,-0.06591120304341469,1.8075953948505892,1.5393966411322135,0.1581824908194347,-0.06541743734345162,1.805229346539279,1.4822778562411945,0.15219391043586228,-0.06620580877599613,1.819965970497489,1.5393966411322135,0.1581824908194347,-0.06541743734345162,1.666829889988808,1.5393966411322135,0.1581824908194347,-0.06541743734345162,1.6644989246222708,1.4822778562411945,0.15219391043586228,-0.06620580877599613
5,2017-06-06,2018-06-13,2.214320383611911,1.6679048887265346,0.16016041650375668,-0.06591120304341502,2.049198191302423,1.6553887751872771,0.15892641307341848,-0.0659112030434148,1.815593434242823,1.6733110199347974,0.1607355843008198,-0.0654174373434514,1.813111543877825,2.2485941848495945,0.23463527320827549,-0.06620580877599613,1.8301547349480796,1.681218627795738,0.1615076714982402,-0.0654174373434514,1.67640767530743,1.6733110199347974,0.1607355843008198,-0.0654174373434514,1.674004261034506,2.2485941848495945,0.23463527320827549,-0.06620580877599613
6,2017-09-01,2018-09-11,2.5120944207507816,0.8573408964586386,0.07054008419341518,-0.06591120304341491,2.340270914026799,1.0179203821775733,0.08583458452651938,-0.06591120304341469,1.991580519505643,0.882124468860693,0.07232667203844523,-0.0654174373434514,2.054934040315318,0.5476694711898659,0.08388297119878563,-0.09731293876843217,2.0065535159372616,0.938775213754592,0.07713485647182705,-0.0654174373434514,1.851647887061334,1.0577311543985581,0.08897021084404666,-0.0654174373434514,1.9196639551709058,0.5021064577490973,0.07274313412028022,-0.09731293876843217
7,2017-12-06,2018-12-17,2.39903779274964,1.039071870032816,0.07088523338951935,-0.06591120304341469,2.222504808127954,1.2263497840533844,0.08666939819818897,-0.06591120304341469,1.8540960188926823,0.9846156554209805,0.06657862328355169,-0.06541743734345173,1.9081968527493423,-0.15702844654881584,-0.026587217211812675,-0.1458816245272464,1.868846226496787,-0.16335480405695413,-0.02671028240456863,-0.1458816245272464,1.7103856792935752,1.176493895060546,0.08255650877891108,-0.06541743734345173,1.7699241872835152,-0.22623613300657752,-0.036610979468749916,-0.1468916067578252
8,2018-03-13,2019-03-25,1.6178709261271673,1.2781218153202456,0.05949669898114229,-0.026310251879655522,1.445642441087097,1.478264738442485,0.07396992178280559,-0.0263102518796553,1.269855094643355,-0.22755499403475068,-0.04191252779842802,-0.20685530471793212,1.4259885282675493,-0.5692733223577054,-0.08388442249692141,-0.1458816245272465,1.3676406550489724,-0.5947679307132935,-0.0836523591542182,-0.14588162452724707,1.2877552020334677,-0.29474644581775217,-0.05226466791448159,-0.2081901409498822,1.288946197075027,-0.6763634616255019,-0.09378291153153462,-0.1468916067578253
9,2018-06-14,2019-06-27,1.7214801176175332,0.9920148402259217,0.04699421418883931,-0.039781968410719015,1.539217680880434,1.2051124099257338,0.061294244877035275,-0.039781968410719126,1.2638433884005171,1.2623294882567981,0.055729581969246045,-0.03541111497951055,1.4049861350814647,-0.7270044688554331,-0.09023926270446059,-0.14588162452724684,1.3021134611534062,-0.6892873046167475,-0.08493393907980484,-0.14588162452724696,1.10356056163743,1.4911044771791988,0.0715449433561437,-0.03541111497951044,1.2690784086138813,-0.8804162676473589,-0.10006908866024944,-0.14689160675782553
