round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,rr_pos,rr_neg,dxy_mom,fallback,n_changed,gold_added,gold_removed,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,q,blend,off,full
37,gold_cond rr_pos=1.0 rr_neg=0.0 dxy=-0.02 fb=511260,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,1.0,0.0,-0.02,511260,265.0,160.0,105.0,0.171009505692846,0.1362247911573001,1.255347901362386,1.5491274850409904,-0.1408563689423732,1.2140700983340624,1.5096341798269068,0.4741766467065868,29.159730538922158,2672,,,,
37,gold_cond rr_pos=0.5 rr_neg=-0.5 dxy=-0.02 fb=511260,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,0.5,-0.5,-0.02,511260,207.0,49.0,158.0,0.16689122451071392,0.13455702677454612,1.2403010716812628,1.5527912637834105,-0.13437516908362734,1.2419796428821641,1.4871982296025261,0.47005988023952094,31.221107784431133,2672,,,,
37,gold_cond rr_pos=1.5 rr_neg=-1.0 dxy=-0.05 fb=511260,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,1.5,-1.0,-0.05,511260,55.0,17.0,38.0,0.19106545404175357,0.13592299975512376,1.4056889149442948,1.6691299141361853,-0.1343751690836278,1.4218806595349833,1.6895344691276117,0.47941616766467066,25.46811377245509,2672,,,,
37,gold_cond rr_pos=1.0 rr_neg=0.0 dxy=-0.02 fb=511010,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,1.0,0.0,-0.02,511010,265.0,160.0,105.0,0.1722919533780911,0.13630016391946712,1.264062701200343,1.5634917610950823,-0.14085636894237352,1.2231747465290572,1.5320745604712112,0.4861526946107784,29.914221556886233,2672,,,,
37,gold_cond rr_pos=1.0 rr_neg=0.0 dxy=-0.02 fb=515080,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,1.0,0.0,-0.02,515080,265.0,160.0,105.0,0.16565899615055169,0.13694251901266552,1.2096973047153474,1.5187403266518587,-0.14085636894237352,1.1760845277669005,1.4592617440919915,0.47342814371257486,29.914221556886233,2672,,,,
37,gold_cond rr_pos=2.0 rr_neg=-2.0 dxy=-0.05 fb=511260,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,2.0,-2.0,-0.05,511260,32.0,17.0,15.0,0.1941513134367996,0.13647434381964402,1.4226213367501357,1.6958938795139205,-0.1343751690836279,1.444845165671719,1.7202205348854591,0.4839071856287425,26.599850299401197,2672,,,,
38,tilt q=0.6 blend=0.3,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.19117090656115576,0.13734966967075735,1.3918555976102016,1.674439821076079,-0.13485952989368222,1.417555783502042,1.7262255119326453,0.49476047904191617,27.489071856287424,2672,0.6,0.3,,
38,tilt q=0.6 blend=0.5,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.18525574051545934,0.138866888971373,1.3340526448579781,1.6323999532829336,-0.13485952989368255,1.3736940997904041,1.6713826622716192,0.4921407185628742,29.37529940119761,2672,0.6,0.5,,
38,tilt q=0.6 blend=0.7,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.17923376882180309,0.14118883057501128,1.269461387928836,1.5812425761990176,-0.13485952989368266,1.3290404390635435,1.6014963649855276,0.48914670658682635,31.261526946107786,2672,0.6,0.7,,
38,tilt q=0.6 blend=1.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.1700048763100166,0.14609148814918416,1.163687758019227,1.4911774403265918,-0.14573178510235718,1.1665600348654948,1.470155178257301,0.48727544910179643,34.090868263473055,2672,0.6,1.0,,
38,tilt q=0.7 blend=0.3,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.19521943127663954,0.1372868996111925,1.421981498813919,1.6984924064226625,-0.13485952989368255,1.4475760921793375,1.7575975208008134,0.49550898203592814,26.801946107784428,2672,0.7,0.3,,
38,tilt q=0.7 blend=0.5,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.19216810125457218,0.13862005807069122,1.3862936138475241,1.6735453828512612,-0.13485952989368233,1.4249501047947413,1.7288391791313154,0.49288922155688625,28.12230538922156,2672,0.7,0.5,,
38,tilt q=0.7 blend=0.7,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.18900449652894946,0.1406618313799005,1.3436800493410666,1.6398003219129111,-0.13485952989368244,1.4014915866750584,1.685810096197672,0.49101796407185627,29.442664670658687,2672,0.7,0.7,,
38,tilt q=0.7 blend=1.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.18404942441006367,0.14499159948985174,1.269379916199529,1.5754208231203022,-0.13485952989368244,1.3647491175088662,1.5931800981849324,0.4906437125748503,31.423203592814374,2672,0.7,1.0,,
38,tilt q=0.8 blend=0.3,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.19476896314106806,0.13708969084863254,1.4207411362253493,1.6931951346654681,-0.13485952989368233,1.4442358155527892,1.7513468004694683,0.49476047904191617,26.45973053892215,2672,0.8,0.3,,
38,tilt q=0.8 blend=0.5,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.1915195212306986,0.13802065342424957,1.3876149436997922,1.668425826899398,-0.13485952989368244,1.4201408041514345,1.7213418594223957,0.4921407185628742,27.516017964071857,2672,0.8,0.5,,
38,tilt q=0.8 blend=0.7,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.1881961060693098,0.13944370919462382,1.3496206258156938,1.6374109236517942,-0.13485952989368233,1.3954972719960972,1.6807130777117616,0.4898952095808383,28.57230538922155,2672,0.8,0.7,,
38,tilt q=0.8 blend=1.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.1830655479301604,0.1425128141621745,1.284554999537363,1.580737615087699,-0.13485952989368233,1.357453552407321,1.5987209391177633,0.48952095808383234,30.15673652694611,2672,0.8,1.0,,
39,refine k=3 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,,,,,,,0.15529528970889372,0.1500745846828825,1.0347874027907051,1.4350974575766924,-0.19259767092285807,0.806319666093443,1.320397589152724,0.47380239520958084,43.16317365269461,2672,,,,
39,refine k=3 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,,,,,,,0.15529528970889372,0.1500745846828825,1.0347874027907051,1.4350974575766924,-0.19259767092285807,0.806319666093443,1.320397589152724,0.47380239520958084,43.16317365269461,2672,,,,
39,refine k=3 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.15529528970889372,0.1500745846828825,1.0347874027907051,1.4350974575766924,-0.19259767092285807,0.806319666093443,1.320397589152724,0.47380239520958084,43.16317365269461,2672,,,,
39,refine k=3 wr=0.2 L=120 rb=0.6,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,,,,,,0.15529528970889372,0.1500745846828825,1.0347874027907051,1.4350974575766924,-0.19259767092285807,0.806319666093443,1.320397589152724,0.47380239520958084,43.16317365269461,2672,,,,
39,refine k=3 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,,,,,,,0.1860613459100191,0.14565689386119204,1.277394711487749,1.6607491115683093,-0.13305217372766487,1.3984089150685728,1.5966363582125862,0.4752994011976048,38.887724550898206,2672,,,,
39,refine k=3 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,,,,,,,0.1860613459100191,0.14565689386119204,1.277394711487749,1.6607491115683093,-0.13305217372766487,1.3984089150685728,1.5966363582125862,0.4752994011976048,38.887724550898206,2672,,,,
39,refine k=3 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.1860613459100191,0.14565689386119204,1.277394711487749,1.6607491115683093,-0.13305217372766487,1.3984089150685728,1.5966363582125862,0.4752994011976048,38.887724550898206,2672,,,,
39,refine k=3 wr=0.2 L=180 rb=0.6,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,,,,,,0.1860613459100191,0.14565689386119204,1.277394711487749,1.6607491115683093,-0.13305217372766487,1.3984089150685728,1.5966363582125862,0.4752994011976048,38.887724550898206,2672,,,,
39,refine k=3 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,,,,,,,0.14168519972054994,0.14022318891398639,1.010426312636923,1.3949390587256913,-0.13740610090421712,1.0311419856045234,1.2289307647021415,0.4711826347305389,39.29640718562874,2672,,,,
39,refine k=3 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,,,,,,,0.14168519972054994,0.14022318891398639,1.010426312636923,1.3949390587256913,-0.13740610090421712,1.0311419856045234,1.2289307647021415,0.4711826347305389,39.29640718562874,2672,,,,
39,refine k=3 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.14168519972054994,0.14022318891398639,1.010426312636923,1.3949390587256913,-0.13740610090421712,1.0311419856045234,1.2289307647021415,0.4711826347305389,39.29640718562874,2672,,,,
39,refine k=3 wr=0.2 L=252 rb=0.6,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,,,,,,0.14168519972054994,0.14022318891398639,1.010426312636923,1.3949390587256913,-0.13740610090421712,1.0311419856045234,1.2289307647021415,0.4711826347305389,39.29640718562874,2672,,,,
39,refine k=3 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,,,,,,,0.15721025971024138,0.14935384809906393,1.0526026728549132,1.4897921424700908,-0.14381900623257482,1.0931118482073996,1.3196507702335305,0.47642215568862273,46.49550898203593,2672,,,,
39,refine k=3 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,,,,,,,0.15721025971024138,0.14935384809906393,1.0526026728549132,1.4897921424700908,-0.14381900623257482,1.0931118482073996,1.3196507702335305,0.47642215568862273,46.49550898203593,2672,,,,
39,refine k=3 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,,,,,,,0.15721025971024138,0.14935384809906393,1.0526026728549132,1.4897921424700908,-0.14381900623257482,1.0931118482073996,1.3196507702335305,0.47642215568862273,46.49550898203593,2672,,,,
