year,R77_sharpe,R77_ret,R77_dd,CSI300_sharpe,CSI300_ret,CSI300_dd
2013,-0.5411617508342492,-1.7556646192466552,-5.420955013986239,-0.2887030945177478,-9.661723037131987,-30.42575285565935
2014,3.5156920796675255,54.49247145052063,-6.135199005255309,2.829237215974698,84.60836397364679,-15.647600262984918
2015,1.524060368424289,23.443452463284697,-7.156463856845807,0.1588922464188534,8.907217556982872,-51.14487010127697
2016,1.5048500313639397,11.356021679153905,-6.132204975274169,-0.4665059602165597,-12.617827918167057,-24.20156139105748
2017,1.812048239008887,16.85797552850019,-5.776858151106601,2.253256124716435,30.315802576810214,-7.276736493936021
2018,1.8116299505721891,11.003045807796518,-6.633070933925644,-1.0890971261637834,-29.28909002578697,-35.432654141307104
2019,0.6961825185650574,5.637801476866189,-6.747377500277207,2.103683584298432,49.2067227775054,-15.475189234650932
2020,2.6982005047990425,53.477146012431035,-9.102907406585937,1.2962793487619972,34.451462766048266,-18.216114254917805
2021,0.6334167623474191,10.458654167248781,-13.36730728022324,-0.22252803638165583,-4.472324014974893,-18.52264291017075
2022,0.36440075754519424,2.661986225708546,-8.948855243478116,-1.0233621689795158,-22.469235697703404,-29.534018814263806
2023,0.2586210590720019,3.618634881103766,-11.758114826253518,-0.7515749383295499,-10.840969383301024,-21.299363057324893
