year,r30_sharpe,r37_sharpe,r30_ret,r37_ret,r30_dd,r37_dd,delta_sharpe
2016,1.355018068541278,1.355018068541278,0.1921927001772501,0.1921927001772501,-0.06333946248531674,-0.06333946248531674,0.0
2017,1.8599849954481862,1.8196921734224318,0.17338407338507267,0.1695619365507639,-0.05776858151106601,-0.0580653217251339,-0.04029282202575435
2018,1.3421328921926163,1.1726651947443492,0.07822240038162875,0.06826871334715512,-0.06591120304341502,-0.06614395787980276,-0.16946769744826717
2019,0.5904717311332386,0.5904717311332386,0.055458327181795886,0.055458327181795886,-0.060828670618821246,-0.060828670618821246,0.0
2020,2.6166352305174394,2.6166352305174394,0.5171383156667655,0.5171383156667655,-0.09102907406585947,-0.09102907406585947,0.0
2021,0.2824681559438394,0.2824681559438394,0.06354796211628155,0.06354796211628155,-0.15613451283400814,-0.15613451283400814,0.0
2022,-0.451296708888914,-0.45348447283127435,-0.11728062408003337,-0.11767254450792575,-0.20022294108487082,-0.20022294108487082,-0.0021877639423603656
2023,4.811733817683285,4.946143163481737,0.6801917583503909,0.7313911124703465,-0.016118913493584075,-0.016118913493583964,0.13440934579845187
