year,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n
2013,0.004330391982436899,0.020129697701604898,0.21512454119425975,-0.023012598782451432,0.1881748351576484,0.2830239690133565,0.39915966386554624,238
2014,0.9535955894646455,0.24019936531745176,3.970017107265694,-0.09265793682454782,10.2915694234626,5.795124559738728,0.5755102040816327,245
2015,0.3954398341670784,0.21619009211021423,1.8291302358365351,-0.17338527944574944,2.280700157655585,2.517666780458072,0.5450819672131147,244
2016,0.036484806484316845,0.08402653789625156,0.4342057568689194,-0.06251489480897188,0.5836178177345457,0.5258824215024184,0.5368852459016393,244
2017,-0.008935010847880731,0.0640547332640106,-0.13949025142379137,-0.04787239927092435,-0.18664221939900713,-0.19098806590995757,0.4713114754098361,244
2018,-0.04713346612558167,0.0574414585682265,-0.8205478638673243,-0.09984740258059643,-0.47205500501162984,-1.0146261091831894,0.5102880658436214,243
2019,0.10990780195467487,0.15435495150873751,0.7120458455033971,-0.1071562780128098,1.0256776737013593,0.9835914931542112,0.4918032786885246,244
2020,0.23896247507694635,0.18250282527031103,1.3093631549156077,-0.112247307239284,2.1288927187138342,1.5245421025666406,0.5637860082304527,243
2021,-0.07418208855288033,0.12655464216841175,-0.5861664754593752,-0.13642470397681938,-0.5437584718196272,-0.839952602496982,0.4609053497942387,243
2022,-0.07237734921062233,0.12177054125219938,-0.5943748665838756,-0.10268769636668595,-0.7048298069923697,-0.8343597599922167,0.5041322314049587,242
2023,0.16736876840283865,0.14344547945745142,1.1667761789069366,-0.1279078767621985,1.308510254720312,1.6543295837702714,0.5247933884297521,242
