year,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n
2013,0.004330391982436899,0.020129697701604898,0.21512454119425975,-0.023012598782451432,0.1881748351576484,0.2830239690133565,0.39915966386554624,238
2014,0.9166345984468136,0.24097524639182305,3.803853765777984,-0.0926465388690515,9.893889287568568,5.677542846973363,0.5591836734693878,245
2015,0.47683116586737007,0.206811956281009,2.30562668833067,-0.17338527944574944,2.750124851380857,3.0973970718580084,0.5532786885245902,244
2016,0.03318805986575457,0.0882076534024173,0.3762492095141153,-0.07649531299001588,0.4338574295406341,0.4379060533253795,0.5368852459016393,244
2017,-0.08433952930964606,0.07130804719014143,-1.1827491094344016,-0.06074148995450457,-1.388499514463943,-1.4577183057994563,0.4385245901639344,244
2018,-0.061158487325420174,0.0586645783622211,-1.0425113251100275,-0.11027637309253469,-0.5545928435105596,-1.2725978991003315,0.5061728395061729,243
2019,0.08160477076122596,0.1531074843774232,0.5329900827059711,-0.10854486777055683,0.751806809822855,0.7391024387973596,0.47540983606557374,244
2020,0.2529698471079245,0.18315362762112794,1.38118938944097,-0.11476581018219878,2.204226561083977,1.5459722922249068,0.5802469135802469,243
2021,-0.12154655520437341,0.13749562497506218,-0.884003074471777,-0.18260742609073388,-0.6656167156311563,-1.2000421537063084,0.45267489711934156,243
2022,-0.06275676861095836,0.12538032862758058,-0.5005312180778047,-0.09511711907901654,-0.6597841610280952,-0.7350421341009121,0.5,242
2023,0.1217999515767576,0.1293637181377556,0.9415310052162882,-0.1389036687278239,0.8768663397611165,1.306115377271389,0.5082644628099173,242
