window,train_start,train_end,test_start,test_end,step_end,train_sharpe,test_sharpe,test_ret,test_dd,step_ret_total,n_train_obs_per_regime,mapping_size,mapping
14,2016-08-19,2019-09-25,2019-09-26,2020-10-15,2019-12-30,1.1751399453713438,2.1275110007116,0.38929599797843717,-0.09102907406585958,0.032865775082534965,11,4,"{""r1_cpi_mid"": ""511260"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""518880"", ""r3_cpi_mid"": ""511260""}"
15,2016-11-25,2019-12-30,2019-12-31,2021-01-13,2020-04-07,1.0415181194582406,2.7427084991647748,0.5472668438687447,-0.09102907406585947,0.03466386175814118,11,5,"{""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""518880"", ""r3_cpi_mid"": ""511260""}"
16,2017-03-02,2020-04-07,2020-04-08,2021-04-20,2020-07-10,1.115083063031728,2.2717967519011357,0.4804887427631439,-0.13367307280223206,0.26315137895379115,14,7,"{""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""511260"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""518880"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
17,2017-06-06,2020-07-10,2020-07-13,2021-07-22,2020-10-15,1.8418227108580438,1.647901039183376,0.3559047517245917,-0.13367307280223206,0.037909669874703456,18,6,"{""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
18,2017-09-01,2020-10-15,2020-10-16,2021-10-28,2021-01-13,1.3689756975787513,1.4815033121206755,0.26063310129958084,-0.13367307280223195,0.15030848017803344,18,6,"{""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
19,2017-12-06,2021-01-13,2021-01-14,2022-01-26,2021-04-20,1.6453267764859265,0.3277671391029623,0.05071195683274832,-0.13367307280223206,-0.018306694631434417,18,7,"{""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
20,2018-03-13,2021-04-20,2021-04-21,2022-05-09,2021-07-22,1.3920339537330528,0.6917664668985365,0.07306861686299548,-0.0808714202611519,0.15685645381832303,18,7,"{""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
21,2018-06-14,2021-07-22,2021-07-23,2022-08-05,2021-10-28,1.6470056900274284,-1.4774099623562031,-0.06820869868055612,-0.0808714202611519,-0.03501828993609368,18,7,"{""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
22,2018-09-12,2021-10-28,2021-10-29,2022-11-10,2022-01-26,1.2184436559523089,0.22847176722016418,0.08483613017091929,-0.20458135860979432,-0.08330112260533407,79,9,"{""r0_cpi_low"": ""515220"", ""r0_cpi_mid"": ""515220"", ""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
23,2018-12-18,2022-01-26,2022-01-27,2023-02-15,2022-05-09,0.6186364833704452,0.49763972068478085,0.08831017613386272,-0.1678321678321676,0.03251627842414839,59,9,"{""r0_cpi_low"": ""515220"", ""r0_cpi_mid"": ""511260"", ""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
24,2019-03-26,2022-05-09,2022-05-10,2023-05-19,2022-08-05,1.9491881423026158,-0.5618799188281385,-0.16690845818546296,-0.2677070863306046,-0.09596201750996314,47,8,"{""r0_cpi_low"": ""511260"", ""r0_cpi_mid"": ""515220"", ""r1_cpi_high"": ""511010"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""518880""}"
25,2019-06-28,2022-08-05,2022-08-08,2023-08-18,2022-11-10,1.3790353117433962,-0.6367636677601118,-0.08861414700410719,-0.11709563042426707,0.007990985411505669,57,9,"{""r0_cpi_low"": ""511260"", ""r0_cpi_mid"": ""511260"", ""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""515220"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
26,2019-09-26,2022-11-10,2022-11-11,2023-11-23,2023-02-15,1.4296745144603926,-0.7056337518844424,-0.09798212712779109,-0.1191834694670788,0.011885545935358177,48,9,"{""r0_cpi_low"": ""511260"", ""r0_cpi_mid"": ""511260"", ""r1_cpi_high"": ""511010"", ""r1_cpi_mid"": ""515220"", ""r2_cpi_high"": ""518880"", ""r2_cpi_low"": ""511260"", ""r2_cpi_mid"": ""515080"", ""r3_cpi_high"": ""511260"", ""r3_cpi_mid"": ""511260""}"
