round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,two_stage_n,two_stage_k,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,sw_k,sw_power,vp_k,vp_vlb,adaptive_q_off,adaptive_q_on,rev_w,final_rebal,best_round_mech
13,2stage n=8 k=3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],8.0,3.0,0.0993590851293551,0.15532765781119245,0.6396741348545305,1.144426551088993,-0.22630362879414068,0.43905210737799555,0.8023597536691169,0.500748502994012,62.19835329341318,2672,,,,,,,,,
13,2stage n=8 k=5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],8.0,5.0,0.0791895524751336,0.13713177954390343,0.5774704648223474,1.0631627611831767,-0.26128404266368654,0.303078411019011,0.7084325336302667,0.5071107784431138,55.0872754491018,2672,,,,,,,,,
13,2stage n=10 k=3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],10.0,3.0,0.09338558796116558,0.1535908181390994,0.6080154340775177,1.0799985156746525,-0.26993272816431624,0.34595874533716764,0.7691750676720105,0.4962574850299401,58.70883233532934,2672,,,,,,,,,
13,2stage n=10 k=5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],10.0,5.0,0.07713610434920737,0.13720469885548045,0.5621972497491202,1.0229070878493414,-0.2892770386010398,0.26665132055500135,0.6868218782503641,0.5082335329341318,52.91811377245509,2672,,,,,,,,,
13,2stage n=12 k=3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],12.0,3.0,0.0978099049197807,0.14913012344494547,0.6558695363508452,1.1193106118675475,-0.27171501674518883,0.35997239347100823,0.8468726248818998,0.4921407185628742,56.31961077844311,2672,,,,,,,,,
13,2stage n=12 k=5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],12.0,5.0,0.07892082290029467,0.13454065069161186,0.586594627680176,1.0429551865596436,-0.264538580202731,0.2983338870262823,0.7077890139421321,0.5101047904191617,51.48458083832335,2672,,,,,,,,,
13,2stage n=15 k=3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],15.0,3.0,0.10507060378934963,0.14685495632188422,0.7154719624106557,1.1690338166692806,-0.2625256788245748,0.4002298146977082,0.9212729837212498,0.4936377245508982,54.339071856287426,2672,,,,,,,,,
13,2stage n=15 k=5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],15.0,5.0,0.0837878780233825,0.13110840956755712,0.6390732547190923,1.0876927304559967,-0.2502618072765892,0.3348008988474226,0.7867472643387369,0.5063622754491018,49.61721556886227,2672,,,,,,,,,
14,sw k=3 pow=0.5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.11581582628452969,0.14354932883940694,0.8068015867499905,1.331633973726873,-0.1829700946873707,0.6329768068515065,1.069562325102095,0.5033682634730539,60.37281882492755,2672,3.0,0.5,,,,,,,
14,sw k=3 pow=1.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.10641875803142864,0.14457024532286725,0.7361041533391931,1.2331407389396714,-0.2077889394782685,0.5121483284848201,0.9706505417690061,0.49850299401197606,58.90531437125748,2672,3.0,1.0,,,,,,,
