year,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n
2013,-0.017556646192466552,0.032442511255463664,-0.5411617508342492,-0.054209550139862395,-0.32386629564661273,-0.6656514148721977,0.2184873949579832,238
2014,0.5449247145052063,0.15499785025449075,3.5156920796675255,-0.061351990052553096,8.881940325626484,5.166344466607264,0.5469387755102041,245
2015,0.23443452463284697,0.1538223350530573,1.524060368424289,-0.07156463856845807,3.27584306051639,1.6108261260763967,0.5737704918032787,244
2016,0.11356021679153905,0.07546281318718007,1.5048500313639397,-0.06132204975274169,1.8518659641911563,1.7077179748555,0.5901639344262295,244
2017,0.1685797552850019,0.09303270832194172,1.812048239008887,-0.05776858151106601,2.9181910110205695,2.6407249337827077,0.5491803278688525,244
2018,0.11003045807796519,0.06073561438041634,1.8116299505721891,-0.06633070933925644,1.65881624324566,1.5854163460409514,0.6296296296296297,243
2019,0.05637801476866189,0.08098165820777276,0.6961825185650574,-0.06747377500277207,0.8355544767777654,0.9022563298477578,0.5368852459016393,244
2020,0.5347714601243103,0.19819559709264054,2.6982005047990425,-0.09102907406585936,5.874732502907853,2.879370750695682,0.5843621399176955,243
2021,0.10458654167248782,0.1651148941573538,0.6334167623474191,-0.1336730728022324,0.7824054574343651,0.8072218368090802,0.5390946502057613,243
2022,0.026619862257085458,0.07305106179364616,0.36440075754519424,-0.08948855243478115,0.2974666762710894,0.37075373236152614,0.5289256198347108,242
2023,0.03618634881103766,0.13992034887214322,0.2586210590720019,-0.11758114826253518,0.3077563822581557,0.28743922001913735,0.5495867768595041,242
