,60,90,120,150,180,252
14,1.0647337811109092,1.1893536867026961,1.1677760804004949,1.1411401034898423,1.0379658087491468,1.0561072105177867
18,1.0996230043519042,1.2036311955288903,1.2329440885056195,1.207536630648997,1.1721760714828557,1.0683745184124371
24,1.0999404922502176,1.133656437965676,1.228047333182688,1.1853543709700551,1.2331787734708821,1.0214757242121313
30,1.052084067281154,1.199049461920827,1.1649162938563948,1.1885211298983913,1.3165187994926897,1.0211569954711281
36,1.0213530879076163,1.1477083392634673,1.2747986525071155,1.2364797086206416,1.159606676407464,0.9818078310419932
42,1.1246656040410588,1.2200241863459809,1.246089857947372,1.1831716184447147,1.2594649373987663,1.048753606007862
