round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,method,k,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,vlb,lb,slow_bear
65,M6 top-2 (new cats),30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,topk_aware,2.0,0.17643797236294967,0.1424541833324179,1.2385594317804647,1.5316045280373993,-0.15141719443219281,1.1652439673353054,1.4829806983138445,0.5250748502994012,29.55988023952096,2672,,,
66,M6 vol-parity top-2 vlb=40,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,vol_parity,,0.17214053849254518,0.14181617367507987,1.2138286771644435,1.5064102381169764,-0.15125346222634095,1.138093210950425,1.4501055775885054,0.5202095808383234,29.497910808416755,2672,40.0,,
66,M6 vol-parity top-2 vlb=60,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,vol_parity,,0.17314347759082271,0.14177206929425792,1.2212805981652932,1.513946897601926,-0.1510815551837491,1.1460265773690332,1.458501980164524,0.5205838323353293,29.47455115278089,2672,60.0,,
66,M6 vol-parity top-2 vlb=90,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,vol_parity,,0.17326118116085487,0.14163867022081106,1.2232618457286073,1.5165081584648044,-0.15131424468160892,1.1450421044325738,1.4585171157600028,0.5220808383233533,29.49319911722263,2672,90.0,,
67,M6 sharpe-w top-2 lb=40,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,sharpe_weighted,,0.1440712848832102,0.13939680115265277,1.0335336513600368,1.4099486962151058,-0.15553871543691633,0.9262728220334498,1.2162322659875315,0.45770958083832336,39.24578794760638,2672,,40.0,
67,M6 sharpe-w top-2 lb=60,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,sharpe_weighted,,0.16494667237388683,0.1413036484248967,1.1673206899647497,1.494547841207973,-0.13849499051936243,1.190993780752137,1.3805428301603009,0.46968562874251496,33.14295175510022,2672,,60.0,
67,M6 sharpe-w top-2 lb=120,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,sharpe_weighted,,0.1642785434492129,0.14081936663121855,1.1665905576711606,1.4460931700102155,-0.1336730728022325,1.228957635261821,1.3680344785346732,0.4846556886227545,28.01979832948177,2672,,120.0,
68,M6 vol-parity top-3 vlb=60,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,vol_parity,3.0,0.16965637476791207,0.13898964253641025,1.2206404137162108,1.4999881473067218,-0.1524700631624809,1.1127192528746868,1.448266920065574,0.5232035928143712,27.902361022917276,2672,60.0,,
69,M6 top-2 + slow-bear -> long-bond+cash,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,topk_aware,,0.15949372941715656,0.1377567170359391,1.1577927584870256,1.4537954419453372,-0.15141719443219281,1.0533396158557182,1.3532118680308816,0.5280688622754491,29.74850299401198,2672,,,long-bond+cash
69,M6 top-2 + slow-bear -> gold+cash,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,topk_aware,,0.1679687538466239,0.13878668571649524,1.2102656171914068,1.5099156806230656,-0.15141719443219281,1.1093109635038387,1.4417166841926086,0.5224550898203593,29.80239520958084,2672,,,gold+cash
69,M6 top-2 + slow-bear -> dividend+cash,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,topk_aware,,0.15634556354562057,0.14042307452857922,1.1133894060537806,1.4105718203911697,-0.1587782038901645,0.9846790032577347,1.3420869519299292,0.5175898203592815,30.19311377245509,2672,,,dividend+cash
