round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,axis1,axis2,n_cells,dp_dxy,dp_rmb
0,R30 baseline,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,none,0.1987423920373912,0.13671372652442124,1.453712052841232,1.7093555046180733,-0.1343751690836278,1.4790112890105815,1.7646571129519613,0.4839071856287425,24.525000000000002,2672,,,,,
45,matrix M3,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M3,0.1524135881446067,0.14736581587160935,1.0342533459550427,1.253199688454404,-0.1718149840624663,0.8870797211097381,1.0837342029039894,0.33570359281437123,22.07245508982036,2672,us_real_rate,CPI,6.0,,
46,matrix M5,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M5,0.13735398927433828,0.13391939229083577,1.0256467485757665,1.3213421607639138,-0.13485952989368233,1.018496723091223,1.2303669018852696,0.47979041916167664,29.20194610778443,2672,PMI,DXY,6.0,,
47,matrix M1,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M1,0.1499270357908642,0.1474532731262034,1.0167765869974519,1.2349197412749957,-0.1718149840624661,0.8726074539363564,1.1240996127627823,0.3383233532934132,21.991616766467065,2672,PMI,CPI,8.0,,
48,R45_M3 + override pool dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,R45_M3,0.1481297840861271,0.14631325535740136,1.0124153394324285,1.29925173127979,-0.1718149840624662,0.8621470641482121,1.1158033479226104,0.35666167664670656,29.74311377245509,2672,,,,0.02,0.01
48,R45_M3 + override pool dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,R45_M3,0.1444507547334124,0.1463510704704843,0.9870153615483452,1.232545659598548,-0.1718149840624663,0.8407343254817334,1.0525468948797294,0.34206586826347307,25.027544910179643,2672,,,,0.04,0.02
48,R45_M3 + override pool dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,R45_M3,0.14798955859752572,0.14623449654930604,1.012001696519179,1.263921979944472,-0.1718149840624661,0.8613309217764251,1.072855016744598,0.3345808383233533,25.593413173652696,2672,,,,0.06,0.03
49,refine k=3 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,M3,0.1154894158708557,0.1600362589333445,0.7216453111351305,1.0576539512385534,-0.1711261222560645,0.6748789392775649,0.9023741862136921,0.32896706586826346,38.19610778443114,2672,,,,,
49,refine k=3 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,M3,0.1154894158708557,0.1600362589333445,0.7216453111351305,1.0576539512385534,-0.1711261222560645,0.6748789392775649,0.9023741862136921,0.32896706586826346,38.19610778443114,2672,,,,,
49,refine k=3 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,M3,0.1154894158708557,0.1600362589333445,0.7216453111351305,1.0576539512385534,-0.1711261222560645,0.6748789392775649,0.9023741862136921,0.32896706586826346,38.19610778443114,2672,,,,,
49,refine k=3 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,M3,0.14444807214136413,0.1559184202908492,0.9264336559587484,1.2491865334523597,-0.1669172757657421,0.8653871894248256,1.0651959025173552,0.32934131736526945,34.42365269461078,2672,,,,,
49,refine k=3 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,M3,0.14444807214136413,0.1559184202908492,0.9264336559587484,1.2491865334523597,-0.1669172757657421,0.8653871894248256,1.0651959025173552,0.32934131736526945,34.42365269461078,2672,,,,,
49,refine k=3 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,M3,0.14444807214136413,0.1559184202908492,0.9264336559587484,1.2491865334523597,-0.1669172757657421,0.8653871894248256,1.0651959025173552,0.32934131736526945,34.42365269461078,2672,,,,,
49,refine k=3 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,M3,0.10195395593760814,0.15082158988613867,0.6759904600831839,0.9957652596691966,-0.19554881547975445,0.5213734263103406,0.7421137777891179,0.3259730538922156,34.58083832335329,2672,,,,,
49,refine k=3 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,M3,0.10195395593760814,0.15082158988613867,0.6759904600831839,0.9957652596691966,-0.19554881547975445,0.5213734263103406,0.7421137777891179,0.3259730538922156,34.58083832335329,2672,,,,,
49,refine k=3 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,M3,0.10195395593760814,0.15082158988613867,0.6759904600831839,0.9957652596691966,-0.19554881547975445,0.5213734263103406,0.7421137777891179,0.3259730538922156,34.58083832335329,2672,,,,,
49,refine k=3 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,M3,0.11700413421361744,0.15938592005224148,0.7340932886372104,1.1056796565111704,-0.1591169312040609,0.735334281073863,0.9312139113954387,0.3315868263473054,41.77994011976048,2672,,,,,
49,refine k=3 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,M3,0.11700413421361744,0.15938592005224148,0.7340932886372104,1.1056796565111704,-0.1591169312040609,0.735334281073863,0.9312139113954387,0.3315868263473054,41.77994011976048,2672,,,,,
49,refine k=3 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,M3,0.11700413421361744,0.15938592005224148,0.7340932886372104,1.1056796565111704,-0.1591169312040609,0.735334281073863,0.9312139113954387,0.3315868263473054,41.77994011976048,2672,,,,,
49,refine k=3 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,M3,0.1319739403618445,0.15669598800304899,0.8422292238859145,1.185341674262375,-0.1787712493191217,0.7382279917183996,0.9746971981542087,0.3278443113772455,36.938622754491014,2672,,,,,
49,refine k=3 wr=0.3 L=180 rb=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,M3,0.1319739403618445,0.15669598800304899,0.8422292238859145,1.185341674262375,-0.1787712493191217,0.7382279917183996,0.9746971981542087,0.3278443113772455,36.938622754491014,2672,,,,,
49,refine k=3 wr=0.3 L=180 rb=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,M3,0.1319739403618445,0.15669598800304899,0.8422292238859145,1.185341674262375,-0.1787712493191217,0.7382279917183996,0.9746971981542087,0.3278443113772455,36.938622754491014,2672,,,,,
49,refine k=3 wr=0.3 L=252 rb=0.0,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,M3,0.11609224406867202,0.15531297375702705,0.7474729332675565,1.0866002813678781,-0.18464259665030602,0.6287403133120941,0.8639652082347865,0.3226047904191617,37.09580838323353,2672,,,,,
49,refine k=3 wr=0.3 L=252 rb=0.2,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,M3,0.11609224406867202,0.15531297375702705,0.7474729332675565,1.0866002813678781,-0.18464259665030602,0.6287403133120941,0.8639652082347865,0.3226047904191617,37.09580838323353,2672,,,,,
49,refine k=3 wr=0.3 L=252 rb=0.4,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,M3,0.11609224406867202,0.15531297375702705,0.7474729332675565,1.0866002813678781,-0.18464259665030602,0.6287403133120941,0.8639652082347865,0.3226047904191617,37.09580838323353,2672,,,,,
49,refine k=3 wr=0.4 L=120 rb=0.0,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,M3,0.12039331375913553,0.15999364205403954,0.7524881127368263,1.1325476179842717,-0.16657469040483575,0.7227587424388241,0.9837146582548337,0.32672155688622756,42.59730538922155,2672,,,,,
49,refine k=3 wr=0.4 L=120 rb=0.2,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,M3,0.12039331375913553,0.15999364205403954,0.7524881127368263,1.1325476179842717,-0.16657469040483575,0.7227587424388241,0.9837146582548337,0.32672155688622756,42.59730538922155,2672,,,,,
49,refine k=3 wr=0.4 L=120 rb=0.4,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,M3,0.12039331375913553,0.15999364205403954,0.7524881127368263,1.1325476179842717,-0.16657469040483575,0.7227587424388241,0.9837146582548337,0.32672155688622756,42.59730538922155,2672,,,,,
49,refine k=3 wr=0.4 L=180 rb=0.0,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,M3,0.11641835659488664,0.15810715805539682,0.7363256542382258,1.0921585054124032,-0.1657233273276998,0.7024862369838981,0.8944463450167536,0.3255988023952096,39.07634730538922,2672,,,,,
49,refine k=3 wr=0.4 L=180 rb=0.2,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,M3,0.11641835659488664,0.15810715805539682,0.7363256542382258,1.0921585054124032,-0.1657233273276998,0.7024862369838981,0.8944463450167536,0.3255988023952096,39.07634730538922,2672,,,,,
49,refine k=3 wr=0.4 L=180 rb=0.4,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,M3,0.11641835659488664,0.15810715805539682,0.7363256542382258,1.0921585054124032,-0.1657233273276998,0.7024862369838981,0.8944463450167536,0.3255988023952096,39.07634730538922,2672,,,,,
49,refine k=3 wr=0.4 L=252 rb=0.0,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,M3,0.12094544627599735,0.1566563142002149,0.7720432265591465,1.143042702073124,-0.19532300157354054,0.6192073913550857,0.9156126932212328,0.3226047904191617,40.365269461077844,2672,,,,,
49,refine k=3 wr=0.4 L=252 rb=0.2,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,M3,0.12094544627599735,0.1566563142002149,0.7720432265591465,1.143042702073124,-0.19532300157354054,0.6192073913550857,0.9156126932212328,0.3226047904191617,40.365269461077844,2672,,,,,
49,refine k=3 wr=0.4 L=252 rb=0.4,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,M3,0.12094544627599735,0.1566563142002149,0.7720432265591465,1.143042702073124,-0.19532300157354054,0.6192073913550857,0.9156126932212328,0.3226047904191617,40.365269461077844,2672,,,,,
49,refine k=5 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,M3,0.14495318478596575,0.1554425328519692,0.9325194470679871,1.2393455099449582,-0.1604076297059348,0.9036551755779901,1.0883743162657369,0.33570359281437123,32.93353293413173,2672,,,,,
49,refine k=5 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,M3,0.14495318478596575,0.1554425328519692,0.9325194470679871,1.2393455099449582,-0.1604076297059348,0.9036551755779901,1.0883743162657369,0.33570359281437123,32.93353293413173,2672,,,,,
49,refine k=5 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,M3,0.15234906741546905,0.15541040033833586,0.980301621280158,1.204969754564367,-0.1562240769738784,0.9751958236305837,1.1424507419412586,0.3383233532934132,24.23802395209581,2672,,,,,
49,refine k=5 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,M3,0.1339024652016383,0.1507501619480958,0.8882409376630834,1.1838720319543086,-0.17132809925588843,0.7815557738818266,1.0485510137723246,0.3319610778443114,30.754940119760484,2672,,,,,
49,refine k=5 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,M3,0.1339024652016383,0.1507501619480958,0.8882409376630834,1.1838720319543086,-0.17132809925588843,0.7815557738818266,1.0485510137723246,0.3319610778443114,30.754940119760484,2672,,,,,
49,refine k=5 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,M3,0.14491896782739921,0.14989234113822528,0.9668203640488889,1.186518348233047,-0.16338217557282697,0.8869937453048674,1.0887438929680249,0.33308383233532934,22.710179640718565,2672,,,,,
