round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,metric,mapping,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,defensive_round,off,full
35,refine k=3 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,0.13790696367779365,0.13895814488493563,0.9924352674108278,1.382104429644507,-0.14320480680227432,0.9630051306043413,1.1893941327041722,0.468937125748503,40.08233532934132,2672,31.0,,
35,refine k=3 wr=0.2 L=180 rb=0.6,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,0.13790696367779365,0.13895814488493563,0.9924352674108278,1.382104429644507,-0.14320480680227432,0.9630051306043413,1.1893941327041722,0.468937125748503,40.08233532934132,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.6,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,,0.11043677067180369,0.14284283135703546,0.7731348477388209,1.2146907550306703,-0.20826498237626978,0.5302704727973853,0.9408825597304942,0.4708083832335329,47.56437125748503,2672,31.0,,
35,refine k=3 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,,0.11043677067180369,0.14284283135703546,0.7731348477388209,1.2146907550306703,-0.20826498237626978,0.5302704727973853,0.9408825597304942,0.4708083832335329,47.56437125748503,2672,31.0,,
35,refine k=3 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,,0.11043677067180369,0.14284283135703546,0.7731348477388209,1.2146907550306703,-0.20826498237626978,0.5302704727973853,0.9408825597304942,0.4708083832335329,47.56437125748503,2672,31.0,,
35,refine k=3 wr=0.3 L=120 rb=0.6,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,,,0.11043677067180369,0.14284283135703546,0.7731348477388209,1.2146907550306703,-0.20826498237626978,0.5302704727973853,0.9408825597304942,0.4708083832335329,47.56437125748503,2672,31.0,,
35,refine k=3 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,,0.1253880653763504,0.13984713508497695,0.8966080377703796,1.3089607767136402,-0.14320480680227432,0.8755855908487495,1.0945397658454177,0.46744011976047906,42.72305389221557,2672,31.0,,
35,refine k=3 wr=0.3 L=180 rb=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,,0.1253880653763504,0.13984713508497695,0.8966080377703796,1.3089607767136402,-0.14320480680227432,0.8755855908487495,1.0945397658454177,0.46744011976047906,42.72305389221557,2672,31.0,,
35,refine k=3 wr=0.3 L=180 rb=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,,0.1253880653763504,0.13984713508497695,0.8966080377703796,1.3089607767136402,-0.14320480680227432,0.8755855908487495,1.0945397658454177,0.46744011976047906,42.72305389221557,2672,31.0,,
35,refine k=3 wr=0.3 L=180 rb=0.6,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,,,0.1253880653763504,0.13984713508497695,0.8966080377703796,1.3089607767136402,-0.14320480680227432,0.8755855908487495,1.0945397658454177,0.46744011976047906,42.72305389221557,2672,31.0,,
35,refine k=3 wr=0.3 L=252 rb=0.0,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,,0.10976580209141051,0.1382961999026697,0.7937007825859398,1.2013180709841256,-0.17793461902197616,0.6168883980798232,0.9765193060499167,0.46182634730538924,42.691616766467064,2672,31.0,,
35,refine k=3 wr=0.3 L=252 rb=0.2,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,,,0.10976580209141051,0.1382961999026697,0.7937007825859398,1.2013180709841256,-0.17793461902197616,0.6168883980798232,0.9765193060499167,0.46182634730538924,42.691616766467064,2672,31.0,,
35,refine k=3 wr=0.3 L=252 rb=0.4,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,,,0.10976580209141051,0.1382961999026697,0.7937007825859398,1.2013180709841256,-0.17793461902197616,0.6168883980798232,0.9765193060499167,0.46182634730538924,42.691616766467064,2672,31.0,,
35,refine k=3 wr=0.3 L=252 rb=0.6,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,,,0.10976580209141051,0.1382961999026697,0.7937007825859398,1.2013180709841256,-0.17793461902197616,0.6168883980798232,0.9765193060499167,0.46182634730538924,42.691616766467064,2672,31.0,,
35,refine k=3 wr=0.4 L=120 rb=0.0,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,,,0.11365793972238158,0.14352919574360845,0.7918802800610197,1.2435645352209117,-0.20826498237626978,0.5457371586214969,1.0139782590523716,0.4663173652694611,48.50748502994011,2672,31.0,,
35,refine k=3 wr=0.4 L=120 rb=0.2,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,,,0.11365793972238158,0.14352919574360845,0.7918802800610197,1.2435645352209117,-0.20826498237626978,0.5457371586214969,1.0139782590523716,0.4663173652694611,48.50748502994011,2672,31.0,,
35,refine k=3 wr=0.4 L=120 rb=0.4,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,,,0.11365793972238158,0.14352919574360845,0.7918802800610197,1.2435645352209117,-0.20826498237626978,0.5457371586214969,1.0139782590523716,0.4663173652694611,48.50748502994011,2672,31.0,,
35,refine k=3 wr=0.4 L=120 rb=0.6,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.6,rsrs_skew,,,0.11365793972238158,0.14352919574360845,0.7918802800610197,1.2435645352209117,-0.20826498237626978,0.5457371586214969,1.0139782590523716,0.4663173652694611,48.50748502994011,2672,31.0,,
35,refine k=3 wr=0.4 L=180 rb=0.0,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,,,0.10983154388571559,0.14142897575007346,0.776584453809555,1.2021175992670239,-0.14320480680227432,0.7669543106703265,0.9686342772666968,0.4663173652694611,44.92365269461078,2672,31.0,,
35,refine k=3 wr=0.4 L=180 rb=0.2,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,,,0.10983154388571559,0.14142897575007346,0.776584453809555,1.2021175992670239,-0.14320480680227432,0.7669543106703265,0.9686342772666968,0.4663173652694611,44.92365269461078,2672,31.0,,
35,refine k=3 wr=0.4 L=180 rb=0.4,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,,,0.10983154388571559,0.14142897575007346,0.776584453809555,1.2021175992670239,-0.14320480680227432,0.7669543106703265,0.9686342772666968,0.4663173652694611,44.92365269461078,2672,31.0,,
35,refine k=3 wr=0.4 L=180 rb=0.6,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.6,rsrs_skew,,,0.10983154388571559,0.14142897575007346,0.776584453809555,1.2021175992670239,-0.14320480680227432,0.7669543106703265,0.9686342772666968,0.4663173652694611,44.92365269461078,2672,31.0,,
35,refine k=3 wr=0.4 L=252 rb=0.0,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.0,rsrs_skew,,,0.11453438190878518,0.13981167040086465,0.819204731481964,1.2618501260948203,-0.14320480680227432,0.7997942559772105,1.0386879155924784,0.46070359281437123,46.02395209580838,2672,31.0,,
35,refine k=3 wr=0.4 L=252 rb=0.2,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.2,rsrs_skew,,,0.11453438190878518,0.13981167040086465,0.819204731481964,1.2618501260948203,-0.14320480680227432,0.7997942559772105,1.0386879155924784,0.46070359281437123,46.02395209580838,2672,31.0,,
35,refine k=3 wr=0.4 L=252 rb=0.4,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,,,0.11453438190878518,0.13981167040086465,0.819204731481964,1.2618501260948203,-0.14320480680227432,0.7997942559772105,1.0386879155924784,0.46070359281437123,46.02395209580838,2672,31.0,,
35,refine k=3 wr=0.4 L=252 rb=0.6,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.6,rsrs_skew,,,0.11453438190878518,0.13981167040086465,0.819204731481964,1.2618501260948203,-0.14320480680227432,0.7997942559772105,1.0386879155924784,0.46070359281437123,46.02395209580838,2672,31.0,,
35,refine k=5 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,,,0.13783945795214492,0.138462524654291,0.9955001058683441,1.3719952968021256,-0.20947672706201692,0.6580180046031399,1.1900969692645844,0.4752994011976048,39.00718562874252,2672,31.0,,
35,refine k=5 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,,,0.13783945795214492,0.138462524654291,0.9955001058683441,1.3719952968021256,-0.20947672706201692,0.6580180046031399,1.1900969692645844,0.4752994011976048,39.00718562874252,2672,31.0,,
35,refine k=5 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,,,0.1452483467084249,0.13841040981839653,1.0494033425592786,1.3334556812965488,-0.21031882364949117,0.690610303861769,1.2669938202358013,0.47941616766467066,30.273952095808383,2672,31.0,,
35,refine k=5 wr=0.2 L=120 rb=0.6,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.6,rsrs_skew,,,0.1452483467084249,0.13841040981839653,1.0494033425592786,1.3334556812965488,-0.21031882364949117,0.690610303861769,1.2669938202358013,0.47941616766467066,30.273952095808383,2672,31.0,,
