round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,off,full,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,w_macro,yield_gate
23,refine L=180 wr=0.2 k=3 rb=0.2,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.12744690713476414,0.13705268268460982,0.9299118020772289,1.2995452325108339,-0.20473862111945462,0.6224859112458578,1.0676239865028367,0.5692365269461078,36.75,2672,,
23,refine L=180 wr=0.2 k=3 rb=0.4,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.1430368628876011,0.13756786846321392,1.0397548823390368,1.3589975461992407,-0.15437071159373672,0.9265803170230675,1.186437500960523,0.5785928143712575,31.767215568862273,2672,,
23,refine L=180 wr=0.2 k=3 rb=0.6,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.13268856655939465,0.1361568701609387,0.9745271494751276,1.2860177625703637,-0.15437071159373794,0.8595449563554203,1.0732413109502934,0.6070359281437125,30.714071856287422,2672,,
23,refine L=180 wr=0.2 k=5 rb=0.0,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.11537148891776816,0.1305424604555584,0.8837851570680713,1.2297683304778293,-0.20076108101430434,0.5746705902103998,0.991615563940612,0.5755988023952096,33.19760479041916,2672,,
23,refine L=180 wr=0.2 k=5 rb=0.2,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.11971268319052464,0.13036534539760686,0.9182860891858016,1.2298308030683922,-0.1873158520823982,0.6390953133953892,1.0231519654108905,0.5797155688622755,30.02874251497006,2672,,
23,refine L=180 wr=0.2 k=5 rb=0.4,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.14266626323015763,0.12908750972181574,1.1051902971682093,1.3051494845655516,-0.15725017828537347,0.9072566071833043,1.2110416116028087,0.593562874251497,19.44857784431138,2672,,
23,refine L=180 wr=0.2 k=5 rb=0.6,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.13863479056665295,0.1293532199521137,1.07175368821878,1.2553291240308202,-0.157701441913348,0.8790965312975922,1.134438366890268,0.6235029940119761,17.81384730538922,2672,,
23,refine L=180 wr=0.2 k=7 rb=0.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.11413907947796709,0.12606903722747284,0.9053696449828524,1.2241361137128943,-0.19173911109956343,0.5952832409799722,0.9879842643071537,0.5778443113772455,29.870658682634726,2672,,
23,refine L=180 wr=0.2 k=7 rb=0.2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.11693984286274883,0.1261014773682251,0.9273471279109311,1.2231122074755956,-0.17348747297819966,0.6740535259133288,1.0074248250203055,0.5808383233532934,27.814670658682633,2672,,
23,refine L=180 wr=0.2 k=7 rb=0.4,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.14651429377792002,0.12524962209225976,1.1697783301094238,1.3734179909332613,-0.15341356955867091,0.9550282559711097,1.264179678593527,0.594685628742515,19.168338323353296,2672,,
23,refine L=180 wr=0.2 k=7 rb=0.6,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.13360521637134704,0.11742703749670415,1.1377721793849815,1.291307343282917,-0.13986262732884858,0.95526030736725,1.2103514466751524,0.6264970059880239,13.98480538922156,2672,,
23,refine L=180 wr=0.3 k=3 rb=0.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.1190305620002663,0.13763497608523537,0.8648278612447491,1.262485039928434,-0.16144309166056703,0.7372911456039706,1.0140313420388007,0.5673652694610778,39.61077844311377,2672,,
23,refine L=180 wr=0.3 k=3 rb=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.1190305620002663,0.13763497608523537,0.8648278612447491,1.262485039928434,-0.16144309166056703,0.7372911456039706,1.0140313420388007,0.5673652694610778,39.61077844311377,2672,,
23,refine L=180 wr=0.3 k=3 rb=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.12128653987289773,0.13780321842929583,0.8801430130249643,1.2275824547332523,-0.19810590311203358,0.6122308218362746,1.0323187340328912,0.5711077844311377,34.816616766467064,2672,,
23,refine L=180 wr=0.3 k=3 rb=0.6,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.11513715495225796,0.1370804331462932,0.8399240672764929,1.1775861223967052,-0.1981059031120349,0.5811899249016542,0.9517633478520179,0.6017964071856288,33.6062874251497,2672,,
23,refine L=180 wr=0.3 k=5 rb=0.0,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.11720333864768762,0.1308320513112221,0.8958304748190897,1.2717176505018861,-0.2113977163004661,0.5544210254433538,1.0167223623160675,0.5703592814371258,35.781736526946105,2672,,
23,refine L=180 wr=0.3 k=5 rb=0.2,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.11791307269161,0.13085703609707208,0.901083168383395,1.2446390936932592,-0.21009537775183285,0.5612359203394295,1.018537468915938,0.5714820359281437,32.93353293413173,2672,,
23,refine L=180 wr=0.3 k=5 rb=0.4,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.13262359964413362,0.12844289585467705,1.032549124353181,1.2701157500381532,-0.18700992966228758,0.709179453110497,1.1414654363985068,0.594311377245509,22.589146706586828,2672,,
