label,n,ann_ret,ann_vol,sharpe,max_dd,hit_rate,pos_mean,neg_mean,regime,symbol,asset
510300 沪深300 (基准),895,0.08319358259755694,0.2539951658360272,0.3275400235422771,-0.4663598977205272,0.49273743016759775,0.01183703249282027,-0.010810867968565552,loose,510300,沪深300 (基准)
511010 10Y 国债,895,0.020240790011387455,0.0267426946756582,0.756871745980448,-0.05020434618223657,0.5407821229050279,0.0010700945829484722,-0.0010945533466373701,loose,511010,10Y 国债
511260 10Y 国开,570,0.04041116108344944,0.026128326217739292,1.5466417843487086,-0.032311465941992856,0.5666666666666667,0.0012244435987659422,-0.0012607847382082118,loose,511260,10Y 国开
511880 货币基金,895,0.03111320906414461,0.003992995151927977,7.791947618349076,-0.0031620991900584983,0.8,0.00018256696914039218,-0.00014291482133757145,loose,511880,货币基金
518880 黄金,895,0.1042970631548874,0.1173581108515937,0.8887077543943872,-0.1037122863074752,0.5027932960893855,0.0056217555671873014,-0.0051140890809567375,loose,518880,黄金
515080 红利低波,314,0.40988899510736054,0.21824130582869652,1.8781458145649725,-0.14832535885167375,0.5573248407643312,0.010475191363837138,-0.011001447377985456,loose,515080,红利低波
515220 煤炭,312,1.1882715589768895,0.4175746886366461,2.845650350255946,-0.23263105182561705,0.532051282051282,0.021899619085194864,-0.01839537214529237,loose,515220,煤炭
513100 纳指,895,0.17978791952159923,0.211420784294724,0.8503795883708952,-0.2862013569047398,0.4871508379888268,0.010619509759136156,-0.010540977429907462,loose,513100,纳指
513500 标普500,890,0.1448410858887832,0.195818260570927,0.7396709860790565,-0.29587935272137844,0.49887640449438203,0.009115900885276588,-0.009337522881524493,loose,513500,标普500
513050 中概互联,595,0.012508437269154404,0.29579475066409544,0.04228755662861302,-0.5095601730275253,0.4789915966386555,0.014457367611827917,-0.013995987030093552,loose,513050,中概互联
159920 恒生,895,0.045354333612979136,0.2313620716417489,0.19603184433448434,-0.34426909486115265,0.4949720670391061,0.0102165182324552,-0.009985956025216264,loose,159920,恒生
162411 华宝油气,881,0.07174521491030728,0.331518976549494,0.21641359917626343,-0.545150272706936,0.48127128263337116,0.016463868806599582,-0.015814429404767908,loose,162411,华宝油气
510300 沪深300 (基准),356,-0.19571678702679907,0.24587549537039666,-0.7959995636489252,-0.38442226017378256,0.47752808988764045,0.010748924294658044,-0.011493873116633335,mid,510300,沪深300 (基准)
511010 10Y 国债,356,0.020217163191403875,0.027894650755412573,0.7247684643436884,-0.04820376704350837,0.550561797752809,0.0010132360192720727,-0.001067720404120597,mid,511010,10Y 国债
511260 10Y 国开,242,0.06398955101577775,0.02589985297116042,2.4706530607347594,-0.01350675664879164,0.6198347107438017,0.0011830036780889897,-0.0013208789818606507,mid,511260,10Y 国开
511880 货币基金,356,0.026630328943880066,0.003725921708431681,7.147313075209337,-0.002336231345018258,0.8089887640449438,0.0001600658751140585,-0.00015184472781096294,mid,511880,货币基金
518880 黄金,356,0.04834679084003812,0.12063572542837632,0.4007667767434491,-0.12641127353703208,0.49157303370786515,0.005486856576878648,-0.005047483453849656,mid,518880,黄金
515080 红利低波,159,0.21236269348231973,0.23181848040697892,0.9160731841115396,-0.14832535885167442,0.5660377358490566,0.010211289560852486,-0.012008431566230937,mid,515080,红利低波
515220 煤炭,159,0.3342544155246827,0.43248045075837177,0.7728775137432321,-0.2182751056117086,0.4968553459119497,0.02268169739364967,-0.020409630127475337,mid,515220,煤炭
513100 纳指,356,0.430590194322527,0.23960620037694683,1.7970745066076148,-0.16617397576164028,0.5196629213483146,0.01227942512329765,-0.01189699902791845,mid,513100,纳指
513500 标普500,356,0.2753142382228666,0.25015612745164334,1.1005696363607422,-0.27647167044840026,0.5280898876404494,0.011562156802623052,-0.012229382336650342,mid,513500,标普500
513050 中概互联,255,0.29482243414729536,0.31246106926970235,0.9435493350783418,-0.2882112765925421,0.48627450980392156,0.01645002758728498,-0.014175905504459753,mid,513050,中概互联
159920 恒生,356,0.06171841358171881,0.21756010903424813,0.2836844210810868,-0.26660418829195875,0.5196629213483146,0.00998753302412794,-0.010744024300970175,mid,159920,恒生
162411 华宝油气,356,0.3079494780783747,0.36983532206385794,0.8326664861535381,-0.3084337349397591,0.4859550561797753,0.018718704540736524,-0.016948872947475577,mid,162411,华宝油气
510300 沪深300 (基准),176,-0.18114482324622838,0.2341933354563261,-0.773484108304224,-0.24207481921769058,0.4602272727272727,0.011037346330822036,-0.011026324877784129,strict,510300,沪深300 (基准)
511010 10Y 国债,176,0.0014270281481578717,0.03222567619368397,0.044282333738510045,-0.045210623953667484,0.5340909090909091,0.0010335630725803588,-0.0011826758539833313,strict,511010,10Y 国债
511260 10Y 国开,126,0.03815832207109926,0.022842291097158088,1.6705120300234115,-0.01043457665482983,0.5952380952380952,0.0010416260278311017,-0.0012347289245249239,strict,511260,10Y 国开
511880 货币基金,176,0.025926890667980818,0.004780373327543254,5.423612109664509,-0.0023362313450187022,0.7954545454545454,0.00017462844072604187,-0.00020506956658110712,strict,511880,货币基金
518880 黄金,176,-0.03956303906511671,0.09842819203850647,-0.40194824516983,-0.10108109241048624,0.48863636363636365,0.004723192794809625,-0.004842938384883753,strict,518880,黄金
515080 红利低波,104,0.07090182339106366,0.21237674537477397,0.33384927933585967,-0.11694916719865789,0.5288461538461539,0.009933579419151812,-0.011307363652614548,strict,515080,红利低波
515220 煤炭,104,0.0016001799727727306,0.44152233574136274,0.0036242333473024847,-0.2530544381133293,0.47115384615384615,0.023405676051333122,-0.021275631852765615,strict,515220,煤炭
513100 纳指,176,-0.1648625239071808,0.2453587114295695,-0.6719244772138641,-0.21262290131935124,0.4772727272727273,0.011778634381680373,-0.01350865278926615,strict,513100,纳指
513500 标普500,176,-0.15996735351793911,0.2895760485330217,-0.5524191462944743,-0.34703189275412394,0.48863636363636365,0.012848281441862114,-0.014423468695590759,strict,513500,标普500
513050 中概互联,126,0.04277686905856637,0.3559854470069705,0.1201646567808396,-0.2568086455172992,0.42063492063492064,0.020572932309573383,-0.01549897296103835,strict,513050,中概互联
159920 恒生,176,-0.15202277841044043,0.22839015118052028,-0.6656275571632735,-0.2424510922162636,0.4715909090909091,0.010632840625789574,-0.011131304418791418,strict,159920,恒生
162411 华宝油气,176,0.2274578632769646,0.42100208528784566,0.5402772841883862,-0.3552752777035175,0.4772727272727273,0.021409819757865708,-0.01897308563145965,strict,162411,华宝油气
510300 沪深300 (基准),76,0.22161785601234008,0.1947872328390566,1.1377432328711827,-0.08624008988848575,0.5131578947368421,0.00997132796130844,-0.00922437257192029,very_strict,510300,沪深300 (基准)
511010 10Y 国债,76,-0.014792940955977718,0.04421677826883217,-0.3345549254185502,-0.03736409692299425,0.5789473684210527,0.0011997947577048348,-0.0017810282941466242,very_strict,511010,10Y 国债
511260 10Y 国开,50,0.0495862894830188,0.018365046742774113,2.700036116299511,-0.00592301561692965,0.68,0.0007777130890933244,-0.0010503811842460867,very_strict,511260,10Y 国开
511880 货币基金,76,0.024289968383287786,0.00504385948073241,4.8157504141571925,-0.00128326522475819,0.8026315789473685,0.00017262595591880587,-0.00021920403397744556,very_strict,511880,货币基金
