trade_date,gate,abs_ret,exc_ret,uni,tov,cost,abs_net,exc_net
2018-01-30,0,-0.0300617774330518,0.0,-0.0300617774330518,0.0,0.0,-0.0300617774330518,0.0
2018-03-06,0,0.0207044238620879,0.0,0.0207044238620879,0.0,0.0,0.0207044238620879,0.0
2018-04-03,0,-0.0032447771009097,0.0,-0.0032447771009097,0.0,0.0,-0.0032447771009097,0.0
2018-05-07,0,-0.0372563645540475,0.0,-0.0372563645540475,0.0,0.0,-0.0372563645540475,0.0
2018-06-04,0,-0.1290657211499642,0.0,-0.1290657211499642,0.0,0.0,-0.1290657211499642,0.0
2018-07-03,0,0.0013795581377648,0.0,0.0013795581377648,0.0,0.0,0.0013795581377648,0.0
2018-07-31,0,-0.0404248037752183,0.0,-0.0404248037752183,0.0,0.0,-0.0404248037752183,0.0
2018-08-28,0,-0.0415685361928546,0.0,-0.0415685361928546,0.0,0.0,-0.0415685361928546,0.0
2018-09-26,1,-0.075657403039172,0.0019382384018497,-0.0775956414410218,1.0,0.0005,-0.076157403039172,0.0014382384018497
2018-10-31,1,0.0685563705081591,0.0247998141313475,0.0437565563768116,0.7657142857142857,0.0003828571428571,0.0681735133653019,0.0244169569884903
2018-11-28,1,-0.0216110546748499,0.0128884383811984,-0.0344994930560483,0.7949438202247191,0.0003974719101123,-0.0220085265849623,0.012490966471086
2018-12-26,1,0.0404206724071166,0.0071114950247607,0.0333091773823558,0.7503506311360448,0.000375175315568,0.0400454970915485,0.0067363197091927
2019-01-25,1,0.1913864871511768,0.00395374512157,0.1874327420296068,0.765034965034965,0.0003825174825174,0.1910039696686594,0.0035712276390525
2019-03-01,1,0.1291256925446187,0.0122988885158313,0.1168268040287874,0.725,0.0003625,0.1287631925446187,0.0119363885158313
2019-03-29,1,-0.0625850892076106,0.0107827078380541,-0.0733677970456648,0.7364016736401673,0.00036820083682,-0.0629532900444307,0.010414507001234
2019-04-29,0,-0.0474385945065118,0.0,-0.0474385945065118,1.0,0.0005,-0.0479385945065118,-0.0005
2019-05-30,1,0.0414673848304021,0.0073078194170613,0.0341595654133407,1.0,0.0005,0.0409673848304021,0.0068078194170613
2019-06-28,1,-0.0391208894370253,0.0042598533077991,-0.0433807427448244,0.7524071526822559,0.0003762035763411,-0.0394970930133664,0.0038836497314579
