expr,quintile,ann_ret,sharpe
g1_spillover_3leader_lag1,1,0.19559998439008053,0.7823872297180345
g1_spillover_3leader_lag1,2,0.035591273011500744,0.14428176703569434
g1_spillover_3leader_lag1,3,0.11637402145617579,0.4304210654694626
g1_spillover_3leader_lag1,4,0.15689712147508625,0.6038946990559921
g1_spillover_3leader_lag1,5,0.13038903658350792,0.4936934670920272
g2_spillover_510300only_lag1,1,0.02659260468099862,0.111490261028491
g2_spillover_510300only_lag1,2,0.07172424188161174,0.3023254919926819
g2_spillover_510300only_lag1,3,0.118290416038158,0.45063960805486697
g2_spillover_510300only_lag1,4,0.18312304239668084,0.7286605718605812
g2_spillover_510300only_lag1,5,0.15465240717960974,0.5858496414064399
g3_spillover_3leader_lag1to2_decay,1,0.13894299562859788,0.555100752002767
g3_spillover_3leader_lag1to2_decay,2,0.046526998061099646,0.19426561926105715
g3_spillover_3leader_lag1to2_decay,3,0.12039630196620052,0.43608693070975646
g3_spillover_3leader_lag1to2_decay,4,0.1741037153775584,0.6774514107399298
g3_spillover_3leader_lag1to2_decay,5,0.14295405823539972,0.5355251958069595
g4_spillover_residual_leader_lag1,1,0.16609978289473842,0.6444431811227571
g4_spillover_residual_leader_lag1,2,0.04708780972546766,0.1807258554198735
g4_spillover_residual_leader_lag1,3,0.07156219078996573,0.28586089537934795
g4_spillover_residual_leader_lag1,4,0.16904911839449968,0.6552808177735524
g4_spillover_residual_leader_lag1,5,0.16385089735192482,0.6229416192334865
g5_spillover_3leader_lag1_volscaled,1,0.13249559088562038,0.6099102250761038
g5_spillover_3leader_lag1_volscaled,2,0.08314855397027823,0.33927260581407725
g5_spillover_3leader_lag1_volscaled,3,0.08617686592597203,0.34408294662941724
g5_spillover_3leader_lag1_volscaled,4,0.14450737143524356,0.5287417175994013
g5_spillover_3leader_lag1_volscaled,5,0.1594913447819081,0.6260695586510348
g6_spillover_3leader_orthogonalized,1,0.20947800343620948,0.7446611053980273
g6_spillover_3leader_orthogonalized,2,0.14400849094694643,0.6095838118384073
g6_spillover_3leader_orthogonalized,3,0.049552309894047804,0.2192620567549289
g6_spillover_3leader_orthogonalized,4,0.1274506771465868,0.5260517795543631
g6_spillover_3leader_orthogonalized,5,0.0872348865628974,0.32772683373785993
g7_spillover_signonly_3leader,1,0.10361828598585686,0.4080281577377811
g7_spillover_signonly_3leader,2,0.07508705624027052,0.2871379955238027
g7_spillover_signonly_3leader,3,0.134217765595998,0.5039333622068071
g7_spillover_signonly_3leader,4,0.21901803249034754,0.8499615308741235
g7_spillover_signonly_3leader,5,0.08949622748780159,0.3594921120738738
g8_kitchen_sink_rank,1,0.10422127854674663,0.42958156796059016
g8_kitchen_sink_rank,2,0.0683599138551367,0.27970608326690266
g8_kitchen_sink_rank,3,0.16897293887993756,0.6313072087229009
g8_kitchen_sink_rank,4,0.11724042030172965,0.48365759906102956
g8_kitchen_sink_rank,5,0.15452736441524767,0.573375249286247
