trade_date,exposure,bond_rotation_active,long_q5_etfs,short_q1_etfs,n_long,n_short,ivol_q5_avg,ivol_q1_avg
2025-01-17,0.5470061241069551,False,159819.SZ;159869.SZ;159890.SZ;159907.SZ;159922.SZ;159985.SZ;512480.SS;512660.SS;512760.SS;512980.SS;515880.SS,159901.SZ;159905.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,11,10,0.2414992328666255,0.03306632389278902
2025-02-25,0.4915708921810855,False,159819.SZ;159869.SZ;159890.SZ;159922.SZ;512170.SS;512480.SS;512760.SS;512980.SS;515880.SS;588000.SS;588080.SS,159901.SZ;159903.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,11,10,0.30033365757206404,0.03296939846637893
2025-03-26,0.45679542645799226,False,159755.SZ;159819.SZ;159869.SZ;159890.SZ;159985.SZ;510630.SS;512480.SS;512660.SS;512760.SS;512980.SS;515220.SS;515880.SS,159901.SZ;159903.SZ;159919.SZ;159931.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS,12,11,0.2158644151405236,0.031934632767342784
2025-04-25,0.8024397373853233,True,159819.SZ;159869.SZ;159890.SZ;159930.SZ;159967.SZ;159985.SZ;159992.SZ;512480.SS;512660.SS;512760.SS;515880.SS;518880.SS,159901.SZ;159903.SZ;159919.SZ;159931.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510650.SS,12,11,0.24940200990650652,0.053685845673846884
2025-05-29,0.9018021560770909,True,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159890.SZ;159992.SZ;512480.SS;512660.SS;512760.SS;512980.SS;515880.SS;518880.SS,159901.SZ;159905.SZ;159912.SZ;159919.SZ;159928.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.20100797982275354,0.03264320773006985
2025-06-30,1.3982312288557117,False,159869.SZ;159890.SZ;159930.SZ;159992.SZ;510660.SS;512290.SS;512660.SS;512690.SS;512880.SS;512980.SS;515220.SS;515880.SS,159901.SZ;159903.SZ;159912.SZ;159919.SZ;159968.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.18559976711505025,0.030318831344060822
2025-07-29,1.5333637324318639,False,159819.SZ;159857.SZ;159869.SZ;159890.SZ;159930.SZ;159992.SZ;510170.SS;512290.SS;512480.SS;515210.SS;515220.SS;515880.SS,159901.SZ;159903.SZ;159912.SZ;159919.SZ;159922.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.23066089530736555,0.03335468727057143
2025-08-27,1.2956699020371607,False,159819.SZ;159857.SZ;159869.SZ;159890.SZ;159967.SZ;512480.SS;512660.SS;512760.SS;512880.SS;515880.SS;588000.SS;588080.SS,159901.SZ;159919.SZ;159980.SZ;510050.SS;510060.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS,12,11,0.2296525506944461,0.03996213495474581
2025-09-25,1.0301939839202197,False,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159890.SZ;159907.SZ;159992.SZ;512480.SS;512760.SS;515030.SS;515880.SS;588080.SS,159901.SZ;159903.SZ;159912.SZ;159919.SZ;159980.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.3405080981665463,0.05039288547874587
2026-03-11,,False,159857.SZ;159869.SZ;159890.SZ;159930.SZ;159985.SZ;510170.SS;512480.SS;512660.SS;512760.SS;512980.SS;515220.SS;515880.SS,159901.SZ;159905.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS,12,11,0.3450212987419845,0.04508830088807285
2026-04-10,,False,159755.SZ;159857.SZ;159890.SZ;159930.SZ;159967.SZ;159985.SZ;159992.SZ;510170.SS;512760.SS;515220.SS;515880.SS;518880.SS,159902.SZ;159903.SZ;159912.SZ;159919.SZ;510050.SS;510060.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.4163982206749493,0.04537142313083944
