split,start,end,sharpe,ret_ann,vol_ann,maxdd,n_days,worst_year,worst_year_sh,per_year_sharpes
train_2019_2022,2019-01-04,2022-12-31,1.3179762957644692,0.17172192419533483,0.13029211886980904,-0.11710208739477823,970,2021,0.24146121523975927,"{2019: 2.9119857866503045, 2020: 1.9091564307502469, 2021: 0.24146121523975927, 2022: 0.43598629424456303}"
val_2023,2023-01-01,2023-12-31,0.24962746234873223,0.02587278252743947,0.10364557762997613,-0.0950664943283831,242,2023,0.24962746234873223,{2023: 0.24962746234873223}
oos_2024_2026,2024-01-01,2026-04-22,1.645783350397135,0.2889746509951908,0.17558486718525856,-0.1874738699697418,556,2026,0.8276690608589351,"{2024: 1.4138942821069833, 2025: 2.7356687398871995, 2026: 0.8276690608589351}"
