,gold_only,reversal_ensemble_only,winner_55gold
2019-01-04,1.0,0.9995,0.9995
2019-01-07,0.9936575052854122,1.0164094911469834,1.0036226431091657
2019-01-08,0.9901338971106413,1.0089320525329257,0.9983427068435106
2019-01-09,0.9866102889358702,1.0144376498484295,0.9988401710316501
2019-01-10,0.9880197322057785,1.0078147042590726,0.9966904724815693
2019-01-11,0.9809725158562366,1.0168254799218983,0.9967905801925281
2019-01-14,0.9823819591261449,1.002780494244309,0.9913825605093037
2019-01-15,0.9802677942212824,1.020062663389139,0.9978976967425203
2019-01-16,0.9820295983086679,1.0245161918779586,1.00084465705141
2019-01-17,0.9837914023960532,1.0163853888033947,0.9982578914946757
2019-01-18,0.9841437632135305,1.034180130549735,1.006319355276427
2019-01-21,0.9795630725863281,1.0361660854491808,1.0046128105568222
2019-01-22,0.9799154334038053,1.0222452345539712,0.9987379446442052
2019-01-23,0.9823819591261448,1.022787254761723,1.0003588917874233
2019-01-24,0.9799154334038052,1.031280707627789,1.0027157192042628
2019-01-25,0.9781536293164196,1.0329048579725437,1.002434804501822
2019-01-28,0.9887244538407325,1.0263233012182158,1.0055187483290475
2019-01-29,0.9918957011980264,1.0227487391516437,1.005716614777041
2019-01-30,0.9950669485553203,1.020452253545161,1.006468895316991
2019-01-31,0.9943622269203661,1.0230510223285953,1.007230278068465
2019-02-01,0.9982381959126142,1.0449003661008784,1.0190698051996727
2019-02-11,0.9968287526427059,1.0614728555433637,1.0255516977901604
2019-02-12,0.997885835095137,1.074969509293382,1.0320178075533035
2019-02-13,0.9957716701902745,1.093567247269057,1.0388498337578198
2019-02-14,0.9950669485553202,1.0935362196165455,1.0384322051730668
2019-02-15,1.001057082452431,1.077749441963934,1.0351242849657336
2019-02-18,1.0063424947145874,1.1148073126101856,1.0541466914609907
2019-02-19,1.0077519379844957,1.1201192247711507,1.0572190016987917
2019-02-20,1.016208597603946,1.1127081011361952,1.0589507454057148
2019-02-21,1.0091613812544042,1.1011346331214535,1.0499553037405032
2019-02-22,1.0021141649048624,1.1205175146472515,1.0542395496726016
2019-02-25,1.000704721634954,1.1851127512364146,1.0807725433603805
2019-02-26,1.0,1.1720688064850715,1.075000948412391
2019-02-27,0.9978858350951373,1.1788338869211399,1.0765431132046932
2019-02-28,0.9911909795630726,1.1848589003427858,1.0750466921592379
2019-03-01,0.9887244538407328,1.196938617135303,1.0785074125114573
2019-03-04,0.9756871035940803,1.2179107220429302,1.0791893935486139
2019-03-05,0.9711064129668778,1.2296842104463002,1.0810973682596776
2019-03-06,0.9739252995066945,1.2361379138749446,1.0853766046712874
2019-03-07,0.9746300211416487,1.2195343835064596,1.0792482142354447
2019-03-08,0.9809725158562362,1.1831554997806633,1.0686236758987815
2019-03-11,0.9830866807610988,1.195942396136053,1.075087458066871
2019-03-12,0.9823819591261446,1.1998778520575202,1.0762555812618062
