,baseline_k40_monthly,D1_regime_breadth,D1b_regime_mom200,D2_ensemble_k40_k80,D3_stoploss_20dlow,D4_disp_gt_Q75,D5_breadth_and_disp
2019-04-02,1.2832985733963753,1.2832985733963753,1.0,1.2520300282876078,1.2539637168344315,1.0,1.0
2019-04-03,1.2914114328876771,1.2914114328876771,1.0,1.258740896782037,1.2579441191661669,1.0,1.0
2019-04-04,1.2989983283637527,1.2989983283637527,1.0,1.2659256459989514,1.2586661566205932,1.0,1.0
2019-04-08,1.2980584583136094,1.2980584583136094,1.0,1.2653564313252639,1.2554374827309607,1.0,1.0
2019-04-09,1.306612174573272,1.306612174573272,1.0,1.271517279479464,1.2671593468903575,1.0,1.0
2019-04-10,1.3044845374777554,1.3044845374777554,1.0,1.2741257118630047,1.267046029206242,1.0,1.0
2019-04-11,1.2921852701745555,1.2921852701745555,1.0,1.2609177089864383,1.2590176402550162,1.0,1.0
2019-04-12,1.2909696883104431,1.2909696883104431,0.9995,1.2573930367355575,1.2560516162107813,1.0,1.0
2019-04-15,1.2848404092907864,1.2848404092907864,0.994754563731729,1.2514231732838352,1.2498787796330382,1.0,1.0
2019-04-16,1.3081596476718749,1.3081596476718749,1.0128088828787585,1.2741359048280838,1.273015353471036,1.0,1.0
2019-04-17,1.3030094721969814,1.3030094721969814,1.0088214922887495,1.269119679552824,1.2700000652313452,1.0,1.0
2019-04-18,1.2937187813733038,1.2937187813733038,1.0016284144323524,1.260070629018226,1.2638695860243163,1.0,1.0
2019-04-19,1.3023595488859814,1.3023595488859814,1.0083183059202185,1.2684866600070797,1.2701513205620802,1.0,1.0
2019-04-22,1.2863942835008018,1.2863942835008018,0.9959576107799855,1.2529366329950336,1.253192743417113,1.0,1.0
2019-04-23,1.284202849104773,1.284202849104773,0.9942609491939979,1.2508021953122745,1.2533330922836694,1.0,1.0
2019-04-24,1.2865747980835718,1.2865747980835718,0.9960973695420325,1.2531124525990562,1.2561056120284824,1.0,1.0
2019-04-25,1.2789533691778696,1.2789533691778696,0.9901966746920869,1.245689248380724,1.2466752308695512,1.0,1.0
2019-04-26,1.265033373009355,1.265033373009355,0.9794194765158547,1.232131295461951,1.2321429318189312,1.0,1.0
2019-04-29,1.2790630294150989,1.2790630294150989,0.9902815763037227,1.245796056480052,1.2383541123195938,1.0,1.0
2019-04-30,1.2839037341166106,1.2839037341166106,0.9940293671255918,1.2505108599643537,1.2402758288191587,1.0,1.0
2019-05-06,1.2501934914032204,1.2501934914032204,0.9679300807541744,1.2176773822783233,1.228191281552232,1.0,1.0
2019-05-07,1.2589282924141778,1.2589282924141778,0.9746927752539017,1.2261850010612418,1.228191281552232,1.0,1.0
2019-05-08,1.2497605350331382,1.2497605350331382,0.9675948754462453,1.2172556866104225,1.228191281552232,1.0,1.0
2019-05-09,1.2287967070255597,1.2287967070255597,0.9513641720584706,1.196837103897958,1.228191281552232,1.0,1.0
2019-05-10,1.2495154988674682,1.2495154988674682,0.9674051625120029,1.2170170235564004,1.228191281552232,1.0,1.0
2019-05-13,1.244078772323531,1.244078772323531,0.9631959171440679,1.211721700079109,1.228191281552232,1.0,1.0
2019-05-14,1.2441506558199082,1.2441506558199082,0.9632515710879829,1.2117917139675987,1.228191281552232,1.0,1.0
2019-05-15,1.2603725633148866,1.2603725633148866,0.9758109647654988,1.2275917081204042,1.228191281552232,1.0,1.0
2019-05-16,1.2649189171380233,1.2649189171380233,0.979330862008146,1.232019816457502,1.228191281552232,1.0,1.0
2019-05-17,1.2481347648251433,1.2487672242837125,0.9663361647750307,1.216082874106437,1.2277818844583812,1.0,1.0
2019-05-20,1.2545313119116352,1.2487672242837125,0.9712885264538832,1.2217946736676808,1.2303745942724074,1.0,1.0
2019-05-21,1.2711543468505904,1.2487672242837125,0.9841584827138401,1.2338147666427444,1.2407070804132263,1.0,1.0
2019-05-22,1.263227248191395,1.2487672242837125,0.9780211309374129,1.2282169377806618,1.237534634767925,1.0,1.0
2019-05-23,1.2537505373557196,1.2487672242837125,0.9706840318823189,1.2203782954363156,1.2291714542102647,1.0,1.0
2019-05-24,1.2400201877298749,1.2487672242837125,0.9600536626526646,1.2110147401784461,1.2157102804651192,1.0,1.0
2019-05-27,1.2714274050072085,1.2487672242837125,0.9843698909521675,1.2342415694620537,1.2347163675544224,1.0,1.0
2019-05-28,1.272881792391603,1.2487672242837125,0.9854959128904555,1.2338290079347438,1.2379182051485234,1.0,1.0
2019-05-29,1.273575193182717,1.2487672242837125,0.9860327605771162,1.2349761101032024,1.2381420798722855,1.0,1.0
2019-05-30,1.2611552388954828,1.2487672242837125,0.9764169311564137,1.2260808033314854,1.2319185783532884,1.0,1.0
2019-05-31,1.2598215744251196,1.2487672242837125,0.97538437582208,1.2269296498425752,1.2328870678016794,1.0,1.0
2019-06-03,1.2553497409929089,1.2487672242837125,0.9719221740709729,1.2256517310469324,1.228510840469288,1.0,1.0
2019-06-04,1.2375199935528796,1.2487672242837125,0.958117951766085,1.2150951514853845,1.212679574998268,1.0,1.0
2019-06-05,1.2448075482362984,1.2487672242837125,0.9637601531066989,1.2199807390570085,1.2102223625725916,1.0,1.0
2019-06-06,1.2280187972996113,1.2487672242837125,0.9507618955076533,1.2069418622730936,1.2102223625725916,1.0,1.0
2019-06-10,1.2299615690268357,1.2487672242837125,0.9522660364328381,1.2119532737431995,1.2102223625725916,1.0,1.0
2019-06-11,1.2796163862656986,1.2487672242837125,0.9907099985797703,1.2443578177629588,1.2102223625725916,1.0,1.0
2019-06-12,1.260144353157565,1.2487672242837125,0.9756342789344461,1.2342175017772605,1.2102223625725916,1.0,1.0
2019-06-13,1.2632946073967812,1.2487672242837125,0.9780732820656641,1.235381617329267,1.2102223625725916,1.0,1.0
2019-06-14,1.2508234284733584,1.2487672242837125,0.9684177932909628,1.2305423308054442,1.2102223625725916,1.0,1.0
2019-06-17,1.2524171395473485,1.2487672242837125,0.9696516830041579,1.228155902865658,1.2102223625725916,1.0,1.0
2019-06-18,1.242565916059679,1.2487672242837125,0.9620246271831866,1.2241631257303827,1.2102223625725916,1.0,1.0
2019-06-19,1.2618175007414871,1.2487672242837125,0.9769296703175844,1.238844672604543,1.2102223625725916,1.0,1.0
2019-06-20,1.3032153086633156,1.2487672242837125,1.008980855866348,1.27309843089208,1.2102223625725916,1.0,1.0
2019-06-21,1.3192640091395929,1.2481428406715707,1.0214061484749084,1.2851946648257395,1.2096172513913055,1.0,1.0
2019-06-24,1.3165194296415375,1.2455462207172479,1.019281228553747,1.2838174775317936,1.2071007795663613,1.0,1.0
2019-06-25,1.3110772547355956,1.2403974319990867,1.0150677649319884,1.2845923091264349,1.2021109150618263,1.0,1.0
2019-06-26,1.3212391820833442,1.2500115325723216,1.0229353752066863,1.2841290493293198,1.2114282636304714,1.0,1.0
2019-06-27,1.3270729010948812,1.2555307573584873,1.0274519817582022,1.2901858993500717,1.2167771302009518,1.0,1.0
2019-06-28,1.3195893889994492,1.248450679390557,1.0216580654431155,1.2846492082230183,1.2099155882586883,1.0,1.0
2019-07-01,1.3536408996209017,1.2806664822183296,1.0480215696944697,1.305867156084773,1.2411370074729564,1.0,1.0
2019-07-02,1.365357338752035,1.2917512912621432,1.0570927206421685,1.3134787273346182,1.2518796691386362,1.0,1.0
2019-07-03,1.3684073458617343,1.2946368733075833,1.059454110017727,1.3198583023122965,1.2546761838553264,1.0,1.0
2019-07-04,1.3671651110956475,1.2934616070841563,1.0584923417748733,1.3199411618525625,1.2535371937874351,1.0,1.0
2019-07-05,1.365194428317297,1.291597163285195,1.0569665914379005,1.3181489948944876,1.2517302985267458,1.0,1.0
2019-07-08,1.3293352192700723,1.2576711145683586,1.0292035232828236,1.2859158244025237,1.2188514224380549,1.0,1.0
2019-07-09,1.3291700063823007,1.2575148082630019,1.0290756114636517,1.2862360932316181,1.2186999407347596,1.0,1.0
2019-07-10,1.326680745170264,1.2551597424544596,1.0271483651433397,1.2832368518661774,1.216417567165528,1.0,1.0
2019-07-11,1.3251147555480747,1.253678174912284,1.0259359380495428,1.2863407843922616,1.214981730176588,1.0,1.0
2019-07-12,1.3302775996103195,1.2585626914375225,1.0299331369667126,1.287932077570665,1.219715479601017,1.0,1.0
2019-07-15,1.3430833708554197,1.2706781069935595,1.0398476752206889,1.3041993402467116,1.2314569367378234,1.0,1.0
