gw,train_sh,train_worst_y,train_worst_sh,val_sh,oos_sh
0.0,1.1902018492900206,2022,0.04075999978058694,-0.6767531485068886,0.7690733036577347
0.05,1.210457302521054,2022,0.0599160811581184,-0.6373176647976384,0.8428718994049073
0.1,1.2311994082367994,2022,0.08117656005510648,-0.5928761388779227,0.9210445615879435
0.15000000000000002,1.252127169441859,2022,0.10486075618665776,-0.5425372649647987,1.0032114186984553
0.2,1.2727902185506599,2022,0.13134143173507598,-0.4852235365615806,1.0886951250880181
0.25,1.2925388098284067,2022,0.16105000839264363,-0.4196367433695684,1.176454204962729
0.30000000000000004,1.3104660886402784,2022,0.19447800803406176,-0.3442260256296116,1.2650351982102896
0.35000000000000003,1.3253495622515379,2022,0.23217009225727692,-0.25716971543243383,1.3525661752211289
0.4,1.3356071365603528,2022,0.27470048358655913,-0.15639359583628254,1.4368166099696684
0.45,1.3392949949747965,2022,0.3226190136477209,-0.03966733600603062,1.5153417998221255
0.5,1.3341867387777233,2021,0.3059261097746302,0.09515143726461593,1.5857103573875895
0.55,1.3179762957644692,2021,0.24146121523975927,0.24962746234873223,1.645783350397135
0.6000000000000001,1.2886255982191914,2021,0.16958340241043884,0.42391705446344374,1.6939851821788343
0.65,1.2448192336821766,2021,0.0915624957872959,0.6156086499443216,1.729496212567387
0.7000000000000001,1.186403726738991,2021,0.009551911750322384,0.8185568725840312,1.7523159530095929
0.75,1.1146313021822976,2021,-0.07361656954816234,1.0225038320465512,1.7631871999284239
0.8,1.0320649401528494,2021,-0.15487870203871723,1.214460130554058,1.763414852161814
0.8500000000000001,0.9421441268122478,2021,-0.23147799451261142,1.3819826261624781,1.754637592095987
0.9,0.848571474455944,2021,-0.3013918668531733,1.5168277672637678,1.7386090971470487
0.9500000000000001,0.7547432931199014,2021,-0.363506767342333,1.6167633990408032,1.7170259726515835
