variant,net5_sharpe,maxdd,worst_year,worst_sharpe,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
baseline_no_gold,0.7742206132974657,-0.42353280752429934,2023,-0.5845014460993432,2.6059255759296915,2.0632627054973183,0.2527287943007684,-0.4430035956884314,-0.5845014460993432,1.0661487341084637,0.9869941772234146,0.6455603238618958
D6_gold_fallback_mom200,0.834742164577126,-0.2071288713340439,2022,-0.446040555085646,1.1973827022936159,2.0632627054973183,0.2527287943007684,-0.446040555085646,-0.16627980738523965,2.391150751535578,0.6476048402337347,0.6455603238618958
D6b_blend_50pct_gold,1.1999473763170398,-0.17580802667835926,2022,-0.13459066884811102,3.1345532741902153,1.8705861241782618,-0.004201952061739042,-0.13459066884811102,0.16480668024581527,1.7340787313133974,2.3314219031611416,0.8346304452552917
D6c_blend_25pct_gold,0.9303637180912999,-0.29956178540980183,2022,-0.3779538410266261,2.891686646136154,1.9565382075016335,0.148769187376841,-0.3779538410266261,-0.3335442199917004,1.287586170117525,1.589055690208484,0.7838360211343168
