variant,gold_weight,net5_sharpe,maxdd,worst_year,worst_sharpe,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
k40_only,0.0,0.7742206132974657,-0.42353280752429934,2023,-0.5845014460993432,2.6059255759296915,2.0632627054973183,0.2527287943007684,-0.4430035956884314,-0.5845014460993432,1.0661487341084637,0.9869941772234146,0.6455603238618958
k40_only,0.05,0.7391266332498997,-0.40674117342415883,2023,-0.5458573075956006,2.5730744661635963,1.881575897469491,0.2163253735625699,-0.4807692005064125,-0.5458573075956006,1.0534756040135596,0.987220562750114,0.6808485308284723
k40_only,0.1,0.782497883344189,-0.38109660770391074,2023,-0.5023823759396419,2.6483735680658667,1.9049873587731914,0.20250442560453005,-0.45970265889095596,-0.5023823759396419,1.1038151093418935,1.126163617801229,0.7124702670333071
k40_only,0.15000000000000002,0.8289078440197235,-0.35468764327484026,2023,-0.45322560378748444,2.7274959705426647,1.926162104045923,0.18685027087965284,-0.43589546659706546,-0.45322560378748444,1.1592036589685062,1.2738053119468782,0.7401939067060754
k40_only,0.2,0.8782815087631077,-0.32751032626387067,2022,-0.4088481804235566,2.80928239126966,1.943865801118343,0.16905623313235776,-0.4088481804235566,-0.39735895148464107,1.2202480507599849,1.4288279510888668,0.7639542644129523
k40_only,0.25,0.9303637180912999,-0.29956178540980183,2022,-0.3779538410266261,2.891686646136154,1.9565382075016335,0.148769187376841,-0.3779538410266261,-0.3335442199917004,1.287586170117525,1.589055690208484,0.7838360211343168
k40_only,0.30000000000000004,0.9846429561436545,-0.27084028441730357,2022,-0.3424765727549192,2.97139913398286,1.9622801429202013,0.1255924876712138,-0.3424765727549192,-0.2603017489177689,1.3618465455311326,1.7513445139686175,0.8000451201564316
k40_only,0.35000000000000003,1.0402640619224977,-0.2413452734907946,2022,-0.3015304193140092,3.043431932904472,1.958890732415204,0.09909870475248397,-0.3015304193140092,-0.1758911746072045,1.4435711012666645,1.9116045672067619,0.8128744773404254
k40_only,0.4,1.0959436580751858,-0.2110774398484283,2022,-0.2540640255697644,3.1007971582678375,1.9439842405049639,0.06885932917267247,-0.2540640255697644,-0.07832508127182447,1.5330778651092491,2.0650249483897545,0.8226697568342644
k40_only,0.45,1.1499155189390387,-0.18675538694282756,2022,-0.19886281989180934,3.134545654857658,1.9152111988364136,0.0345009924316649,-0.19886281989180934,0.034545403537161685,1.6302308995291956,2.2065310350161114,0.8297993104458161
k40_only,0.5,1.1999473763170398,-0.17580802667835926,2022,-0.13459066884811102,3.1345532741902153,1.8705861241782618,-0.004201952061739042,-0.13459066884811102,0.16480668024581527,1.7340787313133974,2.3314219031611416,0.8346304452552917
k40_only,0.55,1.2434761397906084,-0.18315855897351652,2022,-0.05990830718567628,3.0913680925911295,1.8088805885936796,-0.04719476247372293,-0.05990830718567628,0.3140233347992064,1.8423342425899096,2.4360404534646123,0.8375125357959904
k40_only,0.6000000000000001,1.2778901399793858,-0.19049666632400508,2021,-0.09398437620225825,2.9989376785443747,1.7299873189636394,-0.09398437620225825,0.026277288550022825,0.482440250782945,1.9507288463167802,2.51828004510793,0.8387663881632608
