,pnl_net_5bps
2019-01-04,-0.0005
2019-01-07,0.009680759520272364
2019-01-08,-0.007997488732854144
2019-01-09,0.0001410962461681673
2019-01-10,-0.0026569889701523928
2019-01-11,0.007070277536237679
2019-01-14,-0.005588324258923194
2019-01-15,0.006005394815335982
2019-01-16,-0.001546652051552022
2019-01-17,-0.0045402236194867305
2019-01-18,0.00815600383977418
2019-01-21,0.0011994133377016452
2019-01-22,-0.0081564074253793
2019-01-23,0.0027995490152494806
2019-01-24,0.005781864549393593
2019-01-25,0.0027422344833910595
2019-01-28,0.002075587918252427
2019-01-29,-0.0026019106082639425
2019-01-30,0.00018892865476823517
2019-01-31,0.003128736510724761
2019-02-01,0.008992925221064282
2019-02-11,0.005338114214351708
2019-02-12,0.001231830500123099
2019-02-13,0.010242028868018652
2019-02-14,-0.002179483162874381
2019-02-15,-0.011013783207840633
2019-02-18,0.017142868635104058
2019-02-19,0.00277594543053028
2019-02-20,0.006706020225715276
2019-02-21,-0.01015946953352509
2019-02-22,0.008540671534671085
2019-02-25,0.045508041457069104
2019-02-26,-0.013087191371299581
2019-02-27,0.005357144959826754
2019-02-28,-0.0037593787651883557
2019-03-01,0.010505911592063155
2019-03-04,0.011313277804592865
2019-03-05,0.0039597490060613305
2019-03-06,0.004321276686000797
2019-03-07,-0.008285766828150187
2019-03-08,-0.026383636770804575
2019-03-11,0.012252388134741091
2019-03-12,0.009568482932304093
2019-03-13,0.002998758618626713
2019-03-14,-0.01768534325603795
2019-03-15,0.01744841256343273
2019-03-18,0.021590666638287237
2019-03-19,-0.0059746787183138075
2019-03-20,0.009970350483345342
2019-03-21,0.0011575874297946225
2019-03-22,-0.004360687070726492
2019-03-25,-0.024936059078044782
2019-03-26,-0.016362891624436566
2019-03-27,0.0057313604080685785
2019-03-28,-0.011898171080032105
2019-03-29,0.05548038968579323
2019-04-01,0.024072919191750437
2019-04-02,0.0012016545231004667
2019-04-03,0.02280083154155791
2019-04-04,0.006221760068004493
2019-04-08,-0.00919226035500583
2019-04-09,0.006409790005419969
2019-04-10,-0.008871297626778704
2019-04-11,-0.016421376495743895
2019-04-12,0.002839224510702251
2019-04-15,-0.006798693769902904
2019-04-16,0.009992737820013049
2019-04-17,-0.0017493296498805044
