,pnl_net_5bps
2019-01-04,-0.0005
2019-01-07,0.013356204674939809
2019-01-08,-0.005779454599926423
2019-01-09,0.00597489589755525
2019-01-10,-0.005934299894522099
2019-01-11,0.00911450007546736
2019-01-14,-0.009270101892529562
2019-01-15,0.013464568801566396
2019-01-16,0.006052446633263578
2019-01-17,-0.002248074430124906
2019-01-18,0.016096469870870062
2019-01-21,0.0025068896559112446
2019-01-22,-0.014137117362923814
2019-01-23,0.0017119515678858388
2019-01-24,0.00910634687235549
2019-01-25,0.0030082059564823242
2019-01-28,-0.003064361191162379
2019-01-29,0.006304537678844646
2019-01-30,-0.0030805303657215344
2019-01-31,0.006988603679410047
2019-02-01,0.014205599818826298
2019-02-11,0.012955974842767299
2019-02-12,0.01227585051114466
2019-02-13,0.016642551774234793
2019-02-14,-0.001430269641280161
2019-02-15,-0.014407124685927381
2019-02-18,0.028309979431602923
2019-02-19,0.0011979809113893034
2019-02-20,-0.0023342149014764133
2019-02-21,-0.010574518313574772
2019-02-22,0.015450319764943599
2019-02-25,0.059310198044035804
2019-02-26,-0.010896778140065178
2019-02-27,0.0034695140348328284
2019-02-28,0.005661814256371097
2019-03-01,0.013772733911649238
2019-03-04,0.01430567039512224
2019-03-05,0.004472450369134499
2019-03-06,0.0035003141672263665
2019-03-07,-0.008547478775030776
2019-03-08,-0.01942863275642263
2019-03-11,0.013772330329125502
2019-03-12,0.001986661130052118
2019-03-13,0.00010139523415605045
2019-03-14,-0.002736359186600349
2019-03-15,0.004864236269634318
2019-03-18,0.020592117452124303
2019-03-19,-0.005625330589872097
2019-03-20,-0.0011260638364397613
2019-03-21,0.0010677381367036887
2019-03-22,0.0016420588449809945
2019-03-25,-0.013418339701478765
2019-03-26,-0.0073360808897235215
2019-03-27,0.01374007698466406
2019-03-28,-0.002437468495690006
2019-03-29,0.014408984875620846
2019-04-01,0.013331467368427535
2019-04-02,-0.0021959535557148175
2019-04-03,0.004398100173964877
2019-04-04,0.005540885073441082
2019-04-08,-0.00017575165114236402
2019-04-09,0.0031481043515261264
2019-04-10,0.005731227408830364
2019-04-11,-0.011304202549819564
2019-04-12,-0.004983261359230698
2019-04-15,-0.00148040743672595
2019-04-16,0.017503988448901848
2019-04-17,-0.002958528270605905
2019-04-18,-0.0018148903490437336
2019-04-19,0.0035474048771764557
2019-04-22,-0.011754266024694277
2019-04-23,-0.012711951351362752
2019-04-24,0.0033505233446029883
2019-04-25,-0.016377203600741498
2019-04-26,-0.005217579500559011
2019-04-29,-0.00545669568004344
2019-04-30,0.005503461540869188
2019-05-06,-0.03262991635843171
2019-05-07,0.002645485294055653
2019-05-08,-0.0015280105243221653
2019-05-09,-0.005938269425402246
2019-05-10,0.022425714571625788
2019-05-13,-0.00626664288929768
2019-05-14,0.0004686275389803223
2019-05-15,0.007236657493031558
2019-05-16,0.006269590977907949
2019-05-17,-0.015101424633144714
2019-05-20,0.006954303281986873
2019-05-21,0.008658772924189706
2019-05-22,-0.005217507243851578
2019-05-23,-0.004049379822060143
2019-05-24,-0.007023832862442087
2019-05-27,0.022725553518875362
2019-05-28,-0.002791557241513476
2019-05-29,0.0007369510444058164
2019-05-30,-0.007735957137780636
2019-05-31,-0.00282213139832251
2019-06-03,-0.0025031837575908433
2019-06-04,-0.00831373049593657
2019-06-05,0.0034512189802643847
2019-06-06,-0.010980346681340292
2019-06-10,0.0032741045503650312
2019-06-11,0.03270337863344659
2019-06-12,-0.010452468301636597
2019-06-13,0.0023227282179246744
2019-06-14,-0.009994890203771496
2019-06-17,0.0012741295355613116
2019-06-18,-0.00786576866173357
2019-06-19,0.015493411200958374
2019-06-20,0.03280807874157861
2019-06-21,0.012648029431200948
2019-06-24,-0.0034932094932094517
2019-06-25,-0.0033864497861984715
2019-06-26,-0.0027736682711970344
2019-06-27,0.005774897200782872
2019-06-28,-0.004352424835568303
2019-07-01,0.023629974257353355
2019-07-02,-0.0005836106123998279
2019-07-03,0.0020869501934738617
2019-07-04,0.005772614107987831
2019-07-05,-0.006895982748663616
2019-07-08,-0.02904323276522095
2019-07-09,0.0033245186731616356
2019-07-10,-0.004392908277770316
2019-07-11,-0.0004299557028768497
2019-07-12,0.003660169067435492
2019-07-15,0.014616278090630114
2019-07-16,0.002940112549792577
2019-07-17,0.0005527336231786102
2019-07-18,-0.014291328008771604
2019-07-19,0.01755568758609871
2019-07-22,-0.01569880053076337
2019-07-23,0.0011732000838043555
2019-07-24,0.008732235045818548
2019-07-25,0.002768742151509092
2019-07-26,0.003027352607709699
2019-07-29,-0.010183403134843522
2019-07-30,0.008156884495387576
2019-07-31,-0.011474311739835742
2019-08-01,-0.014692257185985212
2019-08-02,-0.017647388467577702
2019-08-05,-0.02092765055416564
2019-08-06,-0.008574244869566223
2019-08-07,-0.0018385614724287418
2019-08-08,0.009627347189024988
2019-08-09,-0.006558242837218915
2019-08-12,0.015523743099564058
2019-08-13,-0.007907939649148894
2019-08-14,0.005201453481728623
2019-08-15,0.0001417902066486918
2019-08-16,0.0027321076656408776
2019-08-19,0.04328720966329006
2019-08-20,0.0002014346864807428
2019-08-21,-0.0011131438315571396
2019-08-22,0.002499482728855991
2019-08-23,-0.002668874986967255
2019-08-26,-0.014726563193957746
2019-08-27,0.015040700052437146
2019-08-28,-0.008478124036898774
2019-08-29,-0.007288297277694052
2019-08-30,-0.003542028976748046
2019-09-02,0.013158967453004006
2019-09-03,-0.0005351737455956778
2019-09-04,0.019882186687969705
2019-09-05,0.012341105350733515
2019-09-06,0.007440270540511884
2019-09-09,0.008452865441704685
2019-09-10,-0.002159418290441047
2019-09-11,0.0023113749075498458
2019-09-12,0.013905566235774103
2019-09-16,-0.007274749315509827
2019-09-17,-0.020608299205491676
2019-09-18,0.002777389192439454
2019-09-19,0.0025085441297990614
2019-09-20,-0.0022630772226044367
2019-09-23,-0.013360237250382748
2019-09-24,0.001027749229188061
2019-09-25,-0.0031490073044731317
2019-09-26,-0.0008353214175737343
2019-09-27,0.0005241577462259026
2019-09-30,-0.011895690007814541
2019-10-08,0.00161266662995448
2019-10-09,0.008408557490725702
2019-10-10,0.006353164040417672
2019-10-11,0.005940198176841659
2019-10-14,0.012579883840183825
2019-10-15,-0.01086694621576704
2019-10-16,-0.003894913250998407
2019-10-17,-0.003981769527435267
2019-10-18,-0.019905911957802815
2019-10-21,0.0022392055484442928
2019-10-22,0.005792892296725416
2019-10-23,-0.010246096871350436
2019-10-24,0.003401022471326934
2019-10-25,0.009599940199440141
2019-10-28,0.00891219154495019
2019-10-29,-0.013696646928411289
2019-10-30,-0.010629054238975606
2019-10-31,-0.004061629371895581
2019-11-01,0.013280137925296621
2019-11-04,-0.0017014330788892216
2019-11-05,0.007093229847653371
2019-11-06,0.0013531269728320004
2019-11-07,-0.0031078847048621547
2019-11-08,-0.009556928807129253
2019-11-11,-0.014706185891454891
2019-11-12,-0.0022517425340941033
2019-11-13,-0.0016481000189920345
2019-11-14,0.002485365495937956
2019-11-15,-0.00763347985171477
2019-11-18,0.005694607779342571
2019-11-19,0.010397146652710113
2019-11-20,-0.007276807636132514
2019-11-21,0.0020499627458423113
2019-11-22,-0.002910848676680862
2019-11-25,-0.0027044349584806797
2019-11-26,-0.0007590869904127162
2019-11-27,-0.0026036952290266666
2019-11-28,-0.0008222838935142418
2019-11-29,0.0036382125911151118
2019-12-02,0.002948003538338165
2019-12-03,0.005230516568478283
2019-12-04,0.007131092060913483
2019-12-05,0.008169284087408246
2019-12-06,-0.0002142545885092475
2019-12-09,-0.004160103445634518
2019-12-10,-0.0007450353552291474
2019-12-11,-0.0006810723841208881
2019-12-12,0.0006347456136652402
2019-12-13,0.012164119178227756
2019-12-16,0.01350071520336334
2019-12-17,0.012754441500088125
2019-12-18,-0.001104205704140086
2019-12-19,-2.2255807747099563e-05
2019-12-20,-0.002388990480370889
2019-12-23,-0.015011310649138668
2019-12-24,0.009938838488704175
2019-12-25,0.006346448749055359
2019-12-26,0.004825401935190765
2019-12-27,-0.0035415410163278276
2019-12-30,0.013426545306998494
2019-12-31,0.0024789677437520767
2020-01-02,0.0012553441879337155
2020-01-03,0.0071613703066567185
2020-01-06,0.008619669428182966
2020-01-07,0.0015624867452490587
2020-01-08,0.009596736868566916
2020-01-09,-0.008898526339449209
2020-01-10,0.006927723612641415
2020-01-13,0.00334055568317404
2020-01-14,-0.008484241131011427
2020-01-15,0.00046965305856883077
2020-01-16,-0.0018747597361235728
2020-01-17,0.004273554587336433
2020-01-20,0.002339092604796811
2020-01-21,-0.008366689671037486
2020-01-22,0.0006407406040462855
2020-01-23,-0.016891558334175695
2020-02-03,-0.05038839283823115
2020-02-04,0.008180684651316383
2020-02-05,0.0010139653886377387
2020-02-06,0.00515771119147812
2020-02-07,-0.0009971865728168878
2020-02-10,0.006184270645613887
2020-02-11,0.012975759929424308
2020-02-12,0.0037772522157245945
2020-02-13,-0.0018904110309850468
2020-02-14,0.012515873848359319
2020-02-17,0.01663363506544835
2020-02-18,-0.008162582367057136
2020-02-19,-0.0005236241086218714
2020-02-20,0.021412313244293674
2020-02-21,-0.0012940005624391497
2020-02-24,-0.012228589835088528
2020-02-25,-0.002340771769102116
2020-02-26,-0.01218741505843975
2020-02-27,0.005386021260384528
2020-02-28,-0.03372621947918356
2020-03-02,0.03309900431498658
2020-03-03,0.0034238819695229976
2020-03-04,0.016086626551742828
2020-03-05,0.02723736592140728
2020-03-06,-0.019654039887532705
2020-03-09,-0.03378516499117597
2020-03-10,0.021177130180445015
2020-03-11,-0.008896116854545128
2020-03-12,-0.012723772987650631
2020-03-13,-0.011371561603747119
2020-03-16,-0.033647365201017555
2020-03-17,-0.012043899666440186
2020-03-18,-0.026729655826294493
2020-03-19,-0.026436587581005495
2020-03-20,0.027542517599590845
2020-03-23,-0.03331211939702501
2020-03-24,0.030307697684355702
2020-03-25,0.03110870741318246
2020-03-26,-0.0015479688092375028
2020-03-27,0.011833699572759296
2020-03-30,-0.010248337968674193
2020-03-31,-0.0015751679831779901
2020-04-01,-0.0022641870141798153
2020-04-02,0.009030151937500674
2020-04-03,-0.0008763462023898916
2020-04-07,0.013979095684435151
2020-04-08,-0.0028979928486767186
2020-04-09,-0.0007852375343541477
2020-04-10,0.005144703167152135
2020-04-13,-0.0033333317365461523
2020-04-14,0.009241864718540197
2020-04-15,-0.005411212591857173
2020-04-16,-0.001771829351857675
2020-04-17,0.010199771367340441
2020-04-20,0.0023440967146888627
2020-04-21,-0.012665796226673999
2020-04-22,-0.0017639838587588663
2020-04-23,0.005211612939361528
2020-04-24,-0.005687778242632963
2020-04-27,0.010525862285055402
2020-04-28,0.003864769326309562
2020-04-29,0.008252652156472898
2020-04-30,0.011820408894926155
2020-05-06,-0.0011703180053919127
2020-05-07,-0.004043586382767657
2020-05-08,0.012039721413875546
2020-05-11,0.0020336316268315295
2020-05-12,-0.004877316143355107
