,v7,rev_40d_mo
2019-01-04,0.0,-0.0005
2019-01-11,0.0,0.0170651794868472
2019-01-18,0.0,0.018884912806252
2019-01-25,0.0,0.0025296100230442005
2019-02-01,0.0,0.012150012733107798
2019-02-15,0.0,0.0364522255429213
2019-02-22,0.0,0.0426742287220487
2019-03-01,0.0,0.0636623822648805
2019-03-08,0.0,-0.0014337352204554996
2019-03-15,0.0,0.0285964867901632
2019-03-22,0.0,0.014601480086108
2019-03-29,0.0,-0.0036321658901153006
2019-04-12,0.0007194244604316,-0.0061314407512755
2019-04-19,-0.0132997843278219,0.009013584878486
2019-04-26,0.0032786885245899,-0.0289229606858754
2019-05-10,0.0112481857764878,-0.0264647189213201
2019-05-17,0.0172228202368136,-0.000916552048492841
2019-05-24,0.0003527336860669,-0.006314267060983002
2019-05-31,0.0066995768688293,0.0162071059172381
2019-06-14,0.0200816882232808,0.0193639497178496
2019-06-21,0.0210210210210213,0.054024546914232294
2019-06-28,0.0094771241830065,0.00031290375633850117
2019-07-05,0.0036335221007114,0.0343447455317375
2019-07-12,-0.0117872176474902,-0.0255480504774111
2019-07-19,0.0026329919424131,0.009226143367320501
2019-07-26,-0.0006645407973235,0.009960158653866501
2019-08-02,-0.0181401369571149,-0.0365135157659462
2019-08-09,0.0341071880937302,-0.0269270868089933
2019-08-16,0.0100907370806373,0.0209060964206786
2019-08-23,0.028908829090206,0.031438590752789895
2019-08-30,0.0194104926258635,-0.0189943134328613
2019-09-06,0.013991105132103,0.0522873562866234
2019-09-20,-0.0029646256956047,-0.0248601924213674
2019-09-27,-0.0389152578429459,-0.0154593256636823
2019-10-11,0.0090216317425035,0.036724266271425
2019-10-18,-0.0089206332639146,-0.014167677324256098
2019-10-25,0.0034654047480073,0.0129611457750387
2019-11-01,0.0140622475136193,0.010329406451859398
2019-11-08,0.00366528076375,0.0031876929493926
2019-11-15,0.0092965727622032,-0.018410624176334205
2019-11-22,-0.0198600097619661,0.0005151382311208014
2019-11-29,-0.0070516980403737,0.003024817203650001
2019-12-06,0.0674927887202563,0.0488100343610032
2019-12-13,0.0221743233601462,0.0350393869337567
2019-12-20,0.0085633075477237,0.0102938886401376
2019-12-27,-0.0054685288131193,0.0062114982717547005
2020-01-03,0.0400610558510769,0.018987181369171303
2020-01-10,0.0133421524309557,0.0032686166790733997
2020-01-17,0.0185411336130389,-0.0019419042047224
2020-02-07,0.0025194497921218,-0.0007042913464717039
2020-02-14,0.0270459576722214,0.0060590724404277
2020-02-21,0.1055986882292516,0.0233260674248603
2020-02-28,-0.0470895138864199,-0.0320456487175504
2020-03-06,0.0169856136920558,0.06019283887012669
2020-03-13,-0.0148057038835905,-0.0455994862566737
2020-03-20,-0.0456822054784694,-0.0713149906751666
2020-03-27,0.0459130311033851,0.0380566831307015
2020-04-03,-0.0050368700324916,0.015061743587172001
2020-04-10,0.0146926046882575,0.004637752368873697
2020-04-17,-0.0007734705865585,0.025738235534062414
2020-04-24,0.0025675321629768,-0.025490100098272402
2020-05-08,0.0141592830489578,0.035692932427244
2020-05-15,0.0136235237072444,0.009069722108403499
2020-05-22,-0.0178570839231804,-0.053418816203731304
2020-05-29,0.0056031683720415,-0.0212824201730938
2020-06-05,0.0162095784903713,0.0370830441319032
2020-06-12,0.0047630862216072,-0.0057650914033568
2020-06-19,0.0194040355427894,0.0435042097339774
2020-07-03,0.0188922204620036,0.1171885009228739
2020-07-10,0.0425757930813682,0.07530254876131
2020-07-17,-0.0431596270803099,-0.0176972282663191
2020-07-24,0.0081190595146226,0.034776921916933004
2020-07-31,0.0176660225275665,0.0111684457872364
2020-08-07,0.0232946068813377,0.0263160101964806
2020-08-14,-0.014980079962222,-0.0107015314209679
2020-08-21,-0.0036915558737399,0.0071076509219832
2020-08-28,0.0077504561689431,0.0039090063324253
2020-09-04,-0.0056386800760441,-0.015531202726536901
2020-09-11,-0.0102654903578322,-0.0391742040756608
2020-09-18,0.006650656035492,0.035065227171916666
2020-09-25,-0.0281508457054961,-0.0433556616747854
2020-10-09,0.0248315482832049,0.0302769077143314
2020-10-16,0.0107576132892097,0.028568067204172203
2020-10-23,-0.0271170466786129,-0.061767257291666
2020-10-30,0.0064563269493625,0.035357094956002796
2020-11-06,0.034506378700638,0.0392033937329685
2020-11-13,0.0101398020759245,-0.010492800246795301
2020-11-20,0.0130789048494891,0.0095488789301338
2020-11-27,-0.0012610738454716,-0.010570393004777398
2020-12-04,0.0001125625183643,0.0502269311954592
2020-12-11,-0.0105561020230417,-0.020074435105067602
2020-12-18,0.0190048013741256,0.0611859253516396
2020-12-25,0.0110366449899518,0.017025127574971505
2021-01-08,0.0412689050539278,0.002187451152499199
2021-01-15,-0.0382515853038092,0.015408284480727199
2021-01-22,0.0314802929902771,0.011776679675927
2021-01-29,-0.0540440324912485,-0.068818660488752
2021-02-05,0.0270605011914094,-0.027283965397581697
2021-02-19,-0.0077416571301513,0.032540281329771
2021-02-26,-0.0192925172517295,-0.015345361941258
2021-03-05,-0.0001824256181422,-0.0027047295632847993
2021-03-12,0.0107991180900515,-0.059168386960646205
2021-03-19,-0.005324169440912,0.00010187522385880256
2021-03-26,-0.0083903631661186,0.0233368262108385
2021-04-02,0.0065158152000932,0.027204960727362
2021-04-09,-0.0152233805944677,-0.0091349664789637
2021-04-16,-0.0076843910747107,-0.004260266859166197
2021-04-23,0.0211829279134596,0.0273569459477708
2021-04-30,0.0020602042301942,-0.008447192903852
2021-05-07,0.0109164386146945,-0.0242151345206455
2021-05-14,0.0071443563793342,0.030057826434785502
2021-05-21,-0.0162285659271567,0.0011965907768422997
2021-05-28,0.0315426914115309,0.0591330390157652
2021-06-04,0.0101080423095718,0.00015983675888899982
2021-06-11,0.0042076929703745,-0.010055377114452499
2021-06-18,0.0092967492829402,-0.0007024449976915988
2021-06-25,0.0114153794553523,0.0042057042885927
2021-07-02,-0.0137744198678798,0.00039393847522769913
2021-07-09,0.0437623916246375,0.0007280995312872011
2021-07-16,0.0168927150717427,-0.014056451547951201
2021-07-23,0.0498044181350758,-0.0240478272254075
2021-07-30,0.0010159913881078,-0.0844383098996427
2021-08-06,0.024876845310719,0.0248804842018055
2021-08-13,0.0171804095431857,0.042194315909610994
2021-08-20,-0.0255562886107624,-0.0495009272094814
2021-08-27,0.0702004705333479,0.021815952619206297
2021-09-03,0.0162189443854664,-0.006949373852822201
2021-09-10,0.0515360555993518,0.025670079638793298
2021-09-17,-0.0257320022595221,0.0030824897955884986
2021-09-24,-0.0187422719416618,0.009386585712918201
2021-10-08,0.0114169769753616,0.0108609385783298
2021-10-15,-0.0099300971762656,-0.010245279760565098
2021-10-22,0.0028747714553923,-0.0199828676586848
2021-10-29,0.0009157801493183,-0.014524142669646902
2021-11-05,0.0085518781095441,-0.008477318619479902
2021-11-12,0.0305380598177812,0.0203097412946282
2021-11-19,-0.0046427840356359,0.0204410871716061
2021-11-26,-0.0203266400599984,0.0214696296186476
2021-12-03,0.0077829302888499,0.0275685104806634
2021-12-10,-0.0011506440528197,-0.004167112930476001
2021-12-17,-0.0177366790544328,0.019373091661724802
2021-12-24,-0.0089989394991722,-0.0237356735745119
2021-12-31,0.0005729308627529,0.014845409617123401
2022-01-07,0.0048992948235655,-0.0436612505573511
2022-01-14,-0.0070569723268372,0.0026361863507984016
2022-01-21,0.0032842337183067,-0.0201632385607457
2022-01-28,-0.0151983647134098,-0.06580868698695759
2022-02-11,0.0103011177794739,-0.0489421668825101
2022-02-18,0.0240199026154395,0.0553667269191845
2022-02-25,0.009431912218691,0.054321040204136695
2022-03-04,0.0068630528751387,-0.027813338649712298
2022-03-11,0.0243663943861294,-0.015072056366644599
2022-03-18,-0.0212004703884127,-0.0002479932251155982
2022-03-25,0.0159761162104,-0.0014274851403313984
2022-04-01,-0.0152258064516132,0.021056493495662198
2022-04-08,-0.0005241090146751,-0.0245445194345229
2022-04-15,0.0243838489774512,-0.0285651519525955
2022-04-22,0.0020476068594827,-0.0468155291685124
2022-04-29,-0.0022988505747124,-0.009193664068260894
2022-05-06,-0.0048643113159243,-0.0117493696934376
2022-05-13,-0.0087471057370723,0.0310843741329165
2022-05-20,-0.0041526083571242,0.0135601443948413
2022-05-27,0.0114672921553298,-0.0227450607144044
2022-06-10,-0.0039021852237252,0.0219967403256597
2022-06-17,0.0020893183598849,0.009092284462715199
2022-06-24,-0.0114672921553297,-0.019118135118802598
2022-07-01,-0.0118639599261798,0.0014868358917651987
2022-07-08,-0.0290821771611526,0.0031789621242074998
2022-07-15,-0.0131904369332235,-0.0588809324634271
2022-07-22,0.0089111668059034,0.0331832546193141
2022-07-29,0.0234612199834387,0.0346002565417362
2022-08-05,0.0121359223300969,-0.004853714070577501
2022-08-12,0.0013322675193176,0.0142805955201354
2022-08-19,-0.0085151676423629,-0.00980182478062
2022-08-26,0.0096618357487923,0.0018220460255317995
2022-09-02,-0.0180754917597021,-0.0482310350561442
2022-09-09,0.0148890092041147,0.0299889240221151
2022-09-16,-0.0144038410242731,-0.0766788059184328
2022-09-23,0.0105548037889042,-0.005272786215523899
2022-09-30,0.0029459025174076,-0.0250943336536198
2022-10-14,0.008010680907877,0.0604116512609409
2022-10-21,-0.0100662251655629,0.019662052742463798
2022-10-28,0.0125769333690126,-0.0016527260740483996
2022-11-04,-0.003171247357294,0.0758633840104052
2022-11-11,0.0368504772004245,-0.0332520854895739
