id,strategy,gross_sharpe,gross_ret,net_sharpe_5bps,net_ret_5bps,vol_ann,maxdd,turnover_ann,n_days
r1_rev_1d,ls_top4_bot4_weekly,-0.5259204836818362,-0.13093302178666033,-0.8171889795194682,-0.20294829327987304,0.24834927827736095,-0.8260694533996442,144.03054298642533,1768
r1_rev_1d,ls_top4_bot4_monthly,-0.3688207936971405,-0.08672599069266969,-0.4414100989810071,-0.10379442960669687,0.23514285206955113,-0.761878382019644,34.136877828054295,1768
r1_rev_5d,ls_top4_bot4_weekly,-0.3735383862601656,-0.09670834773420976,-0.6454111648950742,-0.16712011244009214,0.25893588696635145,-0.768083233134728,140.8235294117647,1768
r1_rev_5d,ls_top4_bot4_monthly,-0.37109011036265666,-0.09303317263067838,-0.44215756491414715,-0.11077864774380054,0.25054111143684765,-0.7345118987068981,35.490950226244344,1768
r1_rev_20d,ls_top4_bot4_weekly,-0.3635189250271083,-0.09957672432256828,-0.5034556752719183,-0.13788271979768144,0.2738726099834121,-0.7388135647279919,76.61199095022624,1768
r1_rev_20d,ls_top4_bot4_monthly,-0.04101718296051655,-0.010781972367873116,-0.10999898647978036,-0.028919415806787172,0.2629062024321746,-0.5785041788173838,36.27488687782805,1768
r1_rev_40d,ls_top4_bot4_weekly,0.01332839251477311,0.00374528087202157,-0.09246106709275088,-0.025973044919833675,0.2809079079065702,-0.44442457982613126,59.43665158371041,1768
r1_rev_40d,ls_top4_bot4_monthly,0.041786623236015855,0.011300465756171073,-0.010260556976324855,-0.0027747604881728292,0.27042981142011047,-0.5090435197104732,28.150452488687783,1768
r1_rev_60d,ls_top4_bot4_weekly,-0.168046517233548,-0.04716031230684744,-0.25381612930784975,-0.07121291411680222,0.2805689075434176,-0.6130757614537305,48.1052036199095,1768
r1_rev_60d,ls_top4_bot4_monthly,-0.25356377632905996,-0.0674031707174028,-0.29691456362367796,-0.07891278610201823,0.2657760708633869,-0.6317376859999101,23.01923076923077,1768
r1_rev_80d,ls_top4_bot4_weekly,-0.18927598172185112,-0.05283701049348605,-0.2664199053023296,-0.07439526841203808,0.2792406533123543,-0.5894191758121663,43.116515837104075,1768
r1_rev_80d,ls_top4_bot4_monthly,-0.14705654963502918,-0.039175240828148675,-0.1862364463206485,-0.04961585168787719,0.2664132218376428,-0.6133207407881318,20.881221719457013,1768
r1_dd60_raw,ls_top4_bot4_weekly,-0.3902438074023648,-0.09824239675597539,-0.5215431029389153,-0.1313102700591428,0.2517726134603342,-0.6945301945898565,66.13574660633485,1768
r1_dd60_raw,ls_top4_bot4_monthly,-0.25917049574537876,-0.06158514486262711,-0.31762571954736724,-0.07548220368615655,0.2376451245627165,-0.5751713332287098,27.794117647058822,1768
r1_dd60_recover,ls_top4_bot4_weekly,-0.057907726336789575,-0.011086652302258866,-0.3724235854133432,-0.07141414099004173,0.19175515135750879,-0.614743505928607,120.65497737556561,1768
r1_dd60_recover,ls_top4_bot4_monthly,-0.21141641975090608,-0.040050678624328526,-0.2924464538933353,-0.05540871029853671,0.18946617256212675,-0.5258356762909546,30.71606334841629,1768
