reversal_id,reversal_strategy,blend_weight,v7_sharpe,reversal_sharpe,combined_sharpe,delta_vs_v7,corr_weekly,n_weeks
r1_rev_40d,longonly_top3_monthly,0.1,3.732713688389204,1.1922913536165725,3.716186881583533,-0.01652680680567098,0.2715207883293975,349
r1_rev_40d,longonly_top3_monthly,0.15,3.732713688389204,1.1922913536165725,3.6705748692632416,-0.0621388191259622,0.2715207883293975,349
r1_rev_40d,longonly_top3_monthly,0.2,3.732713688389204,1.1922913536165725,3.597856054280975,-0.13485763410822882,0.2715207883293975,349
r1_rev_40d,longonly_top3_monthly,0.3,3.732713688389204,1.1922913536165725,3.3741150646430467,-0.35859862374615714,0.2715207883293975,349
r1_rev_40d,longonly_top3_monthly,0.5,3.732713688389204,1.1922913536165725,2.7143933766737707,-1.0183203117154331,0.2715207883293975,349
r1_rev_80d,longonly_top3_monthly,0.1,3.732713688389204,1.3281995279506182,3.7177129785329397,-0.015000709856264116,0.3033248045747107,349
r1_rev_80d,longonly_top3_monthly,0.15,3.732713688389204,1.3281995279506182,3.671713588238846,-0.06100010015035773,0.3033248045747107,349
r1_rev_80d,longonly_top3_monthly,0.2,3.732713688389204,1.3281995279506182,3.5987324027225407,-0.13398128566666312,0.3033248045747107,349
r1_rev_80d,longonly_top3_monthly,0.3,3.732713688389204,1.3281995279506182,3.3778521411724873,-0.3548615472167165,0.3033248045747107,349
r1_rev_80d,longonly_top3_monthly,0.5,3.732713688389204,1.3281995279506182,2.7471551931868747,-0.9855584952023291,0.3033248045747107,349
r1_rev_60d,longonly_top3_weekly,0.1,3.732713688389204,0.9061660641720867,3.685542130302855,-0.047171558086348764,0.24134881678187983,349
r1_rev_60d,longonly_top3_weekly,0.15,3.732713688389204,0.9061660641720867,3.621438367990648,-0.1112753203985557,0.24134881678187983,349
r1_rev_60d,longonly_top3_weekly,0.2,3.732713688389204,0.9061660641720867,3.5281803486524557,-0.20453333973674814,0.24134881678187983,349
r1_rev_60d,longonly_top3_weekly,0.3,3.732713688389204,0.9061660641720867,3.2589512688072713,-0.47376241958193255,0.24134881678187983,349
r1_rev_60d,longonly_top3_weekly,0.5,3.732713688389204,0.9061660641720867,2.511615506093065,-1.2210981822961386,0.24134881678187983,349
