id,strategy,gross_sharpe,gross_ret,net_sharpe_5bps,net_ret_5bps,vol_ann,maxdd,turnover_ann,n_days
r1_rev_1d,longonly_top3_weekly,0.38393369322780047,0.09751617068593733,0.22419604195016726,0.05691775439634455,0.2538749297322378,-0.6130851330486076,81.19683257918551,1768
r1_rev_1d,longonly_top3_monthly,0.2974963841110191,0.07651901625245364,0.2604582612224092,0.06699299815290609,0.25721203020586764,-0.6928627209752314,19.05203619909502,1768
r1_rev_5d,longonly_top3_weekly,0.3152982181086382,0.07753124751965328,0.15108297873678833,0.037170387791146495,0.24602631019013393,-0.6125518688106264,80.72171945701356,1768
r1_rev_5d,longonly_top3_monthly,0.3123041053490431,0.08018799888670042,0.2733017742301975,0.07018686766498096,0.2568108745824084,-0.5895230292607481,20.002262443438912,1768
r1_rev_20d,longonly_top3_weekly,0.48242399169206335,0.11773047167947942,0.38398573655352297,0.09371350335368758,0.24405464691166998,-0.4627586414522482,48.03393665158371,1768
r1_rev_20d,longonly_top3_monthly,0.6008724007257894,0.15095837413359628,0.5592385649827378,0.1405296411019221,0.2512874646015513,-0.4473524408212829,20.857466063348415,1768
r1_rev_40d,longonly_top3_weekly,0.7982971377846637,0.1946720061246143,0.7200786120491955,0.1755962142694107,0.24385700579232591,-0.363111429481368,38.15158371040724,1768
r1_rev_40d,longonly_top3_monthly,0.8103180666969393,0.1936305412123181,0.7742206132974657,0.18505474935711444,0.23902069536608161,-0.42353280752429934,17.15158371040724,1768
r1_rev_60d,longonly_top3_weekly,0.6193639859825045,0.14757394423226586,0.5557985112237599,0.13244159129108937,0.23829065500639582,-0.3677016921755265,30.26470588235294,1768
r1_rev_60d,longonly_top3_monthly,0.5582699920004744,0.1340634683608028,0.5294013352739785,0.12715057243320096,0.24017803500136123,-0.44151902234850815,13.82579185520362,1768
r1_rev_80d,longonly_top3_weekly,0.6724862103607561,0.1606864322935117,0.6121301806788637,0.1462667490355931,0.23894712865387652,-0.31540106972218973,28.839366515837103,1768
r1_rev_80d,longonly_top3_monthly,0.7834485879619539,0.1879732463929578,0.7566534436686927,0.18153546358752795,0.2399189022484841,-0.44159359857243263,12.875565610859725,1768
r1_dd60_raw,longonly_top3_weekly,0.4488216815692907,0.12164648839144274,0.3920506833934842,0.10627657888918025,0.2710786727095565,-0.43862418044366436,30.739819004524882,1768
r1_dd60_raw,longonly_top3_monthly,0.4164690923611519,0.11155844341227578,0.3910630043529873,0.10478808142132554,0.267957030593311,-0.5824163043655324,13.540723981900452,1768
r1_dd60_recover,longonly_top3_weekly,0.5073486030627031,0.12289688113603042,0.354029447832681,0.08586181326272724,0.24252732022254453,-0.584698560921113,74.07013574660633,1768
r1_dd60_recover,longonly_top3_monthly,0.37950339302476005,0.09416953368610206,0.3408024872895757,0.08459600427433736,0.24822590042442141,-0.5932841516839078,19.14705882352941,1768
