id,strategy,year,sharpe_net_5bps,n_days
r1_rev_20d,longonly_top3_weekly,2026,0.2793255448681705,71
r1_rev_20d,longonly_top3_monthly,2019,2.3723787966479053,242
r1_rev_20d,longonly_top3_monthly,2020,1.709046052523896,243
r1_rev_20d,longonly_top3_monthly,2021,0.023956642784486205,243
r1_rev_20d,longonly_top3_monthly,2022,0.022826890318509464,242
r1_rev_20d,longonly_top3_monthly,2023,-0.6401325002772624,242
r1_rev_20d,longonly_top3_monthly,2024,0.0742450263057288,242
r1_rev_20d,longonly_top3_monthly,2025,1.1798481976136466,243
r1_rev_20d,longonly_top3_monthly,2026,-0.2215515156670722,71
r1_rev_40d,ls_top4_bot4_weekly,2019,-0.10197900994630484,242
r1_rev_40d,ls_top4_bot4_weekly,2020,-0.5652435616858648,243
r1_rev_40d,ls_top4_bot4_weekly,2021,0.13375413683782875,243
r1_rev_40d,ls_top4_bot4_weekly,2022,0.42909089880501267,242
r1_rev_40d,ls_top4_bot4_weekly,2023,-0.21726207989650675,242
r1_rev_40d,ls_top4_bot4_weekly,2024,0.3859341954392028,242
r1_rev_40d,ls_top4_bot4_weekly,2025,-0.6688491003049745,243
r1_rev_40d,ls_top4_bot4_weekly,2026,-0.735905771285997,71
r1_rev_40d,ls_top4_bot4_monthly,2019,1.302751362974751,242
r1_rev_40d,ls_top4_bot4_monthly,2020,-0.543615297475846,243
r1_rev_40d,ls_top4_bot4_monthly,2021,-0.03218842239205738,243
r1_rev_40d,ls_top4_bot4_monthly,2022,0.5996826071082457,242
r1_rev_40d,ls_top4_bot4_monthly,2023,-0.8767406946534501,242
r1_rev_40d,ls_top4_bot4_monthly,2024,0.9118305308366682,242
r1_rev_40d,ls_top4_bot4_monthly,2025,-0.528699426514792,243
r1_rev_40d,ls_top4_bot4_monthly,2026,0.17001727131359526,71
r1_rev_40d,longonly_top3_weekly,2019,1.7926866395364824,242
r1_rev_40d,longonly_top3_weekly,2020,1.2987636331186796,243
r1_rev_40d,longonly_top3_weekly,2021,0.13602559365062936,243
r1_rev_40d,longonly_top3_weekly,2022,0.28949335381715907,242
r1_rev_40d,longonly_top3_weekly,2023,-0.02797567959117504,242
r1_rev_40d,longonly_top3_weekly,2024,0.903809980268278,242
r1_rev_40d,longonly_top3_weekly,2025,0.8472095218540514,243
r1_rev_40d,longonly_top3_weekly,2026,1.4430324903893974,71
r1_rev_40d,longonly_top3_monthly,2019,2.6059255759296915,242
r1_rev_40d,longonly_top3_monthly,2020,2.0632627054973183,243
r1_rev_40d,longonly_top3_monthly,2021,0.2527287943007684,243
r1_rev_40d,longonly_top3_monthly,2022,-0.4430035956884314,242
r1_rev_40d,longonly_top3_monthly,2023,-0.5845014460993432,242
r1_rev_40d,longonly_top3_monthly,2024,1.0661487341084637,242
r1_rev_40d,longonly_top3_monthly,2025,0.9869941772234146,243
r1_rev_40d,longonly_top3_monthly,2026,0.6455603238618958,71
r1_rev_60d,ls_top4_bot4_weekly,2019,-0.03958085462936231,242
r1_rev_60d,ls_top4_bot4_weekly,2020,-0.561374949888623,243
r1_rev_60d,ls_top4_bot4_weekly,2021,0.16181581393772912,243
r1_rev_60d,ls_top4_bot4_weekly,2022,0.2557047315409225,242
r1_rev_60d,ls_top4_bot4_weekly,2023,-0.5278208809111367,242
r1_rev_60d,ls_top4_bot4_weekly,2024,-0.09506562003685727,242
r1_rev_60d,ls_top4_bot4_weekly,2025,-1.343223634222711,243
r1_rev_60d,ls_top4_bot4_weekly,2026,0.7901124014542874,71
r1_rev_60d,ls_top4_bot4_monthly,2019,-0.01009367875075313,242
r1_rev_60d,ls_top4_bot4_monthly,2020,-0.49409998267506,243
r1_rev_60d,ls_top4_bot4_monthly,2021,-0.06695124598272202,243
r1_rev_60d,ls_top4_bot4_monthly,2022,0.7532325512440997,242
r1_rev_60d,ls_top4_bot4_monthly,2023,-1.2487999744920473,242
r1_rev_60d,ls_top4_bot4_monthly,2024,-0.24969708415302813,242
r1_rev_60d,ls_top4_bot4_monthly,2025,-0.8133782198304038,243
r1_rev_60d,ls_top4_bot4_monthly,2026,0.34050013569369314,71
r1_rev_60d,longonly_top3_weekly,2019,1.7927654127264145,242
r1_rev_60d,longonly_top3_weekly,2020,1.006859287343894,243
r1_rev_60d,longonly_top3_weekly,2021,0.3260754202649876,243
r1_rev_60d,longonly_top3_weekly,2022,-0.3486298695179118,242
r1_rev_60d,longonly_top3_weekly,2023,-0.07309819485296992,242
r1_rev_60d,longonly_top3_weekly,2024,0.780738995858409,242
r1_rev_60d,longonly_top3_weekly,2025,0.7248891769404696,243
r1_rev_60d,longonly_top3_weekly,2026,1.6125191060233788,71
r1_rev_60d,longonly_top3_monthly,2019,1.7438318449171453,242
r1_rev_60d,longonly_top3_monthly,2020,1.4135392379930158,243
r1_rev_60d,longonly_top3_monthly,2021,0.6282764184885138,243
r1_rev_60d,longonly_top3_monthly,2022,-0.007887474770164462,242
r1_rev_60d,longonly_top3_monthly,2023,-0.7747379618127149,242
r1_rev_60d,longonly_top3_monthly,2024,-0.14787401989834068,242
r1_rev_60d,longonly_top3_monthly,2025,1.300569243707202,243
r1_rev_60d,longonly_top3_monthly,2026,1.7278948932803722,71
r1_rev_80d,ls_top4_bot4_weekly,2019,-0.33153122997417334,242
r1_rev_80d,ls_top4_bot4_weekly,2020,-0.11913307533325118,243
r1_rev_80d,ls_top4_bot4_weekly,2021,0.0858474257766908,243
r1_rev_80d,ls_top4_bot4_weekly,2022,0.5306660473639752,242
r1_rev_80d,ls_top4_bot4_weekly,2023,-0.33716399527396773,242
r1_rev_80d,ls_top4_bot4_weekly,2024,0.02022929949711527,242
r1_rev_80d,ls_top4_bot4_weekly,2025,-1.4264715274240936,243
r1_rev_80d,ls_top4_bot4_weekly,2026,-1.4073343356056507,71
r1_rev_80d,ls_top4_bot4_monthly,2019,0.4923057263385241,242
r1_rev_80d,ls_top4_bot4_monthly,2020,-0.09532699638415504,243
r1_rev_80d,ls_top4_bot4_monthly,2021,0.08075686617602362,243
r1_rev_80d,ls_top4_bot4_monthly,2022,1.4089493045337405,242
r1_rev_80d,ls_top4_bot4_monthly,2023,-0.6222279833772638,242
r1_rev_80d,ls_top4_bot4_monthly,2024,-0.3160199034562588,242
r1_rev_80d,ls_top4_bot4_monthly,2025,-1.0706001675473493,243
r1_rev_80d,ls_top4_bot4_monthly,2026,-1.7137024600183681,71
r1_rev_80d,longonly_top3_weekly,2019,1.5722195118793132,242
r1_rev_80d,longonly_top3_weekly,2020,1.621343691849493,243
r1_rev_80d,longonly_top3_weekly,2021,0.3254176963567607,243
r1_rev_80d,longonly_top3_weekly,2022,0.05412171809484886,242
r1_rev_80d,longonly_top3_weekly,2023,-0.1137907108945703,242
r1_rev_80d,longonly_top3_weekly,2024,0.5031141659871347,242
r1_rev_80d,longonly_top3_weekly,2025,1.277240567754836,243
r1_rev_80d,longonly_top3_weekly,2026,-0.07932189032623906,71
r1_rev_80d,longonly_top3_monthly,2019,2.0352000766317624,242
r1_rev_80d,longonly_top3_monthly,2020,2.0832001339728086,243
r1_rev_80d,longonly_top3_monthly,2021,0.9044867648600454,243
r1_rev_80d,longonly_top3_monthly,2022,0.478643113262546,242
r1_rev_80d,longonly_top3_monthly,2023,-0.7053789498939627,242
r1_rev_80d,longonly_top3_monthly,2024,-0.060318754894239573,242
r1_rev_80d,longonly_top3_monthly,2025,1.4790941997739377,243
r1_rev_80d,longonly_top3_monthly,2026,0.507663842380532,71
r1_dd60_raw,ls_top4_bot4_weekly,2019,-0.7402660596780954,242
r1_dd60_raw,ls_top4_bot4_weekly,2020,-1.7326887767990495,243
r1_dd60_raw,ls_top4_bot4_weekly,2021,-0.38572340481045897,243
r1_dd60_raw,ls_top4_bot4_weekly,2022,-0.05022978128700804,242
r1_dd60_raw,ls_top4_bot4_weekly,2023,-0.7716672665647093,242
r1_dd60_raw,ls_top4_bot4_weekly,2024,0.2111613575222245,242
r1_dd60_raw,ls_top4_bot4_weekly,2025,-0.5529855919635237,243
r1_dd60_raw,ls_top4_bot4_weekly,2026,-0.9509288837278301,71
r1_dd60_raw,ls_top4_bot4_monthly,2019,1.1368567640470264,242
r1_dd60_raw,ls_top4_bot4_monthly,2020,-0.18543993507536638,243
r1_dd60_raw,ls_top4_bot4_monthly,2021,-0.38907706251987745,243
r1_dd60_raw,ls_top4_bot4_monthly,2022,-0.5215274866684595,242
r1_dd60_raw,ls_top4_bot4_monthly,2023,-0.5133837556420742,242
r1_dd60_raw,ls_top4_bot4_monthly,2024,0.39363566098975894,242
r1_dd60_raw,ls_top4_bot4_monthly,2025,-0.7295759605969114,243
r1_dd60_raw,ls_top4_bot4_monthly,2026,-1.7463583007740322,71
r1_dd60_raw,longonly_top3_weekly,2019,0.8644642107101607,242
r1_dd60_raw,longonly_top3_weekly,2020,0.7492780519279065,243
r1_dd60_raw,longonly_top3_weekly,2021,0.2743771345364586,243
r1_dd60_raw,longonly_top3_weekly,2022,0.012414798683524703,242
r1_dd60_raw,longonly_top3_weekly,2023,-0.6748628883616694,242
r1_dd60_raw,longonly_top3_weekly,2024,0.685550312294602,242
r1_dd60_raw,longonly_top3_weekly,2025,0.8910512793658281,243
r1_dd60_raw,longonly_top3_weekly,2026,0.4497960771484816,71
r1_dd60_raw,longonly_top3_monthly,2019,1.6693525999109444,242
r1_dd60_raw,longonly_top3_monthly,2020,1.2211414494079458,243
r1_dd60_raw,longonly_top3_monthly,2021,0.48453209295792943,243
r1_dd60_raw,longonly_top3_monthly,2022,-0.7418737895618299,242
r1_dd60_raw,longonly_top3_monthly,2023,-1.062061562522354,242
r1_dd60_raw,longonly_top3_monthly,2024,0.3082592618649343,242
r1_dd60_raw,longonly_top3_monthly,2025,0.9936368803208874,243
r1_dd60_raw,longonly_top3_monthly,2026,0.8404953062486497,71
r1_dd60_recover,ls_top4_bot4_weekly,2019,1.3705544453030936,242
r1_dd60_recover,ls_top4_bot4_weekly,2020,-0.3365790315607572,243
r1_dd60_recover,ls_top4_bot4_weekly,2021,0.9992894282754056,243
r1_dd60_recover,ls_top4_bot4_weekly,2022,-0.6064707079632964,242
r1_dd60_recover,ls_top4_bot4_weekly,2023,-1.9780724994766659,242
r1_dd60_recover,ls_top4_bot4_weekly,2024,-0.7672259703499072,242
r1_dd60_recover,ls_top4_bot4_weekly,2025,-0.4695030797945242,243
r1_dd60_recover,ls_top4_bot4_weekly,2026,-0.6436760999396437,71
r1_dd60_recover,ls_top4_bot4_monthly,2019,0.4508386107675328,242
r1_dd60_recover,ls_top4_bot4_monthly,2020,0.07253726219383158,243
r1_dd60_recover,ls_top4_bot4_monthly,2021,-0.6259794261646159,243
r1_dd60_recover,ls_top4_bot4_monthly,2022,0.47472495333652087,242
r1_dd60_recover,ls_top4_bot4_monthly,2023,-1.8832080983813644,242
r1_dd60_recover,ls_top4_bot4_monthly,2024,0.26149205840402934,242
r1_dd60_recover,ls_top4_bot4_monthly,2025,-0.12596128174494306,243
r1_dd60_recover,ls_top4_bot4_monthly,2026,-1.1015743616529128,71
r1_dd60_recover,longonly_top3_weekly,2019,1.7857977405919065,242
r1_dd60_recover,longonly_top3_weekly,2020,1.3560898506518515,243
r1_dd60_recover,longonly_top3_weekly,2021,1.569639102757887,243
r1_dd60_recover,longonly_top3_weekly,2022,-1.3142607918469837,242
r1_dd60_recover,longonly_top3_weekly,2023,-0.8893054432191989,242
r1_dd60_recover,longonly_top3_weekly,2024,0.3231693411144596,242
r1_dd60_recover,longonly_top3_weekly,2025,-0.036581564489326555,243
r1_dd60_recover,longonly_top3_weekly,2026,0.38630705363968854,71
r1_dd60_recover,longonly_top3_monthly,2019,1.749991389656529,242
r1_dd60_recover,longonly_top3_monthly,2020,1.066007364612601,243
r1_dd60_recover,longonly_top3_monthly,2021,0.7611579474592128,243
r1_dd60_recover,longonly_top3_monthly,2022,-0.8414293214834065,242
r1_dd60_recover,longonly_top3_monthly,2023,-1.2620505718331916,242
r1_dd60_recover,longonly_top3_monthly,2024,0.526602821806997,242
r1_dd60_recover,longonly_top3_monthly,2025,0.9263464161085224,243
r1_dd60_recover,longonly_top3_monthly,2026,-0.23510174516105417,71
