,pnl_net_5bps
2019-01-04,-0.0005
2019-01-07,0.006474826392632711
2019-01-08,-0.005814018474984084
2019-01-09,0.010300444221745806
2019-01-10,-0.006197399571614359
2019-01-11,0.00563066172162352
2019-01-14,-0.013417071278079782
2019-01-15,0.017890783807396355
2019-01-16,0.00866289415880191
2019-01-17,-0.006025017268729023
2019-01-18,0.01906144611136325
2019-01-21,1.9617170635218505e-05
2019-01-22,-0.010908105937191085
2019-01-23,0.0002833801393144302
2019-01-24,0.005928358357123538
2019-01-25,0.0068629753651212235
2019-01-28,-0.005146821667652865
2019-01-29,-0.002495326304850054
2019-01-30,-0.005692860080601953
2019-01-31,0.0069956008727000505
2019-02-01,0.023855041004355794
2019-02-11,0.017975479933449723
2019-02-12,0.012612855488447334
2019-02-13,0.02203979799249178
2019-02-14,0.0004891273857105342
2019-02-15,-0.02014496726431862
2019-02-18,0.028309979431602923
2019-02-19,0.0011979809113893034
2019-02-20,-0.0023342149014764133
2019-02-21,-0.010574518313574772
2019-02-22,0.015116986431610266
2019-02-25,0.03718316836062241
2019-02-26,-0.004140735049619056
2019-02-27,-0.0021037567724680644
2019-02-28,0.005344853536908723
2019-03-01,0.00200374080600485
2019-03-04,0.0023929904306865995
2019-03-05,-0.0023008966956272374
2019-03-06,0.0208664207463359
2019-03-07,0.009845277308726974
2019-03-08,-0.037091796467673466
2019-03-11,0.012252388134741091
2019-03-12,0.009568482932304093
2019-03-13,0.002998758618626713
2019-03-14,-0.01768534325603795
2019-03-15,0.017115079230099396
2019-03-18,0.020300664645030626
2019-03-19,-0.0017317469803767027
2019-03-20,0.0014471508965056366
2019-03-21,0.003958353366228332
2019-03-22,-0.003383667555181121
2019-03-25,-0.01808610125659656
2019-03-26,-0.012176087668690863
2019-03-27,0.004533375949509422
2019-03-28,-0.005587194191155867
2019-03-29,0.03460254175443389
2019-04-01,0.008938715138114877
2019-04-02,-0.0009119899702806726
2019-04-03,0.020587882536972302
2019-04-04,0.006127739533534997
2019-04-08,-0.0037494074301385183
2019-04-09,-0.0031658634996975703
2019-04-10,-0.005676651923577211
2019-04-11,-0.008896294458296167
2019-04-12,-0.0010462591344208383
2019-04-15,-0.010152229385478032
2019-04-16,0.013672956323776407
2019-04-17,-0.0036341912856060476
2019-04-18,-0.0019103447118105077
2019-04-19,0.004886846178961218
2019-04-22,-0.017774028009034232
2019-04-23,0.00040245643391841534
2019-04-24,0.0013760570326850998
2019-04-25,-0.016827638909248654
2019-04-26,-0.0026221064594142605
2019-04-29,-0.026824808980536886
2019-04-30,0.007405732202372542
2019-05-06,-0.08004777592622592
2019-05-07,0.013582290434974942
2019-05-08,-0.001644662056752288
2019-05-09,-0.012351696923926939
2019-05-10,0.042490846220685
2019-05-13,-0.012156822514298466
2019-05-14,-0.007522894935060938
2019-05-15,0.013816091970448566
2019-05-16,0.007471680337458967
2019-05-17,-0.0341142931890576
2019-05-20,0.005124884961751822
2019-05-21,0.013250394614403952
2019-05-22,-0.0062361417233363445
2019-05-23,-0.007501984183165463
2019-05-24,-0.010951420730637002
