id,strategy,cost_bps,net_sharpe,net_ret
r1_rev_1d,ls_top4_bot4_weekly,0,-0.5259204836818362,-0.13093302178666033
r1_rev_1d,ls_top4_bot4_weekly,5,-0.8171889795194682,-0.20294829327987304
r1_rev_1d,ls_top4_bot4_weekly,10,-1.1080831513202893,-0.27496356477308576
r1_rev_1d,ls_top4_bot4_weekly,15,-1.3971745829246307,-0.3469788362662984
r1_rev_1d,ls_top4_bot4_monthly,0,-0.3688207936971405,-0.08672599069266969
r1_rev_1d,ls_top4_bot4_monthly,5,-0.4414100989810071,-0.10379442960669687
r1_rev_1d,ls_top4_bot4_monthly,10,-0.5137582194128181,-0.12086286852072403
r1_rev_1d,ls_top4_bot4_monthly,15,-0.5857638327149125,-0.13793130743475118
r1_rev_1d,longonly_top3_weekly,0,0.38393369322780047,0.09751617068593733
r1_rev_1d,longonly_top3_weekly,5,0.22419604195016726,0.05691775439634455
r1_rev_1d,longonly_top3_weekly,10,0.06428131986417865,0.016319338106751794
r1_rev_1d,longonly_top3_weekly,15,-0.09559121013504539,-0.024279078182840957
r1_rev_1d,longonly_top3_monthly,0,0.2974963841110191,0.07651901625245364
r1_rev_1d,longonly_top3_monthly,5,0.2604582612224092,0.06699299815290609
r1_rev_1d,longonly_top3_monthly,10,0.22339482787209008,0.0574669800533586
r1_rev_1d,longonly_top3_monthly,15,0.1863189995789546,0.04794096195381109
r1_rev_5d,ls_top4_bot4_weekly,0,-0.3735383862601656,-0.09670834773420976
r1_rev_5d,ls_top4_bot4_weekly,5,-0.6454111648950742,-0.16712011244009214
r1_rev_5d,ls_top4_bot4_weekly,10,-0.9158784522084197,-0.23753187714597457
r1_rev_5d,ls_top4_bot4_weekly,15,-1.1837855897253597,-0.3079436418518569
r1_rev_5d,ls_top4_bot4_monthly,0,-0.37109011036265666,-0.09303317263067838
r1_rev_5d,ls_top4_bot4_monthly,5,-0.44215756491414715,-0.11077864774380054
r1_rev_5d,ls_top4_bot4_monthly,10,-0.5130866145526944,-0.12852412285692272
r1_rev_5d,ls_top4_bot4_monthly,15,-0.5837817257584996,-0.1462695979700449
r1_rev_5d,longonly_top3_weekly,0,0.3152982181086382,0.07753124751965328
r1_rev_5d,longonly_top3_weekly,5,0.15108297873678833,0.037170387791146495
r1_rev_5d,longonly_top3_weekly,10,-0.012955002944477012,-0.0031904719373602774
r1_rev_5d,longonly_top3_weekly,15,-0.17657932948367636,-0.04355133166586708
r1_rev_5d,longonly_top3_monthly,0,0.3123041053490431,0.08018799888670042
r1_rev_5d,longonly_top3_monthly,5,0.2733017742301975,0.07018686766498096
r1_rev_5d,longonly_top3_monthly,10,0.23428418241569732,0.060185736443261494
r1_rev_5d,longonly_top3_monthly,15,0.19526631592812502,0.05018460522154205
r1_rev_20d,ls_top4_bot4_weekly,0,-0.3635189250271083,-0.09957672432256828
r1_rev_20d,ls_top4_bot4_weekly,5,-0.5034556752719183,-0.13788271979768144
r1_rev_20d,ls_top4_bot4_weekly,10,-0.643167235828452,-0.1761887152727946
r1_rev_20d,ls_top4_bot4_weekly,15,-0.7824729333191768,-0.21449471074790777
r1_rev_20d,ls_top4_bot4_monthly,0,-0.04101718296051655,-0.010781972367873116
r1_rev_20d,ls_top4_bot4_monthly,5,-0.10999898647978036,-0.028919415806787172
r1_rev_20d,ls_top4_bot4_monthly,10,-0.17888379005927102,-0.04705685924570121
r1_rev_20d,ls_top4_bot4_monthly,15,-0.24758512020353265,-0.06519430268461529
r1_rev_20d,longonly_top3_weekly,0,0.48242399169206335,0.11773047167947942
r1_rev_20d,longonly_top3_weekly,5,0.38398573655352297,0.09371350335368758
r1_rev_20d,longonly_top3_weekly,10,0.2854958479389633,0.06969653502789575
r1_rev_20d,longonly_top3_weekly,15,0.18702050561154016,0.04567956670210384
r1_rev_20d,longonly_top3_monthly,0,0.6008724007257894,0.15095837413359628
r1_rev_20d,longonly_top3_monthly,5,0.5592385649827378,0.1405296411019221
r1_rev_20d,longonly_top3_monthly,10,0.5175503062543526,0.1301009080702479
r1_rev_20d,longonly_top3_monthly,15,0.4758253362110147,0.11967217503857368
r1_rev_40d,ls_top4_bot4_weekly,0,0.01332839251477311,0.00374528087202157
r1_rev_40d,ls_top4_bot4_weekly,5,-0.09246106709275088,-0.025973044919833675
r1_rev_40d,ls_top4_bot4_weekly,10,-0.19826633385919576,-0.05569137071168888
r1_rev_40d,ls_top4_bot4_weekly,15,-0.3040014270264056,-0.08540969650354412
r1_rev_40d,ls_top4_bot4_monthly,0,0.041786623236015855,0.011300465756171073
r1_rev_40d,ls_top4_bot4_monthly,5,-0.010260556976324855,-0.0027747604881728292
r1_rev_40d,ls_top4_bot4_monthly,10,-0.0622930958661258,-0.016849986732516725
r1_rev_40d,ls_top4_bot4_monthly,15,-0.1142716619045862,-0.030925212976860645
r1_rev_40d,longonly_top3_weekly,0,0.7982971377846637,0.1946720061246143
r1_rev_40d,longonly_top3_weekly,5,0.7200786120491955,0.1755962142694107
r1_rev_40d,longonly_top3_weekly,10,0.641754604882025,0.15652042241420705
r1_rev_40d,longonly_top3_weekly,15,0.5633633224411082,0.1374446305590034
r1_rev_40d,longonly_top3_monthly,0,0.8103180666969393,0.1936305412123181
r1_rev_40d,longonly_top3_monthly,5,0.7742206132974657,0.18505474935711444
r1_rev_40d,longonly_top3_monthly,10,0.738058224293079,0.17647895750191084
r1_rev_40d,longonly_top3_monthly,15,0.7018434659280999,0.16790316564670726
r1_rev_60d,ls_top4_bot4_weekly,0,-0.168046517233548,-0.04716031230684744
r1_rev_60d,ls_top4_bot4_weekly,5,-0.25381612930784975,-0.07121291411680222
r1_rev_60d,ls_top4_bot4_weekly,10,-0.33956476778512884,-0.09526551592675699
r1_rev_60d,ls_top4_bot4_weekly,15,-0.42524432664591444,-0.11931811773671176
r1_rev_60d,ls_top4_bot4_monthly,0,-0.25356377632905996,-0.0674031707174028
r1_rev_60d,ls_top4_bot4_monthly,5,-0.29691456362367796,-0.07891278610201823
r1_rev_60d,ls_top4_bot4_monthly,10,-0.34022083799528713,-0.09042240148663358
