id,horizon_k,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean
r1_rev_1d,1,0.00017938003756309834,0.00031154517778715944,0.00010376046106464154,0.00044682619042269556,0.0002098364765297877
r1_rev_5d,5,0.0015022828326522856,0.0009769781583139122,0.0011140313409231364,0.0018462477876197553,0.0006544355695189747
r1_rev_20d,20,0.005933341165473836,0.0038074725913065325,0.004402578941642146,0.004404020951192284,0.0035624720303860462
r1_rev_40d,40,0.010884821694256808,0.004446683252747062,0.007997076066577916,0.00760283192276138,0.01385751566840006
r1_rev_60d,60,0.015980971425247854,0.010981587386103666,0.012627096646048459,0.01311330295118227,0.015893987090244848
r1_rev_80d,80,0.016319940967741853,0.01837950190676293,0.014460286569720641,0.017806977500248972,0.0222863911776916
r1_dd60_raw,60,0.014252772703561083,0.011539090172380702,0.01426547999584183,0.014578376535830214,0.014370459256332601
r1_dd60_recover,60,0.013760657035021107,0.0112639761481179,0.014362443509641746,0.015350843526172206,0.014355361752409928
probe_mom_20d_plus,60,0.014119414106502505,0.01032148090195721,0.012802972431734939,0.012578762060374052,0.018882722085760487
