id,cluster,horizon_k,ic,ic_t,n_dates
r1_rev_1d,short_falsification,1,0.011045226932678941,1.2661612965937532,1766
r1_rev_1d,short_falsification,5,0.008527925957371438,0.9930613353076664,1762
r1_rev_1d,short_falsification,20,-0.002527295218027326,-0.29409663244661244,1747
r1_rev_1d,short_falsification,40,0.005645175719229635,0.6608053228719214,1727
r1_rev_1d,short_falsification,60,0.0016894616202294212,0.1977886307181387,1707
r1_rev_1d,short_falsification,80,-0.00039683151934843193,-0.045874093711523026,1687
r1_rev_5d,short_falsification,1,0.016708648687183213,1.848399035725394,1766
r1_rev_5d,short_falsification,5,0.003989343218523947,0.46007531273569446,1762
r1_rev_5d,short_falsification,20,-0.013346168224840431,-1.5143243502459285,1747
r1_rev_5d,short_falsification,40,0.00512164631568454,0.6093678805989861,1727
r1_rev_5d,short_falsification,60,-0.0014133644048160735,-0.1701219593223655,1707
r1_rev_5d,short_falsification,80,-0.0013230613357321857,-0.15565943559976675,1687
r1_rev_20d,medium_scan,1,-0.002633594877415066,-0.2801946494394162,1766
r1_rev_20d,medium_scan,5,0.00473850406191635,0.5112893192286407,1762
r1_rev_20d,medium_scan,20,0.006725965379372413,0.7882437046925261,1747
r1_rev_20d,medium_scan,40,0.019192785428849748,2.2033047184980266,1727
r1_rev_20d,medium_scan,60,0.002779829768152509,0.3214771901221915,1707
r1_rev_20d,medium_scan,80,0.023917145634729988,2.8089831221338595,1687
r1_rev_40d,medium_scan,1,-0.0042719705838463965,-0.44173671366383677,1766
r1_rev_40d,medium_scan,5,0.017630626568539722,1.8645318518451903,1762
r1_rev_40d,medium_scan,20,0.03788378543643087,4.295085907585336,1747
r1_rev_40d,medium_scan,40,0.02615922097971305,3.019906409356353,1727
r1_rev_40d,medium_scan,60,0.028359208283808772,3.466398368025793,1707
r1_rev_40d,medium_scan,80,0.03445469325461821,3.9146651003618507,1687
r1_rev_60d,medium_scan,1,-0.011282868157837878,-1.1648406743701434,1766
r1_rev_60d,medium_scan,5,0.0010750215140694181,0.11164334972607023,1762
r1_rev_60d,medium_scan,20,0.01645835329759287,1.8656990979970447,1747
r1_rev_60d,medium_scan,40,0.023085040492367394,2.757127812487895,1727
r1_rev_60d,medium_scan,60,0.020440921580502296,2.4302772624408875,1707
r1_rev_60d,medium_scan,80,0.012949148797062899,1.4732827347495445,1687
r1_rev_80d,medium_scan,1,-0.00749864682289636,-0.772021862603288,1766
r1_rev_80d,medium_scan,5,0.0008472092656991963,0.0867345314186963,1762
r1_rev_80d,medium_scan,20,0.022762413637515553,2.4924770969551013,1747
r1_rev_80d,medium_scan,40,0.03318628006317423,3.8338979112156535,1727
r1_rev_80d,medium_scan,60,0.026883395338226455,3.0750626003972177,1707
r1_rev_80d,medium_scan,80,0.02104020203175552,2.287705247868331,1687
r1_dd60_raw,drawdown_event,1,-0.01536257637291712,-1.648118965346705,1766
r1_dd60_raw,drawdown_event,5,-0.005945822875518786,-0.6479799866891258,1762
r1_dd60_raw,drawdown_event,20,-0.016063938508582027,-1.912761062454823,1747
r1_dd60_raw,drawdown_event,40,-0.008903858763383737,-1.1416438784392764,1727
r1_dd60_raw,drawdown_event,60,-0.006380526265425329,-0.7797592747840077,1707
r1_dd60_raw,drawdown_event,80,-0.0024406084901576015,-0.27970526280735913,1687
r1_dd60_recover,drawdown_event,1,-0.015069631593876996,-1.8804617437445774,1722
r1_dd60_recover,drawdown_event,5,-0.011945482708031148,-1.5560672087208565,1718
r1_dd60_recover,drawdown_event,20,0.012256390558025404,1.6314669413007101,1703
r1_dd60_recover,drawdown_event,40,0.004806192962279043,0.6599644624516788,1683
r1_dd60_recover,drawdown_event,60,0.012525529256074327,1.6278709334443022,1663
r1_dd60_recover,drawdown_event,80,0.015837981832016568,2.0177939846581947,1643
probe_mom_20d_plus,probe,1,0.002633594877415066,0.2801946494394162,1766
probe_mom_20d_plus,probe,5,-0.00473850406191635,-0.5112893192286407,1762
probe_mom_20d_plus,probe,20,-0.006725965379372413,-0.7882437046925261,1747
probe_mom_20d_plus,probe,40,-0.019192785428849748,-2.2033047184980266,1727
probe_mom_20d_plus,probe,60,-0.002779829768152509,-0.3214771901221915,1707
probe_mom_20d_plus,probe,80,-0.023917145634729988,-2.8089831221338595,1687
