,pnl_net_5bps
2019-01-04,-0.0005
2019-01-07,0.0036380359387462313
2019-01-08,-0.006423216267280485
2019-01-09,0.007357914028784274
2019-01-10,-0.00890942585795588
2019-01-11,0.007884650509894361
2019-01-14,-0.013417071278079782
2019-01-15,0.017890783807396355
2019-01-16,0.00866289415880191
2019-01-17,-0.006025017268729023
2019-01-18,0.01906144611136325
2019-01-21,1.9617170635218505e-05
2019-01-22,-0.010908105937191085
2019-01-23,0.0002833801393144302
2019-01-24,0.005928358357123538
2019-01-25,0.0068629753651212235
2019-01-28,-0.003064361191162379
2019-01-29,0.006304537678844646
2019-01-30,-0.0030805303657215344
2019-01-31,0.006988603679410047
2019-02-01,0.013872266485492965
2019-02-11,0.017975479933449723
2019-02-12,0.012612855488447334
2019-02-13,0.02203979799249178
2019-02-14,0.0004891273857105342
2019-02-15,-0.019811633930985284
2019-02-18,0.041211179424813706
2019-02-19,0.004568513923352632
2019-02-20,-0.0025588791261406487
2019-02-21,-0.006292880301036622
2019-02-22,0.04387890761624865
2019-02-25,0.03718316836062241
2019-02-26,-0.004140735049619056
2019-02-27,-0.0021037567724680644
2019-02-28,0.005344853536908723
2019-03-01,0.00200374080600485
2019-03-04,0.020627795980675913
2019-03-05,0.005718110794008154
2019-03-06,0.02138859278742859
2019-03-07,0.0066378221688303905
2019-03-08,-0.05426623142542967
2019-03-11,0.022787023544750408
2019-03-12,0.021171489528407784
2019-03-13,-0.005082049462181345
2019-03-14,-0.026470819889594394
2019-03-15,0.014408613158436188
2019-03-18,0.011843892640704104
2019-03-19,0.003737159701100001
2019-03-20,-0.004868829417345677
2019-03-21,0.0029595202797421116
2019-03-22,-0.0008627475082726797
2019-03-25,-0.01808610125659656
2019-03-26,-0.012176087668690863
2019-03-27,0.004533375949509422
2019-03-28,-0.005587194191155867
2019-03-29,0.03426920842110056
2019-04-01,0.0258663188574905
2019-04-02,-0.0015138919806333788
2019-04-03,0.022820407142528865
2019-04-04,0.006656693756989555
