expression,ls_gross_sharpe,ls_net_sharpe_5bps,ls_net_cagr,ls_net_maxdd,ls_worst_year_sharpe,ls_ann_turnover_pct
r1_trend_sharpe_20d,0.08350056916234186,0.03817869994026494,0.016565798746159377,-1.0078097573848734,-0.8341171236883664,3896.4210526315783
r1_trend_sharpe_60d,0.07861334433886814,0.06042509107203379,0.026106625546816975,-0.9144145284131427,-0.4945751433282624,1550.3157894736842
r1_pullback_in_uptrend,0.5159209157362777,0.5121023923673523,0.12398380477053594,-0.34789594231972387,-0.7261325633931257,173.8947368421053
r1_vol_adj_mom_4w,0.08919567671689423,0.04379115268888622,0.019049218711463256,-1.03404120581034,-0.8806720638283634,3908.210526315789
r1_rel_strength_zscore,0.06870876136035055,0.020078207508860954,0.007850751848627935,-0.830913994109151,-0.6749864411696532,3784.421052631579
r1_low_drawdown_20d,0.4296565996154203,0.36373642992507144,0.1304899472351313,-0.5189880061088946,-0.4236857782585735,4421.0526315789475
r1_breakout_vol_conf,0.4083201937408316,0.40629323951967644,0.10021618668009413,-0.6130381288937973,-1.588760230391835,94.31578947368422
r1_kitchen_sink,0.08585244412673398,0.04515231639614324,0.01833275154247227,-1.1104352359687923,-1.0721730392238424,3271.5789473684213
