trade_week,pnl_combined_5050
2019-04-12,0.0003597122302158
2019-04-19,-0.00689989216391095
2019-04-26,-0.02680348615680908
2019-05-10,-0.016622528419599752
2019-05-17,-0.003211574451007858
2019-05-24,-0.004599630380720188
2019-05-31,0.00915230736593545
2019-06-14,0.02121763369514716
2019-06-21,0.0358899484862991
2019-06-28,0.0016513872228141788
2019-07-05,0.012436532486002402
2019-07-12,-0.0164483831561646
2019-07-19,0.006471714753345752
2019-07-26,0.0032177903124912858
2019-08-02,-0.027938632007395367
2019-08-09,0.0027999723192817863
2019-08-16,0.012515814247374708
2019-08-23,0.0362983657755932
2019-08-30,0.012538790614363736
2019-09-06,0.027573241938571916
2019-09-20,-0.0075418121638556705
2019-09-27,-0.039007730743140595
2019-10-11,0.01829140359199028
2019-10-18,-0.01643111069696263
2019-10-25,0.007496628055435565
2019-11-01,0.016866130348064563
2019-11-08,0.0041995763779558515
2019-11-15,-0.004390891268066077
2019-11-22,-0.014532317865314217
2019-11-29,-0.007304405664827455
2019-12-06,0.053921867266563166
2019-12-13,0.026228269507844217
2019-12-20,0.011069112214787867
2019-12-27,-0.005125143771935076
2020-01-03,0.04511051722157873
2020-01-10,0.018743954400671597
2020-01-17,0.014874931861228489
2020-02-07,-0.026900064951014255
2020-02-14,0.035788646139219525
2020-02-21,0.11072600811102029
2020-02-28,-0.07328464671074271
2020-03-06,0.04837723440044369
2020-03-13,-0.03826626114297104
2020-03-20,-0.0743187232461143
2020-03-27,0.02085814430584736
2020-04-03,-0.005506828786815034
2020-04-10,0.018939277680559172
2020-04-17,0.009990771155743226
2020-04-24,-0.009083275643414828
2020-05-08,0.026323910185992942
2020-05-15,0.00804343019493644
2020-05-22,-0.035029451781918186
2020-05-29,0.005989213447210683
2020-06-05,0.04383046751074697
2020-06-12,0.00023423050456777535
2020-06-19,0.04279401825687746
2020-07-03,0.08910354938953645
2020-07-10,0.12658029065365484
2020-07-17,-0.08427155912407003
2020-07-24,-0.00020532694624235057
2020-07-31,0.05225055228778133
2020-08-07,0.033622358028003646
2020-08-14,-0.008495696068835436
2020-08-21,-0.003416282508574183
2020-08-28,0.01840009349244043
2020-09-04,-0.018908568559315518
2020-09-11,-0.054757861730292394
2020-09-18,0.02927512273685031
2020-09-25,-0.053659132270083065
2020-10-09,0.03635554295396866
2020-10-16,0.03238828961018552
2020-10-23,-0.044617760948986354
2020-10-30,-0.011268150510114568
2020-11-06,0.05947657538156799
2020-11-13,0.008708298854851478
2020-11-20,0.0315265605384296
2020-11-27,0.0036853526230739946
2020-12-04,0.012884001470193624
2020-12-11,-0.04279485840191276
2020-12-18,0.023171782973957385
2020-12-25,0.005165152469635847
2021-01-08,0.04773740072174018
2021-01-15,-0.031378995281643944
2021-01-22,0.03449544118576903
2021-01-29,-0.09109954655508079
2021-02-05,0.006925835411998529
2021-02-19,0.021380108173542724
2021-02-26,-0.06897675484778636
2021-03-05,0.010640774190659619
2021-03-12,-0.031664637529199596
2021-03-19,-0.019335387444016795
2021-03-26,0.0024489449995831383
2021-04-02,0.03378833955877205
2021-04-09,-0.00834162879329494
2021-04-16,-0.004448337710503652
2021-04-23,0.03245455215552273
2021-04-30,-0.004156437731751695
2021-05-07,-0.0019129985184308234
2021-05-14,0.03394942678746495
2021-05-21,-0.013921543370307904
2021-05-28,0.07074226314235596
2021-06-04,0.013210694418266491
2021-06-11,0.0013252937143837596
2021-06-18,-0.0036399235921877526
2021-06-25,0.031836963299429484
2021-07-02,-0.04806945974628872
2021-07-09,0.030042727558717668
2021-07-16,0.040955544205252735
2021-07-23,0.03575833431571849
2021-07-30,-0.06038877204423874
2021-08-06,0.030953865781380308
2021-08-13,0.0350058511534266
2021-08-20,-0.052801565242047224
2021-08-27,0.061144262888714225
2021-09-03,0.01431232582155189
2021-09-10,0.08472130797288546
2021-09-17,-0.05919214781556981
2021-09-24,-0.007077185982536902
2021-10-08,0.009722672435264753
2021-10-15,-0.010917645191878895
2021-10-22,-0.006513837985745068
2021-10-29,-0.026105056210976973
2021-11-05,0.0027504258908059584
2021-11-12,0.038509965693177536
2021-11-19,0.009145626359901507
2021-11-26,-0.004131916680896524
2021-12-03,0.03106932964927845
2021-12-10,0.012823824384874477
2021-12-17,-0.023963753342663353
