trade_week,pnl_combined
2019-04-12,0.0006115107913668601
2019-04-19,-0.011304816678648615
2019-04-26,0.002786885245901415
2019-05-10,0.00956095791001463
2019-05-17,0.01463939720129156
2019-05-24,0.000299823633156865
2019-05-31,0.005694640338504905
2019-06-14,0.01706943498978868
2019-06-21,0.017867867867868106
2019-06-28,0.008055555555555526
2019-07-05,0.0030884937856046897
2019-07-12,-0.010019135000366669
2019-07-19,0.002238043151051135
2019-07-26,-0.000564859677724975
2019-08-02,-0.015419116413547663
2019-08-09,0.02899110987967067
2019-08-16,0.008577126518541705
2019-08-23,0.0245725047266751
2019-08-30,0.016498918731983975
2019-09-06,0.01189243936228755
2019-09-20,-0.002519931841263995
2019-09-27,-0.03307796916650402
2019-10-11,0.007668386981127975
2019-10-18,-0.0075825382743274095
2019-10-25,0.002945594035806205
2019-11-01,0.011952910386576405
2019-11-08,0.0031154886491875
2019-11-15,0.007902086847872719
2019-11-22,-0.016881008297671182
2019-11-29,-0.0059939433343176455
2019-12-06,0.05736887041221785
2019-12-13,0.01884817485612427
2019-12-20,0.007278811415565145
2019-12-27,-0.004648249491151404
2020-01-03,0.03405189747341537
2020-01-10,0.011340829566312344
2020-01-17,0.015759963571083065
2020-02-07,0.00214153232330353
2020-02-14,0.02298906402138819
2020-02-21,0.08975888499486386
2020-02-28,-0.040026086803456914
2020-03-06,0.014437771638247431
2020-03-13,-0.012584848301051924
2020-03-20,-0.03882987465669899
2020-03-27,0.03902607643787733
2020-04-03,-0.00428133952761786
2020-04-10,0.012338713985018873
2020-04-17,-0.0021897906745338004
2020-04-24,0.0023213750850796084
2020-05-08,0.012541394730682711
2020-05-15,0.009740026987400998
2020-05-22,-0.017955768322842573
2020-05-29,0.006064945676641214
2020-06-05,0.015990078565644345
2020-06-12,0.002595696747441446
2020-06-19,0.02059274091136677
2020-07-03,0.03049384112204364
2020-07-10,0.048114099433114677
2020-07-17,-0.043592831912277016
2020-07-24,0.004721463118643283
2020-07-31,0.014325873506539515
2020-08-07,0.024516296740094583
2020-08-14,-0.005798071652892689
2020-08-21,-0.0006091260141833014
2020-08-28,0.0074308285726928745
2020-09-04,-0.004893470874435817
2020-09-11,-0.010552458273660456
2020-09-18,0.01050539327424723
2020-09-25,-0.029263127853084693
2020-10-09,0.02293226860275806
2020-10-16,0.01332467115140129
2020-10-23,-0.02287250508840242
2020-10-30,-0.0003448800967625872
2020-11-06,0.036720561825005674
2020-11-13,0.011154865187469496
2020-11-20,0.019083386644987356
2020-11-27,0.002675694158463659
2020-12-04,-0.003402741359204466
2020-12-11,-0.012923392171889928
2020-12-18,0.012962390198611057
2020-12-25,0.009780753948232399
2021-01-08,0.03856644186411284
2021-01-15,-0.03421287505927798
2021-01-22,0.02493977702469817
2021-01-29,-0.0508564407820984
2021-02-05,0.018349179239902366
2021-02-19,0.0006238055391280563
2021-02-26,-0.024304323853606775
2021-03-05,0.008283756001377506
2021-03-12,0.0070319129132133135
2021-03-19,-0.005611628624740556
2021-03-26,-0.008044510791558868
2021-04-02,0.004421717075899814
2021-04-09,-0.010566288125632622
2021-04-16,-0.004803365846065664
2021-04-23,0.01742830616011443
2021-04-30,-0.007091395038698683
2021-05-07,0.015569330906154814
2021-05-14,0.005185719168899582
2021-05-21,-0.013837438021196526
2021-05-28,0.036200759510517724
2021-06-04,0.010106987829807243
2021-06-11,0.0019531819416739645
2021-06-18,0.00850901227484129
2021-06-25,0.008630446527532842
2021-07-02,-0.022557883854656895
2021-07-09,0.03490298844449907
2021-07-16,0.02337101747760172
2021-07-23,0.04332397384808214
2021-07-30,-0.010259067324218683
2021-08-06,0.02671541672403252
2021-08-13,0.02567230253496578
2021-08-20,-0.018781360628418512
2021-08-27,0.06272872497295101
2021-09-03,0.01988309043297963
2021-09-10,0.04905653804954609
2021-09-17,-0.029395696157368995
2021-09-24,-0.02006175438002692
2021-10-08,0.01006004755608749
2021-10-15,-0.01021436283154211
2021-10-22,-0.0014655444216540997
2021-10-29,-0.002863134836145022
2021-11-05,0.01005956956168044
2021-11-12,0.019901996899276908
2021-11-19,0.00042417546761752516
2021-11-26,-0.015370739751653154
2021-12-03,0.013829935821872372
2021-12-10,4.5788419276468094e-05
2021-12-17,-0.009799657517143009
2021-12-24,-0.003649270761214644
2021-12-31,-0.0069521183738011205
2022-01-07,0.011287914995924908
2022-01-14,-0.015370198161938325
2022-01-21,0.02022942424366753
2022-01-28,-0.01079322788310318
2022-02-11,0.020011852014989354
2022-02-18,0.011906871649305853
2022-02-25,-0.0021673975215962225
2022-03-04,0.007217681738446651
2022-03-11,0.016445722065381346
2022-03-18,-0.024369037400363513
2022-03-25,0.012148401271084932
2022-04-01,-0.007716965378682403
2022-04-08,0.009501350959157821
2022-04-15,0.030868345136093354
2022-04-22,0.008209589174764305
2022-04-29,-0.002532478614245384
2022-05-06,-0.004842869628693401
2022-05-13,-0.015362368136194137
2022-05-20,-0.0053419023942113154
2022-05-27,0.01713111750305868
2022-06-10,-0.005426381854061154
2022-06-17,-0.0032006188341239215
2022-06-24,-0.005290105978311715
2022-07-01,-0.006809891589373812
2022-07-08,-0.03237524265593411
2022-07-15,-0.00848508905380188
2022-07-22,0.009358237025461263
2022-07-29,0.02184223585719664
2022-08-05,0.0034438611772353404
2022-08-12,0.0036267604073810067
2022-08-19,-0.005909346854959509
2022-08-26,0.009890354333528103
2022-09-02,-0.009671350457998001
2022-09-09,0.014723960081096915
2022-09-16,-0.005765367473188808
2022-09-23,0.014288692443153832
2022-09-30,-0.0010012065741149927
2022-10-14,-0.007266317299499338
2022-10-21,-0.00897676707945614
2022-10-28,0.0078139741777983
2022-11-04,-0.007822663565185546
2022-11-11,0.035414691170378286
2022-11-18,-0.001114852855675581
2022-11-25,0.006376519642779081
2022-12-02,0.0046633542504285275
2022-12-09,-0.005096059379447461
2022-12-16,0.00024306849804431557
2022-12-23,0.008951647194118721
2022-12-30,0.0020781723487618715
2023-01-06,-0.0012548234974554115
2023-01-13,0.010777739208020805
2023-01-20,0.01292462194836598
2023-02-03,0.02180247251436268
2023-02-10,0.005594220318201387
2023-02-17,-0.010094375890745223
2023-02-24,0.019760352106268003
2023-03-03,0.0326587641374408
2023-03-10,-0.040612039045034146
2023-03-17,0.03434328342365256
2023-03-24,0.008425885228412932
2023-03-31,0.019317952762242106
2023-04-07,0.04827539579627274
2023-04-14,-0.031032211112010606
2023-04-21,-0.010812954370496921
2023-04-28,0.029091748716399513
2023-05-05,0.016693030478644014
2023-05-12,-0.003239374352576755
2023-05-19,-0.007964896516308708
2023-05-26,-0.005256509490785507
2023-06-02,0.010302677749173782
2023-06-09,0.0041611993000910275
2023-06-16,0.0030288888226567773
2023-06-30,-0.003176453151636774
2023-07-07,0.004009690684120282
2023-07-14,0.005503782249078433
2023-07-21,0.010999267094765588
2023-07-28,0.0022943724353349636
2023-08-04,0.014543764925620695
2023-08-11,-0.03437890579025448
2023-08-18,0.007325434682197617
2023-08-25,0.006472439766338385
2023-09-01,0.005983248250394789
2023-09-08,0.013517498726807544
2023-09-15,0.0038064128847210047
2023-09-22,0.00353454287711007
2023-10-13,-0.012126978882256804
2023-10-20,0.03944974064271262
2023-10-27,-0.002059058007025636
2023-11-03,-0.0022048124205608028
2023-11-10,-0.013778091919881594
2023-11-17,0.007063486265936704
2023-11-24,-0.011354145982207346
2023-12-01,0.016363530070640977
2023-12-08,9.48695734152823e-05
2023-12-15,0.0011521849280324223
2023-12-22,0.008174120454441889
2023-12-29,0.001256235980265848
2024-01-05,0.00889467599745545
2024-01-12,-0.004607411248573154
2024-01-19,-0.00010019150201269781
2024-01-26,0.008287861772948175
2024-02-02,0.024390932131730124
2024-02-23,0.002064124129291101
2024-03-01,0.005166793223595254
2024-03-08,0.04430505858009473
2024-03-15,-0.006927931258511204
2024-03-22,0.00772133302803039
2024-03-29,0.03473229597303682
2024-04-12,0.045836127794172746
2024-04-19,0.008620730768911459
2024-04-26,-0.028700431419872028
2024-05-10,0.012711308664697532
2024-05-17,0.008049007021947297
2024-05-24,-0.014805403599925925
2024-05-31,0.0035507361861527725
2024-06-07,0.007609333311430576
2024-06-14,-0.018978453618112644
2024-06-21,0.017421847748687557
2024-06-28,-0.008986342495188331
2024-07-05,0.010764201651105327
2024-07-12,0.007938829800830808
2024-07-19,-0.007800700398945523
2024-07-26,-0.00906558601560363
2024-08-02,0.02128874091393446
2024-08-09,-0.015644350262311358
2024-08-16,0.009497328101063443
2024-08-23,0.012819954697511782
2024-08-30,-0.0063360186645593595
2024-09-06,-0.00396421645914971
2024-09-13,0.011113560287860223
2024-09-20,0.011969302350676496
2024-09-27,0.02415396317873654
2024-10-11,-0.043444395888800724
2024-10-18,0.0493333901036247
