expression,strategy,cost_bps_side,gross_sharpe,net_sharpe,net_cagr,net_maxdd,ann_turnover_pct
r1_trend_sharpe_20d,long_only_top5,2.0,0.24655486235772434,0.2463564632672095,0.2823939399316868,-3.0250896632708173,100.21052631578947
r1_trend_sharpe_20d,ls_top5_bot5,2.0,0.08350056916234186,0.06536566557606388,0.028518426491434434,-0.9629297573848736,3896.4210526315783
r1_trend_sharpe_20d,long_only_top5,5.0,0.24655486235772434,0.24605885817683204,0.2820084697618488,-3.025809663270817,100.21052631578947
r1_trend_sharpe_20d,ls_top5_bot5,5.0,0.08350056916234186,0.03817869994026494,0.016565798746159377,-1.0078097573848734,3896.4210526315783
r1_trend_sharpe_20d,long_only_top5,8.0,0.24655486235772434,0.24576124536459334,0.2816231154590991,-3.026529663270817,100.21052631578947
r1_trend_sharpe_20d,ls_top5_bot5,8.0,0.08350056916234186,0.011011883537561572,0.004752074987762089,-1.0526897573848737,3896.4210526315783
r1_trend_sharpe_60d,long_only_top5,2.0,0.3190098999733849,0.3188050972767822,0.3540639206676961,-2.677697605103994,97.26315789473684
r1_trend_sharpe_60d,ls_top5_bot5,2.0,0.07861334433886814,0.07133742221814637,0.030890108698062413,-0.906734528413143,1550.3157894736842
r1_trend_sharpe_60d,long_only_top5,5.0,0.3190098999733849,0.3184978846268373,0.3536688767065874,-2.678417605103994,97.26315789473684
r1_trend_sharpe_60d,ls_top5_bot5,5.0,0.07861334433886814,0.06042509107203379,0.026106625546816975,-0.9144145284131427,1550.3157894736842
r1_trend_sharpe_60d,long_only_top5,8.0,0.3190098999733849,0.31819066167897625,0.35327394799833245,-2.6791376051039943,97.26315789473684
r1_trend_sharpe_60d,ls_top5_bot5,8.0,0.07861334433886814,0.04951478958436739,0.02134533846755371,-0.922094528413143,1550.3157894736842
r1_pullback_in_uptrend,long_only_top5,2.0,0.30673045767205187,0.30652330569234965,0.2438981960557287,-1.8762940217923405,73.68421052631578
r1_pullback_in_uptrend,ls_top5_bot5,2.0,0.5159209157362777,0.5143938451105017,0.12457032234955001,-0.34753594231972396,173.8947368421053
r1_pullback_in_uptrend,long_only_top5,5.0,0.30673045767205187,0.3062125657164015,0.24362325947492125,-1.87677402179234,73.68421052631578
r1_pullback_in_uptrend,ls_top5_bot5,5.0,0.5159209157362777,0.5121023923673523,0.12398380477053594,-0.34789594231972387,173.8947368421053
r1_pullback_in_uptrend,long_only_top5,8.0,0.30673045767205187,0.30590181137331296,0.2433483836628516,-1.8772540217923408,73.68421052631578
r1_pullback_in_uptrend,ls_top5_bot5,8.0,0.5159209157362777,0.5098099361594548,0.12339759308868392,-0.348255942319724,173.8947368421053
r1_vol_adj_mom_4w,long_only_top5,2.0,0.25598883838164804,0.2557895858256618,0.2933780477020511,-3.014870650648647,100.21052631578948
r1_vol_adj_mom_4w,ls_top5_bot5,2.0,0.08919567671689423,0.07102755975875268,0.031067512720160284,-0.9888612058103401,3908.210526315789
r1_vol_adj_mom_4w,long_only_top5,5.0,0.25598883838164804,0.2554907005138603,0.292989275858869,-3.015590650648647,100.21052631578948
r1_vol_adj_mom_4w,ls_top5_bot5,5.0,0.08919567671689423,0.04379115268888622,0.019049218711463256,-1.03404120581034,3908.210526315789
r1_vol_adj_mom_4w,long_only_top5,8.0,0.25598883838164804,0.2551918074526446,0.29260062087521366,-3.0163106506486472,100.21052631578948
r1_vol_adj_mom_4w,ls_top5_bot5,8.0,0.08919567671689423,0.016575370863810536,0.007171011931873528,-1.07922120581034,3908.210526315789
r1_rel_strength_zscore,long_only_top5,2.0,0.27212178440665835,0.27192146724437943,0.3123093777311141,-2.921019343399665,100.21052631578947
r1_rel_strength_zscore,ls_top5_bot5,2.0,0.06870876136035055,0.04924885646076538,0.01935834743151621,-0.819393994109151,3784.421052631579
r1_rel_strength_zscore,long_only_top5,5.0,0.27212178440665835,0.27162098453027117,0.31191491538770877,-2.921679343399665,100.21052631578947
r1_rel_strength_zscore,ls_top5_bot5,5.0,0.06870876136035055,0.020078207508860954,0.007850751848627935,-0.830913994109151,3784.421052631579
r1_rel_strength_zscore,long_only_top5,8.0,0.27212178440665835,0.27132049347399134,0.311520571614317,-2.922339343399665,100.21052631578947
r1_rel_strength_zscore,ls_top5_bot5,8.0,0.06870876136035055,-0.009067357493863192,-0.003526933819427147,-0.8456870339793481,3784.421052631579
r1_low_drawdown_20d,long_only_top5,2.0,0.28150020394435665,0.28130238331203816,0.32849721380976793,-2.90179416233804,100.21052631578948
r1_low_drawdown_20d,ls_top5_bot5,2.0,0.4296565996154203,0.40328124682530214,0.14558368797432686,-0.5109832842568662,4421.0526315789475
r1_low_drawdown_20d,long_only_top5,5.0,0.28150020394435665,0.2810056436309333,0.3280978856230923,-2.9023941623380405,100.21052631578948
r1_low_drawdown_20d,ls_top5_bot5,5.0,0.4296565996154203,0.36373642992507144,0.1304899472351313,-0.5189880061088946,4421.0526315789475
r1_low_drawdown_20d,long_only_top5,8.0,0.28150020394435665,0.2807088934941058,0.32769867746903625,-2.9029941623380404,100.21052631578948
r1_low_drawdown_20d,ls_top5_bot5,8.0,0.4296565996154203,0.32421826869872594,0.11559507543226344,-0.536748006108895,4421.0526315789475
r1_breakout_vol_conf,long_only_top5,2.0,0.2743115725086204,0.27413123310075815,0.17516929094733658,-1.5062393361750794,53.05263157894737
r1_breakout_vol_conf,ls_top5_bot5,2.0,0.4083201937408316,0.4075095586014516,0.10052753400018477,-0.6129181288937972,94.31578947368422
r1_breakout_vol_conf,long_only_top5,5.0,0.2743115725086204,0.2738607104176572,0.17498226836048536,-1.5064793361750795,53.05263157894737
r1_breakout_vol_conf,ls_top5_bot5,5.0,0.4083201937408316,0.40629323951967644,0.10021618668009413,-0.6130381288937973,94.31578947368422
r1_breakout_vol_conf,long_only_top5,8.0,0.2743115725086204,0.2735901714930304,0.17479527553738672,-1.5067193361750795,53.05263157894737
r1_breakout_vol_conf,ls_top5_bot5,8.0,0.4083201937408316,0.40507648496099546,0.09990492744244639,-0.6131581288937972,94.31578947368422
r1_kitchen_sink,long_only_top5,2.0,0.27880371656287933,0.27860287027927566,0.31970577231046793,-2.8926144135776446,100.21052631578947
r1_kitchen_sink,ls_top5_bot5,2.0,0.08585244412673398,0.06956788266974115,0.028376627891880002,-1.0641752359687922,3271.5789473684213
r1_kitchen_sink,long_only_top5,5.0,0.27880371656287933,0.2783015925553067,0.31930908671148894,-2.8933944135776453,100.21052631578947
r1_kitchen_sink,ls_top5_bot5,5.0,0.08585244412673398,0.04515231639614324,0.01833275154247227,-1.1104352359687923,3271.5789473684213
r1_kitchen_sink,long_only_top5,8.0,0.27880371656287933,0.2780003048976009,0.31891252035080364,-2.894174413577645,100.21052631578947
r1_kitchen_sink,ls_top5_bot5,8.0,0.08585244412673398,0.02075152797670558,0.008386971016506983,-1.1566952359687923,3271.5789473684213
