expression,lo_gross_sharpe,lo_net_sharpe_5bps,lo_net_cagr,lo_net_maxdd,lo_ann_turnover_pct,lo_worst_year_sharpe,ic_at_k5,peak_k,corr_vs_v7_gold,G3_pass,G4_pass
r1_trend_sharpe_20d,0.24655486235772434,0.24605885817683204,0.2820084697618488,-3.025809663270817,100.21052631578947,-1.12564293261746,0.01762772308920222,20,0.44090432313633576,False,False
r1_trend_sharpe_60d,0.3190098999733849,0.3184978846268373,0.3536688767065874,-2.678417605103994,97.26315789473684,-1.0704454264613987,0.016372617471529117,5,0.44414632666727655,False,False
r1_pullback_in_uptrend,0.30673045767205187,0.3062125657164015,0.24362325947492125,-1.87677402179234,73.68421052631578,-0.9205420937588128,0.00968111253452301,5,0.4513975995645831,False,False
r1_vol_adj_mom_4w,0.25598883838164804,0.2554907005138603,0.292989275858869,-3.015590650648647,100.21052631578948,-1.1257035738300742,0.020278185525653258,20,0.4395491453429929,False,False
r1_rel_strength_zscore,0.27212178440665835,0.27162098453027117,0.31191491538770877,-2.921679343399665,100.21052631578947,-1.057873145303019,0.013095850158186338,10,0.4390800841155944,False,False
r1_low_drawdown_20d,0.28150020394435665,0.2810056436309333,0.3280978856230923,-2.9023941623380405,100.21052631578948,-1.0755232833479458,0.02075324091105749,20,0.4445374284298352,False,False
r1_breakout_vol_conf,0.2743115725086204,0.2738607104176572,0.17498226836048536,-1.5064793361750795,53.05263157894737,-1.0225758456249472,,5,0.4663454796161466,False,False
r1_kitchen_sink,0.27880371656287933,0.2783015925553067,0.31930908671148894,-2.8933944135776453,100.21052631578947,-1.0913870336310023,0.020205532661944293,10,0.44404520067462117,False,False
