year,ret,vol,sh,dd,cal,win_rate,n
2019,0.2578549920485633,0.11315502778044481,2.278776269216075,-0.05590224766267882,4.612605088877512,0.5294117647058824,51
2020,0.4487745036532913,0.1750055162702351,2.5643449030504573,-0.08886689571606177,5.0499626439880245,0.7115384615384616,52
2021,0.300395362538203,0.16237367160181135,1.8500250661009991,-0.061870816993742084,4.855202777887779,0.6,55
2022,0.07789640012073251,0.09612736049507793,0.8103457716881874,-0.08275862068965545,0.9412481681255147,0.56,50
2023,0.23579981322724386,0.1388509698446628,1.6982222989946771,-0.04960533329162142,4.753517365582776,0.64,50
2024,0.38495746553087695,0.18239061495377762,2.110621018677057,-0.0492938094708949,7.809448481724094,0.6078431372549019,51
2025,0.35924748748922775,0.15645694921374267,2.2961427363539095,-0.057464504485957635,6.25164161255433,0.6037735849056604,53
2026,0.14977858869023652,0.1639037114454153,0.9138206046061206,-0.06461319218052397,2.3180806215512058,0.5333333333333333,15
