trade_week,pnl_week
2019-04-05,0.0
2019-04-12,0.0
2019-04-19,0.0
2019-04-26,0.0
2019-05-03,0.0
2019-05-10,0.0
2019-05-17,0.0
2019-05-24,0.0
2019-05-31,0.0
2019-06-07,0.0
2019-06-14,0.0
2019-06-21,0.0
2019-06-28,0.0
2019-07-05,0.0
2019-07-12,0.0
2019-07-19,0.0
2019-07-26,0.0
2019-08-02,0.0
2019-08-09,0.0
2019-08-16,0.0
2019-08-23,0.0
2019-08-30,0.0
2019-09-06,0.0
2019-09-13,0.0
2019-09-20,0.0
2019-09-27,0.0
2019-10-04,0.0
2019-10-11,0.0
2019-10-18,0.0
2019-10-25,0.0
2019-11-01,0.0
2019-11-08,0.0
2019-11-15,0.0
2019-11-22,0.0
2019-11-29,0.0
2019-12-06,0.0
2019-12-13,0.0
2019-12-20,0.0
2019-12-27,0.0
2020-01-03,0.0
2020-01-10,0.0
2020-01-17,0.0
2020-01-24,0.0
2020-02-07,0.0
2020-02-14,0.0
2020-02-21,0.0
2020-02-28,0.0
2020-03-06,0.0
2020-03-13,0.0
2020-03-20,0.0
2020-03-27,0.0
2020-04-03,0.0
2020-04-10,-0.001
2020-04-17,0.009915604506393835
2020-04-24,7.103474867414458e-05
2020-05-01,-0.001
2020-05-08,-0.023645435540808547
2020-05-15,-0.020896041443074283
2020-05-22,0.0
2020-05-29,0.0
2020-06-05,-0.001
2020-06-12,0.008572163973765463
2020-06-19,-0.001
2020-06-26,0.029157618442256276
2020-07-03,0.015546006068885738
2020-07-10,-0.0004154735812391813
2020-07-17,0.019794253712883812
2020-07-24,-0.001
2020-07-31,0.007592915278582639
2020-08-07,-0.001
2020-08-14,-0.05333321603219823
2020-08-21,0.0
2020-08-28,0.0
2020-09-04,0.0
2020-09-11,0.0
2020-09-18,-0.001
2020-09-25,0.01064564856853915
2020-10-02,0.0
2020-10-09,0.0
2020-10-16,-0.001
2020-10-23,0.014781922609568557
2020-10-30,-0.0017329801709283666
2020-11-06,-0.001
2020-11-13,-0.014120726443188984
2020-11-20,-0.001
2020-11-27,0.0018334997348798177
2020-12-04,0.0
2020-12-11,0.0
2020-12-18,-0.001
2020-12-25,0.010460694976733962
2021-01-01,0.0068171275955468316
2021-01-08,0.02595206068902491
2021-01-15,0.0
2021-01-22,-0.001
2021-01-29,0.015411983018152654
2021-02-05,0.0
2021-02-12,0.0
2021-02-19,-0.001
2021-02-26,0.0008372310054559099
2021-03-05,0.0
2021-03-12,0.0
2021-03-19,0.0
2021-03-26,0.0
2021-04-02,0.0
2021-04-09,-0.001
2021-04-16,-0.0014544510892392816
2021-04-23,-0.001
2021-04-30,0.0367166448249968
2021-05-07,-0.03733172267119208
2021-05-14,0.02865426586993595
2021-05-21,0.0008085885824014767
2021-05-28,-0.025717918403806425
2021-06-04,-0.039250685406798415
2021-06-11,-0.02190240721156125
2021-06-18,-0.001
2021-06-25,0.011866337200856152
2021-07-02,0.028826541032427398
2021-07-09,-0.001
2021-07-16,-0.02961341289870117
2021-07-23,0.0023342426197685093
2021-07-30,0.021603746686221968
2021-08-06,0.02884642537927401
2021-08-13,-0.017726069813970315
2021-08-20,0.0
2021-08-27,-0.001
2021-09-03,0.005956368523634344
2021-09-10,-0.001
2021-09-17,0.02124055057986337
2021-09-24,-0.001
2021-10-01,0.02084036640958775
2021-10-08,0.0024408670364630615
2021-10-15,0.003519905175603591
2021-10-22,0.028627248509660863
2021-10-29,0.0
2021-11-05,-0.001
2021-11-12,0.012461928853504362
2021-11-19,-0.023909977207248273
2021-11-26,0.0
2021-12-03,0.0
2021-12-10,0.0
2021-12-17,0.0
2021-12-24,-0.001
2021-12-31,0.022887290669821467
2022-01-07,0.0
2022-01-14,-0.001
2022-01-21,-0.06689343708087798
2022-01-28,0.0
2022-02-11,0.0
2022-02-18,0.0
2022-02-25,0.0
2022-03-04,0.0
2022-03-11,0.0
2022-03-18,-0.001
2022-03-25,-0.013185929739171218
2022-04-01,-0.001
2022-04-08,-0.015151032725970461
2022-04-15,-0.05246078529794599
2022-04-22,0.0
2022-04-29,0.0
2022-05-06,0.0
2022-05-13,0.0
2022-05-20,0.0
2022-05-27,0.0
2022-06-03,-0.0010000000000000002
2022-06-10,0.04366241533435465
2022-06-17,0.0018407861765043776
2022-06-24,0.01753785225500086
2022-07-01,-0.031116270506012712
2022-07-08,0.0
2022-07-15,0.0
2022-07-22,0.0
2022-07-29,0.0
2022-08-05,-0.0010000000000000002
2022-08-12,-0.037911284903530226
2022-08-19,0.0
2022-08-26,0.0
2022-09-02,0.0
2022-09-09,-0.0010000000000000002
2022-09-16,-0.025973629819943306
2022-09-23,0.0
2022-09-30,0.0
2022-10-14,-0.0010000000000000002
2022-10-21,-0.0067946429371201385
2022-10-28,-0.00939056808482612
2022-11-04,-0.0010000000000000002
2022-11-11,-0.019749791231920107
2022-11-18,-0.050591554685676304
2022-11-25,-0.001995956881127723
2022-12-02,-0.0010000000000000002
2022-12-09,0.0006400344294368639
2022-12-16,-0.005945586972445694
2022-12-23,0.0
2022-12-30,0.0
2023-01-06,0.0
2023-01-13,-0.0010000000000000002
2023-01-20,-0.013683024426114984
2023-02-03,0.033870257253602154
2023-02-10,0.005521441647142286
2023-02-17,-0.015801937251095643
2023-02-24,0.0
2023-03-03,0.0
2023-03-10,0.0
2023-03-17,-0.0010000000000000002
2023-03-24,-0.0015178475658187652
2023-03-31,0.00821591393207773
2023-04-07,-0.0029774817984255728
2023-04-14,0.033640513301277264
2023-04-21,-0.007851420436234803
2023-04-28,-0.0010000000000000002
2023-05-05,0.014109668227597603
2023-05-12,0.0065202828854884
2023-05-19,0.0
2023-05-26,0.0
2023-06-02,-0.0010000000000000002
2023-06-09,-0.01961208565491399
2023-06-16,-0.0010000000000000002
2023-06-23,0.003444896484663394
2023-06-30,0.0
