name,ts_code,group
沪深300ETF,510300.SH,大盘指数
中证500ETF,510500.SH,大盘指数
上证50ETF,510050.SH,大盘指数
180ETF,510180.SH,大盘指数
科创50ETF,588000.SH,大盘指数
科创板50ETF,588080.SH,大盘指数
创业板ETF,159915.SZ,大盘指数
创业板50ETF,159949.SZ,大盘指数
中证1000ETF,159845.SZ,大盘指数
H股ETF,510900.SH,港股
中概互联网ETF,513050.SH,港股
纳指ETF,513100.SH,海外
纳指ETF（SZ）,159941.SZ,海外
黄金ETF（SH）,518880.SH,黄金
