trade_week,pnl_week
2019-04-05,0.0
2019-04-12,0.0
2019-04-19,0.0
2019-04-26,0.0
2019-05-03,0.0
2019-05-10,0.0
2019-05-17,0.0
2019-05-24,0.0
2019-05-31,0.0
2019-06-07,0.0
2019-06-14,0.0
2019-06-21,-0.0005
2019-06-28,0.003890120646649961
2019-07-05,0.0
2019-07-12,0.0
2019-07-19,0.0
2019-07-26,0.0
2019-08-02,0.0
2019-08-09,0.0
2019-08-16,-0.0005
2019-08-23,0.02781639770161622
2019-08-30,0.00834855298897369
2019-09-06,0.013940195708959829
2019-09-13,0.009517583618712983
2019-09-20,-0.020372435936993435
2019-09-27,0.0
2019-10-04,0.0
2019-10-11,0.0
2019-10-18,0.0
2019-10-25,0.0
2019-11-01,0.0
2019-11-08,0.0
2019-11-15,0.0
2019-11-22,0.0
2019-11-29,0.0
2019-12-06,0.0
2019-12-13,-0.0005
2019-12-20,0.018841713440788613
2019-12-27,-0.006796010914038758
2020-01-03,0.022029453258840603
2020-01-10,-0.002559643138109012
2020-01-17,0.005235076961123796
2020-01-24,0.0
2020-02-07,0.0
2020-02-14,-0.0005
2020-02-21,0.065078578656743
2020-02-28,-0.06824138577903446
2020-03-06,0.0
2020-03-13,0.0
2020-03-20,0.0
2020-03-27,0.0
2020-04-03,0.0
2020-04-10,-0.0005
2020-04-17,0.00758081711653392
2020-04-24,0.007698668074298957
2020-05-01,-0.0005
2020-05-08,0.0018283987156637056
2020-05-15,-0.012947370401956192
2020-05-22,0.0
2020-05-29,0.0
2020-06-05,-0.0005
2020-06-12,0.01780858628252951
2020-06-19,-0.0005
2020-06-26,0.02075041794519745
2020-07-03,0.09970679931364669
2020-07-10,0.05726560558716292
2020-07-17,-0.05271384850104726
2020-07-24,-0.0005
2020-07-31,0.04518798637769591
2020-08-07,-0.0005
2020-08-14,-0.06048950633735446
2020-08-21,0.0
2020-08-28,0.0
2020-09-04,0.0
2020-09-11,0.0
2020-09-18,-0.0005
2020-09-25,-0.019680267435116056
2020-10-02,0.0
2020-10-09,0.0
2020-10-16,-0.0005
2020-10-23,-0.012289980733556596
2020-10-30,-0.004742180948764153
2020-11-06,-0.0005
2020-11-13,-0.011789388807299628
2020-11-20,-0.0005
2020-11-27,0.020953650039155072
2020-12-04,0.0
2020-12-11,0.0
2020-12-18,-0.0005
2020-12-25,0.0047722170765762155
2021-01-01,0.026209518988819902
2021-01-08,0.03772379490152068
2021-01-15,0.0
2021-01-22,-0.0005
2021-01-29,-0.02818958718900913
2021-02-05,0.0
2021-02-12,0.0
2021-02-19,-0.0005
2021-02-26,-0.023845778774548795
2021-03-05,0.0
2021-03-12,0.0
2021-03-19,0.0
2021-03-26,0.0
2021-04-02,0.0
2021-04-09,-0.0005
2021-04-16,-0.004228528669007026
2021-04-23,-0.0005
2021-04-30,0.025773559944618475
2021-05-07,-0.006137533479935545
2021-05-14,-0.0050073650900990425
2021-05-21,-0.007740099880539669
2021-05-28,0.0031122197240276792
2021-06-04,-0.020829048404328223
2021-06-11,-0.006514780589709944
2021-06-18,-0.0005
2021-06-25,0.04049287455237484
2021-07-02,0.0018091747017655938
2021-07-09,-0.0005
2021-07-16,0.007494083691291082
2021-07-23,0.009129366490491455
2021-07-30,-0.0013421964073276858
2021-08-06,0.03659092219870336
2021-08-13,0.0010438498597661328
2021-08-20,0.0
2021-08-27,-0.0005
2021-09-03,0.03094570461645938
2021-09-10,-0.0005
2021-09-17,-0.04175033867616243
2021-09-24,-0.0005
2021-10-01,0.002645362614428942
2021-10-08,0.006881078657066369
2021-10-15,0.0007420650097640434
2021-10-22,0.005004140780862901
2021-10-29,0.0
2021-11-05,-0.0005
2021-11-12,0.02837024387558024
2021-11-19,-0.01198306296784657
2021-11-26,0.0
2021-12-03,0.0
2021-12-10,0.0
2021-12-17,0.0
2021-12-24,-0.0005
2021-12-31,0.01711721190098637
2022-01-07,0.0
2022-01-14,-0.0005
2022-01-21,-0.042578278561866696
2022-01-28,0.0
2022-02-11,0.0
2022-02-18,0.0
2022-02-25,0.0
2022-03-04,0.0
2022-03-11,0.0
2022-03-18,-0.0005
2022-03-25,-0.018477063711564393
2022-04-01,-0.0005
2022-04-08,-0.024481461968180296
2022-04-15,-0.0627868819135676
2022-04-22,0.0
2022-04-29,0.0
2022-05-06,0.0
2022-05-13,0.0
2022-05-20,0.0
2022-05-27,0.0
2022-06-03,-0.0005
2022-06-10,0.04945643035972519
2022-06-17,0.03236685200894496
2022-06-24,0.052163199931939706
2022-07-01,0.006070948030165192
2022-07-08,0.0
2022-07-15,0.0
2022-07-22,0.0
2022-07-29,0.0
2022-08-05,-0.0005
2022-08-12,-0.016124174229174056
2022-08-19,0.0
2022-08-26,0.0
2022-09-02,0.0
2022-09-09,-0.0005
2022-09-16,-0.07293400192022359
2022-09-23,0.0
2022-09-30,0.0
2022-10-14,-0.0005
2022-10-21,-0.0012809378146103419
2022-10-28,-0.03197399458747742
2022-11-04,-0.0005
2022-11-11,-0.021028950203014887
2022-11-18,-0.03620375035386971
2022-11-25,-0.03345030920990763
2022-12-02,-0.0005
2022-12-09,0.04532346088257517
2022-12-16,-0.021806290705944503
2022-12-23,0.0
2022-12-30,0.0
2023-01-06,0.0
2023-01-13,-0.0005
2023-01-20,0.0330822959360285
2023-02-03,0.029933837560387973
2023-02-10,0.0017142384529149294
2023-02-17,-0.03392006744524881
2023-02-24,0.0
2023-03-03,0.0
2023-03-10,0.0
2023-03-17,-0.0005
2023-03-24,0.056354164545055686
2023-03-31,0.03053490893551217
2023-04-07,0.044686947173767186
2023-04-14,0.0029293185840140942
2023-04-21,-0.0251804443282262
2023-04-28,-0.0005
2023-05-05,-0.010855443264248706
2023-05-12,0.002070834368843571
2023-05-19,0.0
2023-05-26,0.0
2023-06-02,-0.0005
2023-06-09,-0.02738174324536003
