expr,type,n_universe,sharpe_gross,sharpe_net5bps,sharpe_train,sharpe_val,sharpe_test,ann_turnover_pct,avg_exposure,n_days
r3_vt_LS_70,LS_vt,70,0.39358438883124813,0.359383129461213,1.177397833001199,-0.7145303719271643,0.24254261833267482,435.6104385911553,0.8842611326382287,1509
r3_vt_LS_eq_only,LS_vt,61,0.6352297380098676,0.5886499172053872,1.0324589989891562,0.2487445898859615,0.4192412771800395,433.920870839439,0.917407908907908,1509
r3_vt_LS_70_q1_no_bonds,LS_vt,70,0.5727657096854051,0.5292452940997412,0.7299779328114695,0.2554277291778309,0.5300516576129942,435.6104385911553,0.9795527166797898,1509
r3_top5_lo_70,topN,70,0.6517401109891133,0.628044556733962,0.8676424038601054,-0.11931003585745546,0.6752621685679506,583.0588235294117,1.0,1615
r3_top5_lo_bond_rotate,topN_rotate,70,0.931674058353855,0.9028412624486858,0.9986545113409511,0.6557129573206759,0.9625893260139192,583.0588235294117,1.0,1615
r3_top5_5050_bond_ballast,topN_ballast,70,0.7777986363535848,0.7543799223265989,0.9946637678151484,-0.042101842472279216,0.8195099894080295,583.0588235294117,1.0,1575
r3_vt_LS_70_beta90,LS_vt,70,0.3258848640375467,0.29210369055162444,1.074956323036311,-0.6747158368439824,0.21424181979996337,413.8862102217937,0.8473133238799937,1479
r3_kitchen_sink,LS_vt_rotate,61,1.081125333378729,1.0246599406434345,1.2842376726420694,0.30599784619079956,1.1324814805672705,433.920870839439,0.917407908907908,1509
