rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,rebal_threshold,theta_off,theta_on,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n,gross_sharpe,ann_turnover,ann_capped_turnover
18,600,120,0.0,0.2,0.4,8,0.0,-0.7,0.7,0.14670585663363767,0.12201545356784177,1.2023547210113659,-0.13948438891117632,1.051772587447474,1.6944890847140401,0.5017626321974148,1702,1.9911387820945143,74.88860164512339,74.5447980346886
18,600,120,0.5,0.0,0.4,8,0.4,-0.5,1.0,0.13858206943340257,0.11533039856087836,1.2016092128585731,-0.12668023184827104,1.0939518140398317,1.6469882762616446,0.5017626321974148,1702,1.894515532230402,65.30376028202114,65.12987441541716
24,600,180,0.3,0.2,0.5,8,0.2,-0.7,0.7,0.14306635025821612,0.12069361566143468,1.1853680037189427,-0.16318819121344974,0.8766954838728845,1.5325579796167474,0.4988249118683901,1702,1.809076468708623,58.305757931844894,58.305757931844894
30,600,180,0.0,0.2,0.4,5,0.4,-1.0,0.5,0.17352015499440498,0.147719885311781,1.174656713469343,-0.20703421038008984,0.8381231037896727,1.51972836115388,0.5041128084606346,1702,1.5736246962618412,45.04512338425382,45.03254418276733
30,600,180,0.0,0.2,0.3,3,0.1,-0.7,0.7,0.16703850185317948,0.14745228400772264,1.1328308881565445,-0.16652715705211374,1.0030706391084652,1.4575757497957156,0.5076380728554641,1702,1.6412369142043255,57.33666274970623,56.99833066836663
24,600,180,0.5,0.0,0.5,5,0.4,-1.0,0.5,0.16516098210635,0.14651474533116082,1.1272652573844626,-0.24357089978340485,0.6780817505425287,1.4452269459963143,0.4994124559341951,1702,1.5782719088745207,50.30622796709753,50.30622796709754
30,600,180,0.5,0.2,0.3,5,0.4,-1.0,0.5,0.16350741760185405,0.14538547176400599,1.1246475704757086,-0.23610709265077778,0.6925137901032701,1.4453315962440094,0.5058754406580493,1702,1.5067031456078217,43.14994124559341,43.14994124559342
24,600,120,0.3,0.2,0.4,5,0.4,-0.5,1.0,0.14254729985420456,0.12777229619506542,1.1156354241030675,-0.1310466885730378,1.0877596481559089,1.4468154692095518,0.5076380728554641,1702,1.6306585338892614,53.435252643948296,53.435252643948296
24,600,180,0.3,0.2,0.4,3,0.1,-1.0,0.5,0.17626106060181956,0.15857677931069378,1.111518731607467,-0.2137529475246539,0.824601778094732,1.4519969267655741,0.4929494712103408,1702,1.6877863196407104,65.82549941245593,65.75803514929493
24,600,60,0.0,0.2,0.4,8,0.2,-0.7,0.7,0.1402952238904971,0.1262778621488477,1.1110041103255826,-0.18845822140519908,0.7444367395829976,1.4881059814527202,0.517626321974148,1702,1.744389037686917,61.685781433607524,61.685781433607524
30,600,180,0.3,0.2,0.3,3,0.4,-1.0,0.5,0.17036097919124615,0.15513698525117486,1.0981325885340807,-0.21722007291681178,0.7842782524821675,1.4741934735643487,0.5029377203290247,1702,1.5379096086694735,51.586956521739125,51.34733184345476
30,600,180,0.0,0.2,0.4,3,0.2,-0.5,1.0,0.1518569845817852,0.13890689719094967,1.0932285412223526,-0.16000352738113421,0.9490852299778139,1.4391003353361347,0.5099882491186839,1702,1.6231758633412805,57.12690951821387,56.511492518478256
30,600,60,0.3,0.0,0.3,3,0.4,-0.5,1.0,0.15108302974761267,0.1395481747789438,1.0826585871649061,-0.12190878827262408,1.239312045410101,1.5572256575306964,0.5011750881316098,1702,1.5401804166486905,50.846650998824906,50.49331136027027
24,600,120,0.0,0.0,0.4,5,0.2,-1.0,0.5,0.16298950511906019,0.15081282081318317,1.0807403789692434,-0.20210143013317083,0.8064737840383485,1.4006490028034397,0.5076380728554641,1702,1.610724472658581,59.56991774383079,59.56991774383079
30,250,180,0.0,0.0,0.3,3,0.4,-0.7,0.7,0.16025524252146472,0.1485008077361498,1.0791540124562806,-0.2015101609900265,0.7952712743323964,1.440827691790786,0.5023501762632198,1702,1.539865218255982,51.93243243243242,51.91909394991187
24,600,120,0.5,0.2,0.5,5,0.1,-0.7,0.7,0.14967436392647193,0.139082499751271,1.0761552617629317,-0.19479240015613053,0.76837886799744,1.4353386197991964,0.5070505287896592,1702,1.7043916751549,66.4202115158637,66.4202115158637
30,600,60,0.3,0.2,0.4,5,0.0,-0.5,1.0,0.14773250277005467,0.13774937907307297,1.0724730939925753,-0.16188530051488415,0.9125751522848844,1.608994756022754,0.4982373678025852,1702,1.618568063070272,58.266980023501766,57.898772873425386
18,600,180,0.3,0.2,0.4,8,0.4,-0.5,1.0,0.11636706456920076,0.10942384199078521,1.0634525570670443,-0.16107298511948842,0.7224492951619196,1.424580419359631,0.48531139835487663,1702,1.7609884143695913,63.88413631022327,63.69438675384254
24,600,120,0.0,0.0,0.3,5,0.2,-0.5,1.0,0.13560182614459282,0.12858474532608946,1.0545716430102818,-0.1286818565843264,1.0537757982667253,1.3753033149274374,0.5,1702,1.6294475066350471,59.059106933019976,59.048532002873095
30,250,180,0.5,0.2,0.5,3,0.4,-0.7,0.7,0.15461634801574275,0.14904021835287187,1.0374135902677537,-0.20586573004741304,0.751054330315847,1.4071389607856342,0.4982373678025852,1702,1.4950644609407333,52.03113983548766,52.01780135296709
24,600,120,0.3,0.0,0.4,3,0.0,-1.0,0.5,0.164236028169376,0.15889185325870236,1.0336340397639672,-0.24392527284371812,0.673304681612886,1.398529856856919,0.48296122209165687,1702,1.6610410626815473,71.97003525264394,71.92358298687427
30,600,60,0.3,0.2,0.5,5,0.0,-0.5,1.0,0.14176576239639127,0.13832377430485637,1.0248835611147291,-0.20557355882281259,0.6896108780146266,1.5333922125839876,0.49471210340775557,1702,1.5823431502535132,59.71797884841363,59.38762272278496
30,600,120,0.0,0.2,0.5,5,0.2,-0.5,1.0,0.12921896403211264,0.12610943564257482,1.0246573808985315,-0.126304190922503,1.0230774061281789,1.418605257932087,0.5035252643948296,1702,1.5429497164423918,52.35440658049354,52.00931473820798
24,600,180,0.0,0.2,0.3,3,0.0,-0.5,1.0,0.13984279231232621,0.13719787514094856,1.0192781205150623,-0.14686308173414186,0.9521984058966971,1.2680637307685447,0.4982373678025852,1702,1.6167685086323214,64.3695652173913,64.36266074090481
18,600,120,0.5,0.2,0.3,5,0.0,-0.5,1.0,0.12650019817019809,0.12433301004308325,1.0174305128329466,-0.1551489425118029,0.8153468281652944,1.3883484552141565,0.49588719153936545,1702,1.781482324812601,75.88625146886017,75.60551462591069
30,250,180,0.0,0.2,0.5,3,0.0,-1.0,0.5,0.15613104223013763,0.15783906660555463,0.9891786969338496,-0.29932071588061615,0.5216178966123093,1.3129767034766802,0.49236192714453586,1702,1.5217910335491065,61.13689776733254,61.13689776733254
30,600,180,0.0,0.0,0.4,3,0.4,-0.7,0.7,0.14826394356928496,0.15006878250871236,0.9879732552683126,-0.20958797962400078,0.7074067121371623,1.3178420666527777,0.5035252643948296,1702,1.4500519201229711,54.59753231492362,54.25920023358402
24,600,252,0.0,0.0,0.5,5,0.2,-0.7,0.7,0.13790908493345855,0.13987082561152925,0.9859746257341817,-0.27564554639465655,0.500313125814145,1.276482541636038,0.5058754406580493,1702,1.5379924755308374,59.858636897767326,59.858636897767326
30,600,60,0.0,0.0,0.4,8,0.0,-0.5,1.0,0.11527263257866083,0.11766904465798449,0.9796343032588644,-0.1600988385858405,0.7200091743129972,1.4235184568951078,0.5047003525264395,1702,1.5829596541095974,56.826380728554646,56.4908704057403
30,250,180,0.3,0.0,0.4,5,0.0,-0.7,0.7,0.13602674662557557,0.13914388504012082,0.9775977333560404,-0.21059571645171615,0.6459141188503841,1.2907513140583136,0.500587544065805,1702,1.501237316648803,55.35264394829613,55.35264394829613
24,600,180,0.3,0.2,0.4,5,0.1,-0.5,1.0,0.12651372447563825,0.12943021726546752,0.9774666777863209,-0.14926063488760544,0.8476027491836959,1.2306242047713298,0.49588719153936545,1702,1.5852668112605077,62.464512338425386,62.45487832475324
30,250,120,0.0,0.0,0.3,5,0.4,-0.7,0.7,0.135303354326882,0.13846770098033773,0.9771474023829929,-0.16679055385160269,0.8112171295220019,1.267257666357303,0.5123384253819037,1702,1.3968069295010268,45.992714453584014,45.98770332253819
24,600,60,0.3,0.0,0.3,5,0.1,-0.5,1.0,0.1349995664936796,0.13855051524216636,0.9743707286668678,-0.164911920363771,0.8186161812674959,1.3177160445894416,0.5,1702,1.5936570899073115,66.74347826086957,66.69426753874265
