round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days
6,refine L=60 λs=0.0 rb=0.0,18,600,60,0.0,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.13672744433196504,0.1334814887358486,1.0243176460410923,1.81900993172494,-0.2314138329223473,0.5908352262496123,1.4196626696941945,0.49471210340775557,81.51997649823737,1702
6,refine L=60 λs=0.0 rb=0.1,18,600,60,0.0,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.13672744433196504,0.1334814887358486,1.0243176460410923,1.81900993172494,-0.2314138329223473,0.5908352262496123,1.4196626696941945,0.49471210340775557,81.51997649823737,1702
6,refine L=60 λs=0.0 rb=0.2,18,600,60,0.0,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.14254492757453563,0.13339512275017743,1.0685917493512411,1.807321588125617,-0.21968713173499055,0.6488542430718616,1.4794598315670486,0.49471210340775557,76.39706227967098,1702
6,refine L=60 λs=0.0 rb=0.3,18,600,60,0.0,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.14650381487021047,0.13347585205018855,1.0976053916863047,1.826512902701186,-0.21524925843523546,0.6806240167107975,1.5136876722529617,0.49529964747356053,75.49388954171563,1702
6,refine L=60 λs=0.0 rb=0.4,18,600,60,0.0,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.14779393777400207,0.13580966092566435,1.0882431836340225,1.7270652871636551,-0.21165323019257742,0.6982834027126751,1.5264604367820405,0.4982373678025852,68.4930669800235,1702
6,refine L=60 λs=0.2 rb=0.0,18,600,60,0.2,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.13510563241179918,0.13431399690925677,1.005893916648741,1.8159774165758293,-0.22703674429926457,0.595082671876725,1.4121371704181334,0.4917743830787309,83.35593419506463,1702
6,refine L=60 λs=0.2 rb=0.1,18,600,60,0.2,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.13510563241179918,0.13431399690925677,1.005893916648741,1.8159774165758293,-0.22703674429926457,0.595082671876725,1.4121371704181334,0.4917743830787309,83.35593419506463,1702
6,refine L=60 λs=0.2 rb=0.2,18,600,60,0.2,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.14761518241048344,0.13375501209587617,1.1036235584553065,1.8605495421636833,-0.20768519792490747,0.7107640981898792,1.56613501972359,0.49588719153936545,77.75922444183314,1702
6,refine L=60 λs=0.2 rb=0.3,18,600,60,0.2,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.1515886741997452,0.13385238513906392,1.1325063355595377,1.879759708559282,-0.20317981481259673,0.7460813680707569,1.5994030251358484,0.4970622796709753,76.85605170387778,1702
6,refine L=60 λs=0.2 rb=0.4,18,600,60,0.2,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.15225191390996318,0.1359895754268177,1.119585184615103,1.7658527389919436,-0.22365499344966666,0.680744532288868,1.6102047916410132,0.4988249118683901,68.92737955346651,1702
6,refine L=60 λs=0.3 rb=0.0,18,600,60,0.3,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.12432085640897306,0.13354501022653065,0.9309285026680459,1.7305904697555832,-0.23799571939550845,0.5223659346678119,1.3269807206102242,0.48472385428907167,82.79330199764983,1702
6,refine L=60 λs=0.3 rb=0.1,18,600,60,0.3,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.12432085640897306,0.13354501022653065,0.9309285026680459,1.7305904697555832,-0.23799571939550845,0.5223659346678119,1.3269807206102242,0.48472385428907167,82.79330199764983,1702
6,refine L=60 λs=0.3 rb=0.2,18,600,60,0.3,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.13560475888760726,0.13399179481665646,1.0120377824116606,1.7578302456397314,-0.21854489072465388,0.6204892662462494,1.44038637949929,0.4900117508813161,77.58155111633373,1702
6,refine L=60 λs=0.3 rb=0.3,18,600,60,0.3,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.1395347325595604,0.13410211210308234,1.0405110730269638,1.7769280935105582,-0.2141023326703949,0.6517198146288792,1.4736294746443064,0.491186839012926,76.67837837837838,1702
6,refine L=60 λs=0.3 rb=0.4,18,600,60,0.3,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.1528202518543107,0.1360456061054705,1.123301635598841,1.7651284055926315,-0.21092852802678586,0.7245120102241648,1.6290629192636823,0.49764982373678024,68.57203290246768,1702
6,refine L=60 λs=0.5 rb=0.0,18,600,60,0.5,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.11930767712051549,0.13450735616726084,0.8869974142689679,1.6757498622759421,-0.24124429960092875,0.49455127983490876,1.2688753326284565,0.4864864864864865,82.70446533490014,1702
6,refine L=60 λs=0.5 rb=0.1,18,600,60,0.5,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.11930767712051549,0.13450735616726084,0.8869974142689679,1.6757498622759421,-0.24124429960092875,0.49455127983490876,1.2688753326284565,0.4864864864864865,82.70446533490012,1702
6,refine L=60 λs=0.5 rb=0.2,18,600,60,0.5,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.1258614701351941,0.13494570824908755,0.9326822747328471,1.6712340402267392,-0.22485266927191527,0.5597508383722557,1.3324173953182006,0.4882491186839013,78.11457109283195,1702
6,refine L=60 λs=0.5 rb=0.3,18,600,60,0.5,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.12974907089469934,0.13510991488027424,0.960322349471352,1.6901589067806098,-0.22044525047813213,0.5885773025877474,1.364254979603773,0.4888366627497062,77.21139835487662,1702
6,refine L=60 λs=0.5 rb=0.4,18,600,60,0.5,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.14309610284742802,0.13793542366445144,1.0374137335129423,1.6659055403033314,-0.2036510617650369,0.7026533601505385,1.4886319936693908,0.49529964747356053,68.8385428907168,1702
6,refine L=60 λs=0.7 rb=0.0,18,600,60,0.7,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.10898606891335638,0.13335197704368035,0.8172812381900963,1.6151280456592862,-0.24366667683326637,0.44727522995658614,1.1575498207395087,0.48472385428907167,83.4743830787309,1702
6,refine L=60 λs=0.7 rb=0.1,18,600,60,0.7,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.10898606891335638,0.13335197704368035,0.8172812381900963,1.6151280456592862,-0.24366667683326637,0.44727522995658614,1.1575498207395087,0.48472385428907167,83.4743830787309,1702
6,refine L=60 λs=0.7 rb=0.2,18,600,60,0.7,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.12115567005199779,0.13362933125231144,0.9066547659603147,1.6545312153638236,-0.2242907589605584,0.5401723665008555,1.2780095907642413,0.4894242068155112,78.44030552291422,1702
6,refine L=60 λs=0.7 rb=0.3,18,600,60,0.7,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.12503022960660548,0.1337751673215991,0.9346295886592273,1.6735671863195496,-0.21945727556149008,0.569724696010696,1.3100401956818537,0.490599294947121,77.53713278495887,1702
6,refine L=60 λs=0.7 rb=0.4,18,600,60,0.7,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.12099214850983087,0.12976135352212542,0.932420518326365,1.5890601423870105,-0.2126323294205007,0.5690204722846137,1.306739597632222,0.500587544065805,68.91257344300824,1702
6,refine L=90 λs=0.0 rb=0.0,18,600,90,0.0,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.1301673189599939,0.13056663916081182,0.9969416368271063,1.790795706799138,-0.2923554996560628,0.4452364300077381,1.3800299072432658,0.491186839012926,80.32808460634547,1702
6,refine L=90 λs=0.0 rb=0.1,18,600,90,0.0,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.1301673189599939,0.13056663916081182,0.9969416368271063,1.790795706799138,-0.2923554996560628,0.4452364300077381,1.3800299072432658,0.491186839012926,80.32808460634547,1702
6,refine L=90 λs=0.0 rb=0.2,18,600,90,0.0,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.13138698114195368,0.13006929039155501,1.0101306830108163,1.7580166503914922,-0.298037167376778,0.4408409269836286,1.39770681342265,0.4935370152761457,76.16756756756757,1702
6,refine L=90 λs=0.0 rb=0.3,18,600,90,0.0,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.12785731817538792,0.13025381410237724,0.9816013377918767,1.7167289111628452,-0.3033956186643002,0.4214211093036874,1.361299096641427,0.491186839012926,75.37790834312574,1702
6,refine L=90 λs=0.0 rb=0.4,18,600,90,0.0,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.12859770104004986,0.12696692313851637,1.0128441160990753,1.6821858338914337,-0.29695602324885617,0.43305301449394057,1.4198821854893586,0.49412455934195065,68.32279670975323,1702
6,refine L=90 λs=0.2 rb=0.0,18,600,90,0.2,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.13640692106811003,0.13366745394076454,1.0204946458287407,1.777654435014656,-0.27972611403881487,0.48764457167979025,1.4231967521429674,0.4894242068155112,78.43290246768508,1702
6,refine L=90 λs=0.2 rb=0.1,18,600,90,0.2,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.13640692106811003,0.13366745394076454,1.0204946458287407,1.777654435014656,-0.27972611403881487,0.48764457167979025,1.4231967521429674,0.4894242068155112,78.43290246768508,1702
6,refine L=90 λs=0.2 rb=0.2,18,600,90,0.2,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.13648529792075137,0.1331932799239819,1.024716096777918,1.737488556719945,-0.2814009942458735,0.4850206669898886,1.4297926000077934,0.491186839012926,74.45746180963572,1702
6,refine L=90 λs=0.2 rb=0.3,18,600,90,0.2,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.13697866067393272,0.13313688682785396,1.0288558185309393,1.732867673512728,-0.2868094032415367,0.47759473408400094,1.4370693455973633,0.491186839012926,73.67520564042303,1702
6,refine L=90 λs=0.2 rb=0.4,18,600,90,0.2,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.12651123675562737,0.12822041691138786,0.9866699844148713,1.6363645289652955,-0.30254040430307916,0.4181631112943541,1.3622170079059752,0.49412455934195065,67.42702702702702,1702
6,refine L=90 λs=0.3 rb=0.0,18,600,90,0.3,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.1385103207114038,0.13428315600720836,1.031479485811076,1.790479949499841,-0.2827864421525558,0.48980537983741507,1.4507664670086817,0.48589894242068155,78.66980023501763,1702
6,refine L=90 λs=0.3 rb=0.1,18,600,90,0.3,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.1385103207114038,0.13428315600720836,1.031479485811076,1.790479949499841,-0.2827864421525558,0.48980537983741507,1.4507664670086817,0.48589894242068155,78.66980023501763,1702
6,refine L=90 λs=0.3 rb=0.2,18,600,90,0.3,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.13618059307050823,0.13324370438165245,1.0220414818282415,1.7327644070499102,-0.2854444600164373,0.4770826277821832,1.4385342759985036,0.4864864864864865,74.1909518213866,1702
6,refine L=90 λs=0.3 rb=0.3,18,600,90,0.3,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.13332255811525795,0.13343264760683224,0.9991749433624469,1.6982313430849698,-0.29082227524784476,0.4584331031783508,1.408329497361186,0.4864864864864865,73.46792009400706,1702
6,refine L=90 λs=0.3 rb=0.4,18,600,90,0.3,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.12431893487084666,0.12947265080520387,0.9601945592192196,1.6075927629607765,-0.30245026895364024,0.4110392604408705,1.3361419647897246,0.48766157461809634,67.74535840188014,1702
6,refine L=90 λs=0.5 rb=0.0,18,600,90,0.5,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.13798037405810382,0.13485572237463617,1.0231703306945121,1.7841459138850968,-0.2820748583609888,0.48916225593392565,1.4520870493726064,0.4870740305522914,79.054759106933,1702
6,refine L=90 λs=0.5 rb=0.1,18,600,90,0.5,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.13798037405810382,0.13485572237463617,1.0231703306945121,1.7841459138850968,-0.2820748583609888,0.48916225593392565,1.4520870493726064,0.4870740305522914,79.054759106933,1702
6,refine L=90 λs=0.5 rb=0.2,18,600,90,0.5,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.14152298927759266,0.1342367206516326,1.0542792507935974,1.7714890566001655,-0.27486188765456043,0.5148876422454582,1.5016172660097984,0.48766157461809634,74.75358401880142,1702
6,refine L=90 λs=0.5 rb=0.3,18,600,90,0.5,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.1384253029467335,0.1344155214895756,1.0298312383326123,1.733539226911591,-0.28031935007427033,0.49381287060653445,1.4695378640818426,0.48766157461809634,73.88249118683902,1702
6,refine L=90 λs=0.5 rb=0.4,18,600,90,0.5,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.13064481502433112,0.12888838111310882,1.0136275581712901,1.6652280474443144,-0.2664360632326238,0.4903420859745472,1.4155876484185266,0.4888366627497062,67.44923619271445,1702
6,refine L=90 λs=0.7 rb=0.0,18,600,90,0.7,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.1322643580931968,0.134452884267807,0.9837227279538978,1.7435596354514724,-0.27673033016777615,0.47795396338741597,1.3884651771470966,0.4888366627497062,79.11398354876616,1702
6,refine L=90 λs=0.7 rb=0.1,18,600,90,0.7,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.1322643580931968,0.134452884267807,0.9837227279538978,1.7435596354514724,-0.27673033016777615,0.47795396338741597,1.3884651771470966,0.4888366627497062,79.11398354876616,1702
6,refine L=90 λs=0.7 rb=0.2,18,600,90,0.7,0.2,0.4,5,-0.7,0.7,0.2,rsrs_skew,200,,0.13712522476106326,0.13386830159075572,1.0243293082201355,1.740310509480538,-0.27765985333991505,0.49386046672434364,1.457579153331245,0.4882491186839013,74.78319623971798,1702
6,refine L=90 λs=0.7 rb=0.3,18,600,90,0.7,0.2,0.4,5,-0.7,0.7,0.3,rsrs_skew,200,,0.1340405296457301,0.1340401931208554,1.0000025106266028,1.7024490636338094,-0.28309663294229437,0.4734797735056515,1.4255494344020103,0.4882491186839013,73.91210340775558,1702
6,refine L=90 λs=0.7 rb=0.4,18,600,90,0.7,0.2,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,,0.12272795917259338,0.12766277132195533,0.9613449394975396,1.6059080834482138,-0.24603644132194902,0.4988202500132844,1.3365108203101568,0.490599294947121,66.73113983548765,1702
6,refine L=120 λs=0.0 rb=0.0,18,600,120,0.0,0.2,0.4,5,-0.7,0.7,0.0,rsrs_skew,200,,0.16571369652001566,0.12770911063812226,1.297587115688117,2.099057521197767,-0.1723486205691135,0.961502888580201,1.8280268782065374,0.49764982373678024,77.89247943595768,1702
6,refine L=120 λs=0.0 rb=0.1,18,600,120,0.0,0.2,0.4,5,-0.7,0.7,0.1,rsrs_skew,200,,0.16571369652001566,0.12770911063812226,1.297587115688117,2.099057521197767,-0.1723486205691135,0.961502888580201,1.8280268782065374,0.49764982373678024,77.89247943595768,1702
