alpha,period,ls_net_sharpe,q5_excess_ir,q1_excess_ir,ls_max_dd,avg_t5,avg_t1
r_08_full,full,0.816036188001557,0.34892931607006694,-1.3706774554049899,-0.1842381633636052,0.6083765345116169,0.6169645687595929
r_08_full,train,1.2917272396018749,0.7827442190497814,-1.8986137002630512,-0.08341590826514034,0.6105330589310743,0.6124691685446028
r_08_full,validate,-0.09908620094273049,-0.18745202892398663,-0.17368785934592185,-0.14562926646816143,0.5667344243983974,0.6224510625770282
r_08_full,test,0.23519085632725625,-0.5988178781252149,-0.912460113254166,-0.06165502395884337,0.6329203566297321,0.6308566679132714
r_08_volrev,full,0.9788016116580611,0.6591906942970439,-1.3053743196357537,-0.20229027449878112,0.604272753367821,0.6080620290469103
r_08_volrev,train,1.5879837565861086,1.2339219122989704,-1.9650640068387233,-0.07838500560075201,0.6075887887470023,0.6078287161601674
r_08_volrev,validate,0.3130909830180577,0.15995439213648358,-0.6362908036373723,-0.1059144297135951,0.5609312545726989,0.6094487403875272
r_08_volrev,test,0.033264762485029006,-0.509990544896472,-0.46769469638744304,-0.06468951513863419,0.625460741861916,0.6079014657138377
r_03_full,full,0.47599280388778886,-0.30130462460669766,-1.4148037054191003,-0.07492527706214525,0.4862680422649074,0.47081043815974416
r_03_full,train,0.5413189157784871,-0.47776218738965076,-1.7769026672245827,-0.07492527706214525,0.4873326962662218,0.47065311481815314
r_03_full,validate,0.7114749962022221,-0.003997470747829424,-1.743839128131984,-0.039342584806789205,0.4766557810656323,0.4841315987799157
r_03_full,test,0.13062980780751393,-0.06097202861163453,-0.400549183086402,-0.06440741508721759,0.4896282582856491,0.46079329125274376
r_03_volrev,full,1.1724266999544315,0.4538487154458768,-1.7348936897528147,-0.05474811331887197,0.5080169379715258,0.48235747523289035
r_03_volrev,train,1.2779914272204662,0.370832326431356,-2.098146181105525,-0.03956835334412301,0.509997451716014,0.4820270642120806
r_03_volrev,validate,1.3551238853565373,0.48398352630172864,-2.322089017565621,-0.03877363381904708,0.49248070549225914,0.49767026563344946
r_03_volrev,test,0.8075998239348728,0.6729021072426241,-0.804051307794757,-0.05474811331887197,0.5123918347273534,0.4714509143970688
r_04_vol,full,0.4784361737191262,0.16371899323680963,-0.887249391048167,-0.1574886611787757,0.804790761920702,0.7770059797459445
r_04_vol,train,0.5224748590632188,0.1941154816811256,-0.9855705984905373,-0.1574886611787757,0.8020251523838758,0.7711214915537741
r_04_vol,validate,-0.3532585613446004,-1.298270148211418,-0.4966636000147966,-0.09067364880087092,0.8022805044062763,0.8025646215552
r_04_vol,test,0.8558561343875468,0.6917124402751694,-1.0597816746094795,-0.05457328306685838,0.8180457800486682,0.7804893182800325
r_08_vol,full,0.8569233196590089,0.4877353986163368,-1.2566809267708359,-0.19764513761242297,0.6603032866954428,0.648707180319927
r_08_vol,train,1.3489589699350217,0.8018877572474572,-2.000153653990181,-0.06470331849029454,0.6716731702564773,0.6536602282807725
r_08_vol,validate,0.13708437918227312,-0.07591848335509734,-0.5404147156207759,-0.09847132342824605,0.602418341224383,0.6446074031322314
r_08_vol,test,0.6658080445675882,0.3583483614059676,-0.9373546525493427,-0.05713225648586395,0.6603737165907505,0.6318446070293113
r_08_rev,full,2.151621322272771,1.5699624701279071,-2.344537869301697,-0.06545746249306028,0.5952850199297489,0.5927426424069703
r_08_rev,train,2.4932606385324263,1.9709629314719481,-2.729744907511078,-0.04281300488323958,0.5895117338384475,0.594701904046083
r_08_rev,validate,2.415592452294269,1.7958069781083346,-2.437968608369678,-0.04204265078229552,0.5867855823852187,0.5700429220145738
r_08_rev,test,1.1415723266059432,0.2930311486397545,-1.5340909472600752,-0.06545746249306017,0.6255626000699996,0.6029347547218292
r_03_rev,full,1.6386562676838035,1.2668633377346612,-1.8221869043187604,-0.12811735569208016,0.32449304769233156,0.32817989757377786
r_03_rev,train,1.942143173936024,1.2283991189815469,-2.345377209145275,-0.046924098380578205,0.3244818061816089,0.3307674011670078
r_03_rev,validate,2.2362921658309576,1.769503808452749,-2.2983512304784037,-0.051290972290316095,0.3057732251029804,0.31517744957809823
r_03_rev,test,1.0403115598514046,1.1707253138193274,-0.9723956873340329,-0.12811735569208005,0.33951462124075193,0.32805934135785286
