alpha,ic_real,ic_shuffled,residual_ic_full,residual_ic_vol,ls_sharpe_full,ls_sharpe_train,ls_sharpe_validate,ls_sharpe_test,q5_ir_full,q5_ir_test,max_dd_full,avg_t5,avg_t1,worst_year,yearly,min_loyo,look_ahead_ok,worst_year_ok,loyo_ok,falsification_ok,residual_survives,all_audits_pass
alpha_32,0.04316771719539952,0.00018780469280472143,0.013760861120707726,0.019395126419351896,1.6539270589706083,2.001624615071509,1.5270567853291963,0.8907073048148285,0.7201649599233059,-0.6744541662261798,-0.05793300811093338,0.7347558983298003,0.6896943607783609,-0.26753467599291614,"{2018: 3.7716371303879432, 2019: 2.374932739862692, 2020: 1.4971671858810183, 2021: 1.0280081565966783, 2022: 2.69165949502367, 2023: 1.5270567853291963, 2024: 1.0270490450079135, 2025: -0.26753467599291614}",1.4991128057271996,True,False,True,True,True,False
alpha_33,0.04968212149826724,0.00020129338409214447,0.014258592788756847,0.025475938472590918,1.9797527353780395,2.1590794586766875,2.9409174443307657,1.1289434871350825,1.2445298959607298,-0.009579339568406934,-0.06036054500057508,0.7250203082513265,0.6855109753942976,1.0887120186170882,"{2018: 3.1609972184201562, 2019: 2.361157038050268, 2020: 1.3845360583268107, 2021: 1.4809841347288717, 2022: 3.257923410121092, 2023: 2.9409174443307657, 2024: 1.0887120186170882, 2025: 3.0347012217506153}",1.8262157137721482,True,True,True,True,False,False
alpha_34,0.047989207681666646,8.374327996797544e-05,0.012976148678033995,0.02433217350327793,1.9275623890997766,2.0493281686702716,3.1091597104674005,1.2517006689495331,1.2485611257150737,0.1949121688335757,-0.053373924328966926,0.7255578801065746,0.687577357454769,1.2073983264555925,"{2018: 2.737759849920431, 2019: 1.8260095728232164, 2020: 1.421726612795576, 2021: 1.5202496225137, 2022: 3.4314096228225868, 2023: 3.1091597104674005, 2024: 1.2073983264555925, 2025: 3.6293435181360714}",1.7587860477222503,True,True,True,True,False,False
