alpha,ic_real,ic_shuffled,residual_ic_full,residual_ic_vol,residual_ic_volrev,ls_sharpe_full,ls_sharpe_train,ls_sharpe_validate,ls_sharpe_test,q5_ir_full,q5_ir_test,max_dd_full,avg_t5,avg_t1,worst_year,yearly,min_loyo,look_ahead_ok,worst_year_ok,loyo_ok,falsification_ok,residual_survives,all_audits_pass
alpha_29,0.0472599231679402,0.00025570216870698985,0.0064808301934912585,0.023946980475431503,0.009367715511118447,1.2900937830759915,1.617608708730454,0.5378552440948864,1.3009108604432869,0.28500557467661963,0.7167522850704986,-0.05504514671945804,0.6872756097564671,0.7114189496531766,0.46248392513783426,"{2018: 1.0870147775122703, 2019: 2.14481567927336, 2020: 0.46248392513783426, 2021: 0.7051606456902696, 2022: 4.848373603679979, 2023: 0.5378552440948864, 2024: 1.0903392434589407, 2025: 2.6853632854272513}",1.0071874396333667,True,False,True,True,False,False
alpha_30,0.05798783942679584,0.00013822459089416988,0.015435327215141981,0.0388216865827951,0.023877140920428384,1.6070482892013576,1.8955251049181858,1.4984900781902288,1.2543617766013861,0.8890703814997603,0.22981651325166466,-0.08039451941160136,0.7436323369391331,0.7071509212650945,0.034264154262799155,"{2018: 3.251437958161525, 2019: 1.9561319088536704, 2020: 0.034264154262799155, 2021: 1.1960375916767025, 2022: 5.00144927145331, 2023: 1.4984900781902288, 2024: 1.0710676170167028, 2025: 2.647282103624387}",1.3704515264166752,True,False,True,True,False,False
alpha_31,0.050169347699121514,0.0001209670181539492,0.014374828639627161,0.027215596461267047,0.02354352663148579,1.9656214185775958,2.110814212201229,3.217317635137981,1.2030030935928824,1.2852424620777232,0.07579396446629691,-0.05705119882980836,0.7236574264857282,0.68484581132082,1.1463570182673644,"{2018: 3.1234636621592315, 2019: 1.7914210928841838, 2020: 1.2784510904309796, 2021: 1.4897979914843242, 2022: 3.4423996983317253, 2023: 3.217317635137981, 2024: 1.1463570182673644, 2025: 4.28559049712903}",1.7950759128232896,True,True,True,True,False,False
