alpha,coverage,ic_real,ic_shuffled,ls_sharpe_full,ls_sharpe_train,ls_sharpe_validate,ls_sharpe_test,q5_ir_full,q5_ir_test,max_dd_full,avg_t5,avg_t1,worst_year,yearly,min_loyo,residual_ic,look_ahead_ok,worst_year_ok,loyo_ok,falsification_ok,residual_survives,all_audits_pass
alpha_09,0.9960992552834832,0.02102838191499396,0.00017719043040151586,0.6345080168713219,0.9459349767289666,1.15426347834909,-0.32196496809566005,0.7377316746463739,-0.02974862723545576,-0.07937402879203892,0.7830858558849141,0.7754364097101459,-0.48453464746844954,"{2018: 3.396743226159762, 2019: 0.5369787424359953, 2020: 0.8616884552525156, 2021: -0.24609933538481055, 2022: 0.5818634123784968, 2023: 1.15426347834909, 2024: -0.48453464746844954, 2025: 0.6618592708236708}",0.3114258680716892,0.011225212211464032,True,False,False,True,True,False
alpha_10,0.9870012250403978,0.01099574231636276,0.0003018367480108239,0.0142641001581532,0.24861320009737103,0.5305414605912095,-0.5007995537898902,0.296804934973987,-0.15279568113779032,-0.12279525433941885,0.45394912410449506,0.42795177285009794,-0.7448654873465153,"{2018: 0.7133226265606359, 2019: 0.25420699270963226, 2020: -0.3981086423164935, 2021: 0.6269063737370629, 2022: 0.12212378719268512, 2023: 0.5305414605912095, 2024: -0.7448654873465153, 2025: 8.7173468769769}",-0.07016409554858495,0.004992318664305931,True,False,False,True,True,False
alpha_11,0.9870012250403978,0.02530322353607202,1.7399518791948322e-05,0.6064476313291683,0.24925296346058573,1.0243255677501284,1.2072648995175999,0.775674455563142,1.1310126246170034,-0.13417810656229046,0.5184394736121205,0.46853539369864255,-0.7868693786127338,"{2018: 1.0799189941510277, 2019: -0.7868693786127338, 2020: -0.4785926468258062, 2021: 1.2181769151687694, 2022: 0.4035524159221409, 2023: 1.0243255677501284, 2024: 1.041410535883223, 2025: 2.170766285347181}",0.49465600118552,0.005534254396647149,True,False,True,True,False,False
alpha_12,0.9960992552834832,0.046921497831677345,0.00037421956629993724,0.8564574813621414,0.8645288425733192,0.031370925944936866,1.3670439731406994,0.48378584731425894,1.245052821365716,-0.10596507015190704,0.8082140092689777,0.7794036157521326,-0.4984116290309231,"{2018: 2.611374285271696, 2019: 0.38408130949797475, 2020: -0.4984116290309231, 2021: 0.39126640496826026, 2022: 2.2945287347193717, 2023: 0.031370925944936866, 2024: 1.404028725086578, 2025: 0.998890390035465}",0.6280273069935016,0.005992077869096717,True,False,True,True,False,False
alpha_13,0.9960992552834832,-0.013384063923714053,-4.397324003434112e-05,-0.7842606440694276,-1.2074622333796325,-1.6103556867337565,0.4950699298403158,-0.4819412071101058,0.8328869341861336,-0.25918431043417367,0.769556993560953,0.7759450606603565,-3.065525297327735,"{2018: -3.065525297327735, 2019: -1.8426506550063024, 2020: -1.246679961879304, 2021: -0.07676722483335677, 2022: -0.4308054675269987, 2023: -1.6103556867337565, 2024: 0.6865696992623356, 2025: -1.359092632438813}",-1.2826531545772066,-0.0109910717652112,True,False,False,True,True,False
alpha_14,0.9960992552834832,0.020358429158454486,0.0003869143106996773,0.6724981495783219,0.4413361899628818,1.0912461592817075,1.285334993739267,0.20977263555790793,1.1589710281255605,-0.07251575312818204,0.7788831243646677,0.7745952825435559,-1.3878891310726953,"{2018: 1.9780534737890414, 2019: -1.3878891310726953, 2020: 0.35493646334670553, 2021: 0.4051599792782308, 2022: 0.7514553138178883, 2023: 1.0912461592817075, 2024: 1.644645919615801, 2025: -0.19246973314437374}",0.5058176475299192,0.005191715699745389,True,False,True,True,False,False
alpha_15,0.9818031450648033,0.040192406706044556,-8.755552580142104e-05,1.6375730604515923,1.5022615561043138,0.7011424165202343,2.9239464590784916,0.6570456006438242,0.7588340300313571,-0.04325899289029067,0.7654694975861354,0.7686746994133112,0.676091502691458,"{2018: 1.2899036526911298, 2019: 2.629458748933479, 2020: 0.676091502691458, 2021: 1.7431670971896727, 2022: 1.7638626009008844, 2023: 0.7011424165202343, 2024: 3.5401273363878833, 2025: 0.784738610698813}",1.359023793780077,-0.010059810504886267,True,True,True,True,False,False
alpha_16,0.9953707455268548,0.0333374043564197,-0.0004821343331961952,1.9510509293778806,2.334768871165985,3.3041360014664156,0.7258699169689028,0.1989206846361012,-0.34707627480892883,-0.048612995824411254,0.713517156336223,0.6903370882083812,-1.0998070244580151,"{2018: 2.2123692297770976, 2019: 1.4235282623475483, 2020: 3.1782061472987837, 2021: 2.586665193215725, 2022: 2.219872993149823, 2023: 3.3041360014664156, 2024: 1.7494330553301645, 2025: -1.0998070244580151}",1.7723922687389384,0.012545031195993667,True,False,True,True,True,False
