alpha,coverage,ic_real,ic_shuffled,residual_ic_full,residual_ic_vol,residual_ic_volrev,ls_sharpe_full,ls_sharpe_train,ls_sharpe_validate,ls_sharpe_test,q5_ir_full,q5_ir_test,max_dd_full,avg_t5,avg_t1,worst_year,yearly,min_loyo,look_ahead_ok,worst_year_ok,loyo_ok,falsification_ok,residual_survives,all_audits_pass
alpha_17,0.9969453434959252,0.07277275361590803,0.00040938092374786974,0.015414019818665147,0.040308759631509934,0.02112946977504495,1.6914099230732418,1.7032256211816936,1.7940616871359045,1.7269743478926867,1.1619866141278545,1.0308898525124328,-0.09521707130342705,0.7338619396394603,0.7156544565307686,-0.2687976887421204,"{2018: 3.7995903473682953, 2019: 1.1560057651251017, 2020: -0.2687976887421204, 2021: 1.565632487551348, 2022: 5.770494701037532, 2023: 1.7940616871359045, 2024: 1.5172953051127316, 2025: 3.2180962844781664}",1.4552100126655052,True,False,True,True,False,False
alpha_18,0.996192205819498,0.05903940692839654,-0.00023376231954039763,0.022862363474427962,0.03808576823448505,0.0386584373256608,2.0077846179130234,2.7153662123464755,1.3089981063409237,0.9629615726265124,1.2132494462197527,0.36186431963817445,-0.07556717831808557,0.46329862831066104,0.3643776359209047,0.05776797819238786,"{2018: 1.8543977379377234, 2019: 2.2186426677405318, 2020: 2.7654096608860517, 2021: 4.072442199553236, 2022: 2.9807817735974993, 2023: 1.3089981063409237, 2024: 1.1761740231628552, 2025: 0.05776797819238786}",1.8168572930496927,True,False,True,True,True,False
alpha_19,0.9818031450648033,0.014902428171333042,-0.00014455053108665817,-0.008264059986096193,-0.0017378890977476761,-0.013638082469066722,0.16657625176299476,0.10277585939944306,-0.894323508373841,0.9039318679998304,-0.458037551348146,-0.32061155229717636,-0.1317394781009814,0.735325791191167,0.7535632112345843,-0.9569899379344252,"{2018: 0.8183109742271426, 2019: 1.4173057097016681, 2020: -0.9569899379344252, 2021: 0.1735245465862279, 2022: -0.05294539720069616, 2023: -0.894323508373841, 2024: 0.8921030643124536, 2025: 2.8559197030382606}",-0.04408062070877402,True,False,False,True,False,False
alpha_20,0.9818031450648033,-0.004661170824190671,-0.0001336006211232398,0.002110292879579187,0.0005722645037110943,0.0019202084088874932,-0.5315328409933526,-0.6967199393597413,0.08092621712885809,-0.5515683848166741,-1.3712232349527007,-2.8673764686103187,-0.11244511030126692,0.7740228025410536,0.767123894058307,-1.0113619723150102,"{2018: -1.0113619723150102, 2019: -0.9893797430050731, 2020: -0.9751992233483432, 2021: -0.6863487967852557, 2022: 0.3829315336901778, 2023: 0.08092621712885809, 2024: -0.8062668932264808, 2025: 0.41156160633735667}",-0.656400459840786,True,False,False,True,False,False
alpha_21,0.9969453434959252,0.07980731221649631,0.0004023825921140185,0.0019166352133805015,0.019081995826977144,0.0055820371819699025,2.292538167597226,2.447418041133832,2.0806153663568265,1.9807823623790508,1.3400923012514812,0.6453911276542114,-0.05518269677164678,0.6524281998589739,0.6484108615485737,0.2832874417036777,"{2018: 4.501556417198606, 2019: 3.199270084946449, 2020: 1.2013576364400358, 2021: 2.861318630682537, 2022: 2.546977615455607, 2023: 2.0806153663568265, 2024: 2.3227378618523202, 2025: 0.2832874417036777}",2.1745883070352705,True,False,True,True,False,False
alpha_22,0.9969453434959252,0.096281062054316,0.000309412093212601,0.012700085034093821,0.03621543996695886,0.02071671920583233,2.132517091796502,2.1176924202461285,2.9126950630263684,1.8953698356435458,1.9316276122788312,1.0757444144409767,-0.07122044481093148,0.6512505648233198,0.6316727664011053,0.9393311308846677,"{2018: 3.0191333981689117, 2019: 2.3541348189400306, 2020: 0.9393311308846677, 2021: 2.2805103578150856, 2022: 3.0975969954944147, 2023: 2.9126950630263684, 2024: 1.9587192866823828, 2025: 1.463927094380561}",2.0165631664749353,True,True,True,True,False,False
alpha_23,0.9960992552834832,0.05936253173848668,5.5739059525849476e-05,0.033097326768415924,0.046608857188242904,0.03216268573548495,1.5379895666720387,1.6862330991855567,0.4426563506057654,1.9016296623313687,0.5085283160427447,0.5993970601525043,-0.08080877958147115,0.7967707426274431,0.7793599942533688,0.21013344993605793,"{2018: 3.599196791407544, 2019: 1.2455748036904728, 2020: 0.21013344993605793, 2021: 0.6911225347646907, 2022: 4.1931825499029545, 2023: 0.4426563506057654, 2024: 1.93843220452939, 2025: 1.5426635648312224}",1.2656205696965928,True,False,True,True,True,False
alpha_24,0.996192205819498,0.07363393677205243,0.00044210170814222224,0.015762037948556865,0.04039348543723688,0.021501377181395897,1.9060108342857023,2.0473182818120104,1.695975104556303,1.8798940933103165,1.3786927829412152,1.2016961155127754,-0.07034069481570981,0.7348599667134944,0.7198368823026101,0.0654093110766737,"{2018: 4.370847199296097, 2019: 1.662297621419167, 2020: 0.0654093110766737, 2021: 1.9154826700339156, 2022: 5.683803308405589, 2023: 1.695975104556303, 2024: 1.6346266455819318, 2025: 3.3585552532529634}",1.6726607789325105,True,False,True,True,False,False
