date,Q1,Q2,Q3,Q4,Q5,mkt,t_q5,t_q1,ls_gross,ls_cost,ls_net,q5_excess,q5_cost,q5_excess_net,q1_excess,q1_cost,q1_excess_net,period
2018-01-30,-0.039057496143535826,-0.03217344445752778,-0.02601526184306367,-0.028765138957929582,-0.024297545763202207,-0.030061777433051818,0.0,0.0,0.01475995038033362,0.0,0.01475995038033362,0.005764231669849611,0.0,0.005764231669849611,-0.008995718710484008,0.0,-0.008995718710484008,train
2018-03-06,0.006167044180963054,0.017122841490527632,0.017842438922883633,0.026805543939014645,0.035584250777050845,0.02070442386208796,0.8361934477379095,0.7769110764430578,0.02941720659608779,0.0008065522620904837,0.028610654333997308,0.014879826914962885,0.00041809672386895476,0.014461730191093931,-0.014537379681124906,0.00038845553822152893,-0.014925835219346435,train
2018-04-03,-0.007553467910984783,-0.005203467502714184,0.008271124641420413,0.0032496184734796918,-0.014987693205749783,-0.0032447771009097284,0.7873651771956857,0.7550077041602465,-0.007434225294765001,0.0007711864406779661,-0.008205411735442966,-0.011742916104840056,0.00039368258859784285,-0.0121365986934379,-0.004308690810075054,0.00037750385208012326,-0.004686194662155177,train
2018-05-07,-0.03587261933654486,-0.03483879415941614,-0.03229854878431691,-0.039545236505500105,-0.043726623984459846,-0.03725636455404757,0.7923664122137405,0.7786259541984732,-0.007854004647914983,0.000785496183206107,-0.00863950083112109,-0.006470259430412274,0.00039618320610687027,-0.006866442636519144,0.001383745217502709,0.00038931297709923665,0.0009944322404034723,train
2018-06-04,-0.13907929908056763,-0.12811355384321146,-0.12629179670469218,-0.12400817949885325,-0.12783577662249643,-0.1290657211499642,0.7583081570996979,0.7809667673716012,0.011243522458071198,0.0007696374622356496,0.010473884995835549,0.0012299445274677745,0.00037915407854984895,0.0008507904489179255,-0.010013577930603423,0.0003904833836858006,-0.010404061314289224,train
2018-07-03,-0.03180016477615902,0.0020090207299381414,0.005155936671085684,0.015411302074371932,0.01617114416084529,0.0013795581377648628,0.789865871833085,0.7485119047619048,0.04797130893700431,0.0007691888882974949,0.04720212004870682,0.014791586023080427,0.00039493293591654253,0.014396653087163884,-0.03317972291392388,0.0003742559523809524,-0.03355397886630484,train
2018-07-31,-0.03692936029030066,-0.027335004368277824,-0.0373845550483512,-0.04597563302099263,-0.05450460650623526,-0.0404248037752183,0.8470588235294118,0.8237885462555066,-0.0175752462159346,0.0008354236848924592,-0.01841066990082706,-0.014079802731016958,0.0004235294117647059,-0.014503332142781664,0.0034954434849176416,0.00041189427312775327,0.0030835492117898882,train
2018-08-28,-0.04544415774915176,-0.03954546884157984,-0.04158577030312555,-0.041795091300088356,-0.03947219277032754,-0.04156853619285461,0.736231884057971,0.7463768115942029,0.005971964978824219,0.000741304347826087,0.005230660630998132,0.0020963434225270694,0.0003681159420289855,0.001728227480498084,-0.00387562155629715,0.0003731884057971014,-0.004248809962094252,train
2018-09-26,-0.08728249792659495,-0.07729548292256372,-0.07406215192481201,-0.07725932066217106,-0.07206483587171797,-0.07759564144102182,0.7873563218390804,0.8005738880918221,0.015217662054876985,0.0007939651049654513,0.014423696949911533,0.005530805569303854,0.00039367816091954023,0.005137127408384313,-0.009686856485573131,0.000400286944045911,-0.010087143429619042,train
2018-10-31,0.017488128872300335,0.0360680523647342,0.04749825298587449,0.05772384155467868,0.06000450610647033,0.04375655637681161,0.8285714285714285,0.7885714285714286,0.04251637723417,0.0008085714285714285,0.04170780580559857,0.01624794972965872,0.00041428571428571426,0.015833664015373006,-0.026268427504511277,0.0003942857142857143,-0.026662713218796992,train
2018-11-28,-0.0446449166136627,-0.040245398800209976,-0.03834416151775433,-0.03191024889849373,-0.017362558987355895,-0.034499493056048394,0.8583450210378681,0.820476858345021,0.0272823576263068,0.0008394109396914446,0.026442946686615357,0.0171369340686925,0.00042917251051893406,0.016707761558173564,-0.010145423557614303,0.0004102384291725105,-0.010555661986786813,train
2018-12-26,0.016728972280039313,0.023950152949511104,0.04038599576674091,0.04491388144517231,0.04059013861491896,0.03330917738235581,0.844319775596073,0.7969187675070029,0.023861166334879648,0.000820619271551538,0.02304054706332811,0.007280961232563152,0.0004221598877980365,0.006858801344765115,-0.016580205102316496,0.00039845938375350146,-0.016978664486069998,train
2019-01-25,0.18408421285779483,0.18890304743825967,0.1967916187970604,0.18824468924783708,0.17915321286401997,0.18743274202960683,0.8561452513966481,0.8379888268156425,-0.004930999993774859,0.0008470670391061453,-0.005778067032881005,-0.008279529165586857,0.00042807262569832403,-0.008707601791285182,-0.003348529171811998,0.0004189944134078212,-0.0037675235852198193,train
2019-03-01,0.12318417148592364,0.11439269159786697,0.11737390573891489,0.11529963470072334,0.11387812247105072,0.11682680402878745,0.7739251040221914,0.7988904299583911,-0.00930604901487292,0.0007864077669902913,-0.010092456781863211,-0.0029486815577367265,0.0003869625520110957,-0.0033356441097478224,0.006357367457136193,0.00039944521497919553,0.005957922242156997,train
2019-03-29,-0.0806693703460523,-0.07894896630155267,-0.07004946110096344,-0.06920338582339723,-0.06796977485696226,-0.0733677970456648,0.7827298050139275,0.754874651810585,0.01269959548909004,0.0007688022284122562,0.011930793260677783,0.005398022188702542,0.00039136490250696375,0.005006657286195578,-0.007301573300387498,0.0003774373259052925,-0.007679010626292791,train
2019-04-29,-0.06644060557021586,-0.05675660039171542,-0.047053946092862294,-0.03671149362769034,-0.030229792616167567,-0.04743859450651187,0.8125,0.775,0.036210812954048294,0.00079375,0.03541706295404829,0.0172088018903443,0.00040625000000000004,0.0168025518903443,-0.019002011063703993,0.00038750000000000004,-0.01938951106370399,train
2019-05-30,0.01451474345489114,0.0274745171600206,0.046323846698659465,0.044161129379101216,0.03835072410601803,0.03415956541334073,0.7997237569060773,0.7641379310344828,0.023835980651126888,0.0007819308439702802,0.02305404980715661,0.004191158692677298,0.00039986187845303866,0.003791296814224259,-0.01964482195844959,0.0003820689655172414,-0.020026890923966832,train
2019-06-28,-0.04311493866615323,-0.044555442496774914,-0.04620353305344521,-0.040460898315849564,-0.04256650401514499,-0.04338074274482441,0.864010989010989,0.8269230769230769,0.0005484346510082408,0.000845467032967033,-0.0002970323819587922,0.0008142387296794229,0.00043200549450549456,0.00038223323517392834,0.0002658040786711821,0.00041346153846153844,-0.00014765745979035633,train
2019-07-26,-0.005623240761201832,-0.014709019478819738,-0.01818292775839544,-0.01885338209614373,-0.01754050904775301,-0.014980827969577754,0.7997256515775034,0.7640603566529492,-0.011917268286551177,0.0007818930041152264,-0.012699161290666403,-0.0025596810781752556,0.00039986282578875174,-0.002959543903964007,0.009357587208375921,0.0003820301783264746,0.008975557030049446,train
2019-08-23,0.0628940734665246,0.0719864936452963,0.06711601313030055,0.07505043944946004,0.07002191272935873,0.06941201289522785,0.8054421768707483,0.7065217391304348,0.007127839262834126,0.0007559819580005916,0.006371857304833535,0.0006098998341308864,0.00040272108843537413,0.0002071787456955123,-0.00651793942870324,0.0003532608695652174,-0.006871200298268458,train
2019-09-23,-0.030881869225985226,-0.021612722128755812,-0.029016734933442954,-0.027268831200478225,-0.02862138312430959,-0.02747989219763203,0.8470906630581867,0.7916102841677943,0.0022604861016756357,0.0008193504736129906,0.0014411356280626451,-0.0011414909266775596,0.00042354533152909335,-0.0015650362582066528,-0.0034019770283531953,0.00039580514208389716,-0.0037977821704370924,train
2019-10-28,-0.027520227764747805,-0.035165985730897645,-0.04692767011515189,-0.04928613108564571,-0.03965492718361926,-0.039709050491549755,0.8,0.7557046979865771,-0.012134699418871454,0.0007778523489932886,-0.012912551767864742,5.4123307930496745e-05,0.0004,-0.0003458766920695033,0.01218882272680195,0.00037785234899328856,0.011810970377808662,train
2019-11-25,0.07106183871697311,0.06306044825032252,0.05610595378163635,0.062151481460690966,0.06902565452774692,0.06428289519808307,0.8053691275167785,0.707774798927614,-0.0020361841892261867,0.0007565719632221963,-0.002792756152448383,0.004742759329663851,0.00040268456375838925,0.004340074765905462,0.006778943518890038,0.00035388739946380697,0.00642505611942623,train
2019-12-23,0.06137466511613358,0.068493028055947,0.061184348365857365,0.05315657873483542,0.050209470911974065,0.058882585142133924,0.8231382978723404,0.7367021276595744,-0.011165194204159512,0.0007799202127659574,-0.01194511441692547,-0.008673114230159859,0.0004115691489361702,-0.009084683379096029,0.002492079973999653,0.0003683510638297872,0.0021237289101698658,train
