date,symbol,weight,regime
2019-01-31,CASH,1.0,0.0
2019-02-28,CASH,1.0,0.0
2019-03-29,CASH,1.0,0.0
2019-04-30,CASH,1.0,0.0
2019-05-31,CASH,1.0,0.0
2019-06-28,CASH,1.0,0.0
2019-07-31,CASH,1.0,0.0
2019-08-30,CASH,1.0,0.0
2019-09-30,CASH,1.0,0.0
2019-10-31,159920.SZ,0.06666666666666667,1.0
2019-10-31,159928.SZ,0.06666666666666667,1.0
2019-10-31,159941.SZ,0.06666666666666667,1.0
2019-10-31,162411.SZ,0.06666666666666667,1.0
2019-10-31,510900.SH,0.06666666666666667,1.0
2019-10-31,512400.SH,0.06666666666666667,1.0
2019-10-31,512700.SH,0.06666666666666667,1.0
2019-10-31,512890.SH,0.06666666666666667,1.0
2019-10-31,513030.SH,0.06666666666666667,1.0
2019-10-31,513100.SH,0.06666666666666667,1.0
2019-10-31,513500.SH,0.06666666666666667,1.0
2019-10-31,513520.SH,0.06666666666666667,1.0
2019-10-31,513600.SH,0.06666666666666667,1.0
2019-10-31,513660.SH,0.06666666666666667,1.0
2019-10-31,513880.SH,0.06666666666666667,1.0
2019-11-29,159920.SZ,0.06666666666666667,1.0
2019-11-29,159928.SZ,0.06666666666666667,1.0
2019-11-29,159941.SZ,0.06666666666666667,1.0
2019-11-29,162411.SZ,0.06666666666666667,1.0
2019-11-29,510880.SH,0.06666666666666667,1.0
2019-11-29,510900.SH,0.06666666666666667,1.0
2019-11-29,512890.SH,0.06666666666666667,1.0
2019-11-29,513030.SH,0.06666666666666667,1.0
2019-11-29,513050.SH,0.06666666666666667,1.0
2019-11-29,513100.SH,0.06666666666666667,1.0
2019-11-29,513500.SH,0.06666666666666667,1.0
2019-11-29,513520.SH,0.06666666666666667,1.0
2019-11-29,513600.SH,0.06666666666666667,1.0
2019-11-29,513660.SH,0.06666666666666667,1.0
2019-11-29,513880.SH,0.06666666666666667,1.0
2019-12-31,159920.SZ,0.06666666666666667,1.0
2019-12-31,159941.SZ,0.06666666666666667,1.0
2019-12-31,162411.SZ,0.06666666666666667,1.0
2019-12-31,510880.SH,0.06666666666666667,1.0
2019-12-31,510900.SH,0.06666666666666667,1.0
2019-12-31,512680.SH,0.06666666666666667,1.0
2019-12-31,512890.SH,0.06666666666666667,1.0
2019-12-31,513030.SH,0.06666666666666667,1.0
2019-12-31,513050.SH,0.06666666666666667,1.0
2019-12-31,513100.SH,0.06666666666666667,1.0
2019-12-31,513500.SH,0.06666666666666667,1.0
2019-12-31,513520.SH,0.06666666666666667,1.0
2019-12-31,513600.SH,0.06666666666666667,1.0
2019-12-31,513660.SH,0.06666666666666667,1.0
2019-12-31,513880.SH,0.06666666666666667,1.0
2020-01-23,159941.SZ,0.06666666666666667,1.0
2020-01-23,162411.SZ,0.06666666666666667,1.0
2020-01-23,510880.SH,0.06666666666666667,1.0
2020-01-23,512290.SH,0.06666666666666667,1.0
2020-01-23,512660.SH,0.06666666666666667,1.0
2020-01-23,512670.SH,0.06666666666666667,1.0
2020-01-23,512680.SH,0.06666666666666667,1.0
2020-01-23,513030.SH,0.06666666666666667,1.0
2020-01-23,513050.SH,0.06666666666666667,1.0
2020-01-23,513100.SH,0.06666666666666667,1.0
2020-01-23,513500.SH,0.06666666666666667,1.0
2020-01-23,513520.SH,0.06666666666666667,1.0
2020-01-23,513600.SH,0.06666666666666667,1.0
2020-01-23,513660.SH,0.06666666666666667,1.0
2020-01-23,513880.SH,0.06666666666666667,1.0
2020-02-28,159920.SZ,0.06666666666666667,1.0
2020-02-28,159941.SZ,0.06666666666666667,1.0
2020-02-28,159967.SZ,0.06666666666666667,1.0
2020-02-28,162411.SZ,0.06666666666666667,1.0
2020-02-28,510900.SH,0.06666666666666667,1.0
2020-02-28,512170.SH,0.06666666666666667,1.0
2020-02-28,512290.SH,0.06666666666666667,1.0
2020-02-28,513030.SH,0.06666666666666667,1.0
2020-02-28,513050.SH,0.06666666666666667,1.0
2020-02-28,513100.SH,0.06666666666666667,1.0
2020-02-28,513500.SH,0.06666666666666667,1.0
2020-02-28,513520.SH,0.06666666666666667,1.0
2020-02-28,513600.SH,0.06666666666666667,1.0
2020-02-28,513660.SH,0.06666666666666667,1.0
2020-02-28,513880.SH,0.06666666666666667,1.0
2020-03-31,CASH,1.0,0.0
2020-04-30,159920.SZ,0.06666666666666667,1.0
2020-04-30,510100.SH,0.06666666666666667,1.0
2020-04-30,510210.SH,0.06666666666666667,1.0
2020-04-30,510230.SH,0.06666666666666667,1.0
2020-04-30,510880.SH,0.06666666666666667,1.0
2020-04-30,512010.SH,0.06666666666666667,1.0
2020-04-30,512290.SH,0.06666666666666667,1.0
2020-04-30,512700.SH,0.06666666666666667,1.0
2020-04-30,512800.SH,0.06666666666666667,1.0
2020-04-30,512890.SH,0.06666666666666667,1.0
2020-04-30,513050.SH,0.06666666666666667,1.0
2020-04-30,513660.SH,0.06666666666666667,1.0
2020-04-30,513880.SH,0.06666666666666667,1.0
2020-04-30,515080.SH,0.06666666666666667,1.0
2020-04-30,515180.SH,0.06666666666666667,1.0
2020-05-29,CASH,1.0,0.0
2020-06-30,510050.SH,0.06666666666666667,1.0
2020-06-30,510100.SH,0.06666666666666667,1.0
2020-06-30,510210.SH,0.06666666666666667,1.0
2020-06-30,510230.SH,0.06666666666666667,1.0
2020-06-30,510880.SH,0.06666666666666667,1.0
2020-06-30,512010.SH,0.06666666666666667,1.0
2020-06-30,512170.SH,0.06666666666666667,1.0
2020-06-30,512200.SH,0.06666666666666667,1.0
2020-06-30,512290.SH,0.06666666666666667,1.0
2020-06-30,512680.SH,0.06666666666666667,1.0
