year,n_rebalances,ls_ann_ret_net,ls_sharpe_net,q5_ann_excess_net,q5_ir_net
2018,12,0.2459971821065418,4.666708681949265,0.0753981690286241,2.05807763702996
2019,12,0.128713445819483,3.675140428053152,0.0430900989045998,2.6492994493101487
2020,12,0.079797844116232,0.9024216853749408,0.0268184995822172,0.9254245242615772
2021,12,0.1882017225109551,3.799836257121349,0.0628358476164359,2.248032107308526
2022,12,0.1900943599226521,3.686469084152234,0.0415743818757277,0.9385552165615826
2023,12,0.1557522725353114,2.4768291137834657,0.0091942756461825,0.2758433492303004
2024,12,0.1731181527972571,1.6408227512549691,0.0081526491477518,0.1391070241368777
2025,13,0.1525801737062589,2.2039072637193384,0.0714996728939736,1.313546842089708
2026,2,,,,
